id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_alcohol_and_health
271,M02,M02U04,アルコールの主な成分はどれか？,エタノール,メタノール,アセトアルデヒド,ブドウ糖,1,アルコール飲料に含まれる主成分はエタノールであり、体内で分解される。,"成分,エタノール,基礎",1,,,,,
272,M02,M02U04,アルコールが体に入ると最初に分解される場所はどこか？,胃,肝臓,腎臓,小腸,2,アルコールは主に肝臓で代謝され、アセトアルデヒドを経て酢酸に分解される。,"代謝,肝臓,アセトアルデヒド",1,,,,,
273,M02,M02U04,アセトアルデヒドとは何か？,アルコールが代謝されてできる中間産物,アルコールを作る原料,アルコールを分解する酵素,飲酒による病気の名称,1,アルコールは肝臓でアセトアルデヒドに分解され、これが有害な作用をもつ。,"代謝,有害物質,肝臓",1,,,,,
274,M02,M02U04,アルコールの代謝に関わる酵素でないものはどれか？,ADH,ALDH2,ペプシン,ALDH1,3,ペプシンは胃の消化酵素であり、アルコール代謝とは関係がない。,"酵素,ADH,ALDH2",2,,,,,
275,M02,M02U04,アルコールの急性影響として正しいものはどれか？,判断力の低下,肝硬変の進行,アルコール依存症の発症,脂肪肝の形成,1,急性の飲酒では中枢神経の抑制により判断力や運動能力が低下する。,"急性影響,判断力,神経",1,,,,,
276,M02,M02U04,アルコール依存症の特徴はどれか？,飲酒のコントロールができない,すぐに顔が赤くなる,アルコールを全く受け付けない,一度の飲酒量が極端に少ない,1,依存症は心理的・身体的依存が形成され、飲酒をやめられなくなる状態。,"依存症,精神依存,身体依存",1,,,,,
277,M02,M02U04,アルコールハラスメントにあたる行為はどれか？,飲酒を強要する,飲み物をすすめる,乾杯を断る,水を飲む,1,アルコールハラスメントは飲酒の強要や断酒者への嫌がらせを指す。,"人間関係,ハラスメント,飲酒文化",2,,,,,
278,M02,M02U04,未成年者の飲酒が特に危険とされる理由はどれか？,脳や肝臓が未発達だから,アルコールを多く分解できるから,体重が重いから,体温が高いから,1,未成年は臓器が発達途上であり、少量の飲酒でも健康被害が大きい。,"未成年,発達,健康被害",1,,,,,
279,M02,M02U04,日本で20歳未満の飲酒が禁止されている理由はどれか？,発達への悪影響を防ぐため,税収を確保するため,飲食店の利益を守るため,医療費を減らすため,1,未成年飲酒禁止法により、発達期の健康被害を防ぐ目的で飲酒が禁止されている。,"法制度,未成年,健康保護",1,,,,,
280,M02,M02U04,飲酒運転を防止するために有効な社会的取り組みはどれか？,アルコール検知装置の設置,飲酒運転を黙認する,運転前の飲酒を推奨する,運転者に酒を提供する,1,職場や公共交通での検知装置設置や厳罰化が飲酒運転防止に効果的である。,"飲酒運転,社会対策,交通安全",2,,,,,
