id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_everyday_first_aid
691,M04,M04U05,出血時の初期対応として最も基本となる止血法はどれか？,直接圧迫止血,止血帯をすぐ巻く,患部をこする,温めて血流を促す,1,清潔な布やガーゼを出血部位に当ててしっかり圧迫するのが基本である。,"出血,止血,基本",1,,,,,
692,M04,M04U05,直接圧迫止血を行う際に適切な材料の当て方はどれか？,清潔なガーゼやハンカチを出血部位に当て確実に圧迫する,消毒液を大量にかけ続ける,出血部位をこすって血を出し切る,冷水で流し続ける,1,清潔な布を当てて強く圧迫することが止血に有効であり不要な処置は避ける。,"直接圧迫,材料,手順",2,,,,,
693,M04,M04U05,捻挫や打撲の初期手当に用いるRICE法でRが示すものはどれか？,安静,冷却,圧迫,挙上,1,RICEは安静・冷却・圧迫・挙上の頭文字であり最初は安静にする。,"RICE,捻挫,打撲",1,,,,,
694,M04,M04U05,RICE法のC（Compression）の目的はどれか？,腫れと内出血を抑える,体温を上げる,出血を促進する,関節の可動域を広げる,1,弾性包帯などで適度に圧迫することで腫脹や内出血の進行を抑える。,"RICE,圧迫,目的",1,,,,,
695,M04,M04U05,RICE法のE（Elevation）の具体的な行い方はどれか？,患部を心臓より高く保つ,患部を心臓より低く垂らす,患部を強く揉みほぐす,患部を日光に当てる,1,挙上は静脈還流を助け腫れを軽減するため心臓より高い位置に保つ。,"RICE,挙上,方法",1,,,,,
696,M04,M04U05,骨折が疑われるときの基本対応として適切なのはどれか？,動かさずに副木などで固定する,すぐに元の位置に戻す,温めて血行を促す,強くマッサージする,1,無理に動かさず患部を固定して安静にし医療機関へ搬送する。,"骨折,固定,基本対応",1,,,,,
697,M04,M04U05,熱中症が疑われる人への最初の環境調整として適切なのはどれか？,風通しのよい日陰や涼しい場所へ移す,直射日光に当て続ける,密室で休ませる,走らせて風を当てる,1,まずは涼しい場所へ移し衣服をゆるめて体を冷やすことが重要である。,"熱中症,環境調整,初期対応",1,,,,,
698,M04,M04U05,熱中症の応急手当で効率よく冷やす部位はどれか？,首・わきの下・足の付け根,背中・腰・足裏,みぞおち・腹部・ふくらはぎ,肘・膝・手の甲,1,太い血管が走る部位を冷やすと体温を下げやすい。,"熱中症,冷却部位,応急手当",1,,,,,
699,M04,M04U05,軽症の熱中症が疑われる場合の望ましい水分補給はどれか？,0.1〜0.2％の食塩を含む水や経口補水液・スポーツドリンク,純水のみを大量に飲む,アルコール飲料を飲む,濃いお茶だけを飲む,1,水分とともに適量の塩分や電解質を補うことで脱水と塩分不足を改善できる。,"熱中症,水分補給,電解質",1,,,,,
700,M04,M04U05,熱中症の重症が疑われ救急要請が必要となるサインはどれか？,意識がもうろうとして反応が鈍い,口が渇く程度の症状だけ,軽い立ちくらみのみ,少し汗が出ないだけ,1,意識障害や反応低下は重症の可能性が高く119番通報し冷却を継続する。,"熱中症,重症度,救急要請",1,,,,,
701,M04,M04U05,止血後に包帯や副木で固定する目的として正しいのはどれか？,出血や腫れの再発を防ぐため,体温を上げるため,痛みを強めるため,血流を完全に止めるため,1,固定することで患部の安静を保ち再出血や腫脹を防ぐことができる。,"固定,止血,目的",2,,,,,
702,M04,M04U05,副木固定を行う際に注意すべき点はどれか？,関節を含めて固定する,皮膚に直接副木を当てる,強く締めすぎる,骨の上だけ固定する,1,副木は関節を含めて固定し皮膚との間に布を当てて保護する。,"副木,固定,注意点",2,,,,,
703,M04,M04U05,骨折時に副木がない場合の応急手当として適切なのはどれか？,厚手の雑誌や板などで代用する,すぐに腕を動かして確認する,湿布を貼るだけにする,温めて血行を促す,1,副木がなくても硬いものを代用して動かさないようにすることが重要である。,"骨折,副木,応急手当",2,,,,,
704,M04,M04U05,擦り傷の応急手当で最も重要な最初の対応はどれか？,流水で汚れを洗い流す,すぐに消毒液を使う,ガーゼで強くこする,乾かして放置する,1,異物や汚れを洗い流して感染を防ぐことが最初の対応として重要である。,"擦り傷,感染予防,初期対応",1,,,,,
705,M04,M04U05,やけどの応急手当として正しいのはどれか？,すぐに流水で冷やす,氷を直接当てる,油を塗る,患部をこする,1,やけどは流水で15〜30分冷やすことが基本で氷や油は避ける。,"やけど,冷却,初期対応",1,,,,,
706,M04,M04U05,鼻出血の応急手当で誤っているものはどれか？,首を後ろに反らせる,小鼻を押さえてうつむき気味に座る,安静にして口呼吸をする,出血が止まらなければ病院を受診する,1,首を後ろに反らすと血液がのどに流れ込み誤嚥の危険があるため誤りである。,"鼻出血,応急手当,誤り",2,,,,,
707,M04,M04U05,打撲の応急手当で冷却する際に注意すべきことはどれか？,直接氷を当てずタオルを挟む,氷を長時間当て続ける,温めながら冷やす,冷却せずに放置する,1,凍傷防止のため直接当てず布などを介して冷やす。,"打撲,冷却,注意",2,,,,,
708,M04,M04U05,ねんざの症状として正しいのはどれか？,関節周囲の腫れや痛み,骨の変形,発熱,皮膚の水ぶくれ,1,ねんざは関節周囲の靭帯損傷により腫れや痛みが生じる。,"ねんざ,症状,関節",2,,,,,
709,M04,M04U05,RICE法でI（Ice）を行う際の適切な時間はどれか？,15〜20分を目安に行う,1時間以上続ける,5分以内で終える,冷やし続ける,1,冷やしすぎると血流障害を起こすため15〜20分を目安に行う。,"RICE,冷却,時間",2,,,,,
710,M04,M04U05,熱中症予防のための環境指標WBGTとは何を示すか？,暑さ指数,気圧指数,水分量指数,気流指数,1,WBGTは湿度・気温・輻射熱を考慮した暑さの指標である。,"熱中症,WBGT,予防",2,,,,,
711,M04,M04U05,熱中症のI度（軽度）の症状として適切なのはどれか？,めまいや立ちくらみ,意識障害,けいれん,昏睡,1,軽度では立ちくらみや筋肉痛など比較的軽い症状がみられる。,"熱中症,軽度,症状",2,,,,,
712,M04,M04U05,熱中症のⅡ度（中等症）で現れやすい症状はどれか？,頭痛や吐き気,昏睡,手足のしびれ,高熱と寒気,1,中等症では頭痛や吐き気、集中力の低下がみられる。,"熱中症,中等症,症状",2,,,,,
713,M04,M04U05,熱中症のⅢ度（重症）でみられる危険な状態はどれか？,意識障害やけいれん,筋肉痛のみ,喉の渇きのみ,軽い頭痛のみ,1,重症では脳や心臓への影響が出て意識障害やけいれんを伴う。,"熱中症,重症,症状",1,,,,,
714,M04,M04U05,熱中症予防のために特に注意が必要な条件はどれか？,高温多湿で風が弱い日,湿度が低い涼しい日,風が強い乾燥した日,気温が低く曇りの日,1,高温多湿で風がない日は熱がこもりやすく熱中症の危険が高まる。,"熱中症,予防,環境条件",1,,,,,
715,M04,M04U05,水分補給のポイントとして誤っているものはどれか？,のどが渇いてから飲む,こまめに飲む,運動前から水分をとる,塩分もあわせて補給する,1,のどが渇く前からこまめに水分をとることが熱中症予防に重要である。,"熱中症,水分補給,誤り",2,,,,,
