id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_first_aid_basics
661,M04,M04U04,応急手当とは何を目的として行うものか？,けがや病気による被害を最小限にする,けがを完全に治す,事故を防止する,医療機関の代わりをする,1,応急手当はけがや急病の際に行い，症状の悪化を防ぎ命を守ることを目的とする。,"定義,目的,一次救命処置",1,,,,,
662,M04,M04U04,応急手当を行う人に求められる態度として適切なのはどれか？,落ち着いて行動する,慌てて大声を出す,その場から立ち去る,医師を待つだけにする,1,落ち着いた行動と冷静な判断が応急手当では重要である。,"態度,行動,判断",1,,,,,
663,M04,M04U04,応急手当の手順で最初に行うべきことはどれか？,安全の確認,心肺蘇生,119番通報,AEDの使用,1,まず自分と周囲の安全を確認することが第一である。,"手順,安全確認,初期対応",1,,,,,
664,M04,M04U04,応急手当の一般的手順で安全を確認した後に行うことはどれか？,反応の確認,気道確保,人工呼吸,AED装着,1,安全確認の次に反応の有無を確かめる。,"手順,反応の確認,救命連鎖",1,,,,,
665,M04,M04U04,反応がない場合に次に行うべき行動はどれか？,助けを呼び119番通報とAEDの手配を行う,そのまま放置する,水をかけて様子を見る,マッサージをする,1,反応がない場合は速やかに協力者を求め119番通報とAED手配を行う。,"手順,通報,AED",1,,,,,
666,M04,M04U04,呼吸の有無を確認する時間として適切なのはどれか？,10秒以内,20秒以内,30秒以内,1分以内,1,呼吸の確認は10秒以内で行うことが推奨されている。,"呼吸確認,救命処置,基準",1,,,,,
667,M04,M04U04,呼吸がないと判断された場合に行う処置はどれか？,胸骨圧迫,止血,冷却,安静保持,1,呼吸がなければただちに胸骨圧迫を開始する。,"心肺蘇生,胸骨圧迫,救命処置",1,,,,,
668,M04,M04U04,胸骨圧迫のテンポとして正しいのはどれか？,1分間に100〜120回,1分間に50回以下,1分間に150回以上,自由な速さで行う,1,胸骨圧迫は1分間に100〜120回のテンポで行うのが基本である。,"胸骨圧迫,テンポ,BLS",1,,,,,
669,M04,M04U04,AEDの目的として正しいものはどれか？,心臓の正常なリズムを取り戻す,呼吸を助ける,出血を止める,体温を上げる,1,AEDは心室細動を電気ショックで止め，正常な心拍を回復させる装置である。,"AED,目的,電気ショック",1,,,,,
670,M04,M04U04,応急手当を行う意義として正しいのはどれか？,救命率を高めることができる,けが人を動かさないで済む,医療費を節約できる,通報を省略できる,1,迅速な応急手当は救命率を高め，後遺症を軽減する効果がある。,"意義,救命率,効果",1,,,,,
671,M04,M04U04,応急手当を行う際に最も大切な心構えはどれか？,勇気と冷静さ,スピードだけ,感情的になること,他人任せにすること,1,自分の安全を守りながら落ち着いて対応する勇気と冷静さが重要である。,"心構え,態度,安全確認",1,,,,,
672,M04,M04U04,反応があるが呼吸が苦しそうな人に適切な対応はどれか？,楽な姿勢をとらせる,胸骨圧迫を行う,水を飲ませる,放置する,1,意識がある場合は呼吸が楽になる姿勢をとらせ観察を続ける。,"呼吸,観察,姿勢",2,,,,,
673,M04,M04U04,119番通報を行うときに伝えるべき内容として誤っているものはどれか？,通報者の氏名と電話番号,場所や目標物,けがや病気の状況,天気の感想,4,通報時は状況や場所などの情報を正確に伝えることが重要である。,"通報,119番,内容",1,,,,,
674,M04,M04U04,119番通報の際に「意識がありません」と伝える目的はどれか？,救急隊に緊急性を伝えるため,相手を驚かせるため,原因を説明するため,報告を省略するため,1,「意識がない」と伝えることで救急隊が最優先で対応できるようになる。,"通報,意識,緊急性",1,,,,,
675,M04,M04U04,救急車を呼ぶべき状況として最も適切なのはどれか？,意識がなく呼びかけに反応がない,軽い打撲,小さな切り傷,熱中症の疑いがない,1,意識がないなど生命の危険があるときはすぐに119番通報を行う。,"救急車,通報,緊急性",1,,,,,
676,M04,M04U04,AEDが届いたときにまず確認すべきことはどれか？,電源を入れる,パッドをすぐ貼る,ショックボタンを押す,使用しない,1,まず電源を入れて音声ガイドに従うのが基本である。,"AED,操作,電源",1,,,,,
677,M04,M04U04,AEDの電極パッドを貼る位置として正しいものはどれか？,右胸と左脇腹,両肩,背中,首,1,パッドは右胸と左脇腹に貼ることで心臓をはさむ位置になる。,"AED,装着,位置",1,,,,,
678,M04,M04U04,AEDが「ショック不要」と指示した場合の対応はどれか？,胸骨圧迫を続ける,電源を切る,放置する,水を飲ませる,1,ショック不要の場合でも胸骨圧迫を継続することが重要である。,"AED,胸骨圧迫,救命処置",1,,,,,
679,M04,M04U04,応急手当を行う際の感染防止策として適切なのはどれか？,手袋を着用する,素手で接触する,消毒しない,水で流すだけにする,1,血液などに触れる可能性があるため手袋などで感染防止を行う。,"感染防止,安全,清潔",2,,,,,
680,M04,M04U04,応急手当の効果を高めるために重要な社会的要素はどれか？,多くの人が訓練を受けること,医師だけが行うこと,学校で禁止すること,機器を隠すこと,1,市民が応急手当の知識と技術を身につけることで救命率が高まる。,"社会,訓練,救命率",2,,,,,
681,M04,M04U04,心停止後1分ごとに救命率はどのように変化するか？,約10％ずつ低下する,変化しない,約5％ずつ上昇する,急に回復する,1,心停止後は1分経過するごとに救命率が約10％低下するといわれている。,"救命率,統計,経過時間",2,,,,,
682,M04,M04U04,応急手当を行う人の法的保護を定めた考え方を何というか？,善意の救護者（Good Samaritan）法,刑法,商法,道路交通法,1,善意で行った応急手当は一定の法的保護を受けるとされる。,"法的保護,救護,倫理",3,,,,,
683,M04,M04U04,一次救命処置（BLS）に含まれるものとして正しいのはどれか？,心肺蘇生とAED,包帯法と止血法,冷却と固定,安静と搬送,1,BLSは心肺蘇生とAEDの使用を中心とした基本的救命処置である。,"BLS,救命処置,AED",1,,,,,
684,M04,M04U04,救命の連鎖における最初の行動はどれか？,心停止の早期認識と通報,病院搬送,医師の診断,AEDの使用,1,救命の連鎖は「心停止の早期認識と通報」から始まる。,"救命連鎖,通報,早期認識",2,,,,,
685,M04,M04U04,救急相談センター（#7119）の役割として正しいものはどれか？,緊急性の判断を助ける,救急車を派遣する,医療費を支払う,警察に連絡する,1,#7119は救急車を呼ぶべきか判断に迷うときに相談できる窓口である。,"救急相談,通報,医療体制",2,,,,,
686,M04,M04U04,応急手当の対象として最も当てはまるのはどれか？,突然のけがや急病,慢性疾患,美容目的の処置,健康診断,1,応急手当は突然のけがや急病など緊急時に行う対応である。,"定義,対象,緊急",1,,,,,
687,M04,M04U04,救命処置を行うときの胸骨圧迫の深さとして正しいのはどれか？,5cm程度,1cm未満,10cm以上,軽く押す程度,1,成人では胸の厚さの約1/3，5cm程度の深さが目安とされる。,"胸骨圧迫,深さ,基準",1,,,,,
688,M04,M04U04,人工呼吸を行うときの正しい方法はどれか？,鼻をつまんで口から息を吹き込む,同時に胸骨圧迫する,鼻から吸わせる,口を押さえる,1,人工呼吸は鼻をつまみ口から息を吹き込み胸の動きを確認する。,"人工呼吸,手順,呼吸",2,,,,,
689,M04,M04U04,応急手当を普及させる上で学校が果たす役割はどれか？,訓練や講習を実施する,専門家に任せる,危険なので教えない,器具を撤去する,1,学校での応急手当教育は生徒の命を守る力を育む。,"教育,学校,普及",3,,,,,
690,M04,M04U04,応急手当を学ぶことの社会的意義はどれか？,地域全体の救命力を高める,個人の利益になるだけ,救急隊の負担を増やす,無関係である,1,応急手当の知識が広がることで地域の安全が向上する。,"社会的意義,救命力,地域",3,,,,,
