id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_food_hygiene_activities
1201,M07,M07U06,食品衛生の目的はどれか？,食品による健康被害を防ぐこと,食品の見た目をよくすること,食品の値段を下げること,食品の種類を増やすこと,1,食品衛生は飲食物による健康被害を防ぎ、安全な食品の提供を目的としている。,"定義,衛生,目的",1,,,,,
1202,M07,M07U06,食品衛生行政の主な役割はどれか？,食品の安全を確保すること,新商品の開発を支援すること,広告を作成すること,味覚調査を行うこと,1,行政は法律に基づき食品の安全性を確保し、衛生管理や監視を行う役割をもつ。,"行政,安全管理,役割",1,,,,,
1203,M07,M07U06,HACCPの基本的な考え方はどれか？,危害要因を分析し重要管理点を定めて管理すること,製造後に検査のみを行うこと,製品の味を均一にすること,包装を改良すること,1,HACCPは危害要因分析と重要管理点の監視によって食品の安全を確保する手法である。,"HACCP,管理,手法",1,,,,,
1204,M07,M07U06,HACCPが導入された主な理由はどれか？,製造工程全体で安全を確保するため,人件費を減らすため,流通を早くするため,輸出を促進するため,1,HACCPは製造の各段階で安全を確保することで、事故を未然に防ぐために導入された。,"HACCP,導入,目的",1,,,,,
1205,M07,M07U06,食品衛生に関する法律として正しいものはどれか？,食品衛生法,日本健康法,食品販売法,生活衛生法,1,食品衛生法は飲食に起因する健康被害を防止し、食品の安全を守るための法律である。,"法律,衛生,安全",1,,,,,
1206,M07,M07U06,食品の安全性確保における行政・生産者・消費者の関係を説明した考え方はどれか？,リスク分析の三手法,流通管理の三原則,食品分類の三体系,調理工程の三段階,1,リスク分析の三手法はリスク評価・リスク管理・リスクコミュニケーションの3要素からなる。,"リスク分析,管理,役割",1,,,,,
1207,M07,M07U06,リスクコミュニケーションの目的はどれか？,情報を共有し相互理解を深めること,商品の販売を促進すること,行政の権限を強化すること,広告を作ること,1,リスクコミュニケーションは行政・事業者・消費者が情報を共有し、安全に関する理解を深める活動である。,"リスク,コミュニケーション,理解",1,,,,,
1208,M07,M07U06,食品表示制度の目的はどれか？,消費者に正しい情報を提供すること,企業の宣伝を助けること,商品のデザインを統一すること,輸出を促進すること,1,食品表示制度は、原材料やアレルゲンなどの情報を明示し、消費者の安全な選択を支援するための仕組みである。,"表示,アレルゲン,制度",1,,,,,
1209,M07,M07U06,アレルギー表示の対象として正しいものはどれか？,卵,ごはん,キャベツ,水,1,卵や乳、小麦などはアレルギーの原因物質として表示が義務づけられている。,"アレルギー,表示,食品",1,,,,,
1210,M07,M07U06,食品の安全を守るために消費者ができることはどれか？,食品表示を確認すること,値段だけで選ぶこと,味だけで選ぶこと,賞味期限を無視すること,1,消費者は食品表示や期限を確認し、衛生的な調理・保存を心がけることが重要である。,"消費者,安全,行動",1,,,,,
1211,M07,M07U06,HACCPの手順に含まれる工程はどれか？,重要管理点の設定,最終製品の味見,販売後のアンケート,広告の作成,1,HACCPでは危害要因を分析し、重要管理点を設定して監視することが基本手順である。,"HACCP,工程,管理",1,,,,,
1212,M07,M07U06,食品衛生法における「営業許可制度」の目的はどれか？,食品を安全に取り扱う施設を確保すること,新商品開発を推進すること,輸出入を拡大すること,宣伝活動を促すこと,1,営業許可制度は、衛生基準を満たした施設でのみ食品を扱えるようにするための仕組みである。,"法律,許可,衛生",1,,,,,
