id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_health_status
31,M01,M01U02,平均寿命とは何を示す指標か？,0歳の人があと何年生きられるかの平均,国民全体の健康水準,日常生活を送れる期間,病気のない期間,1,平均寿命は0歳の人があと何年生きられるかの平均値。,平均寿命,1,,,,,
32,M01,M01U02,健康寿命とは何を示すか？,病気にかかっていない期間,日常生活を制限なく過ごせる期間,平均寿命と同じ意味,働ける年齢までの期間,2,健康寿命は介護や医療を受けずに生活できる期間を示す。,健康寿命,1,,,,,
33,M01,M01U02,日本人の平均寿命が延びた主な理由として正しいのはどれか。,医療技術や衛生環境の向上,食事量の減少,自然環境の悪化,出生率の低下,1,戦後、医療技術の進歩や衛生状態の改善により平均寿命は大幅に延びた。,平均寿命,1,,,,,
34,M01,M01U02,現在の日本人の主な死因として最も割合が高いのはどれか。,感染症,がん,自殺,肺炎,2,現代では感染症よりも生活習慣病の一つであるがんが主要な死因となっている。,死因,1,,,,,
35,M01,M01U02,1950年代と比べて現在の日本の死因の特徴として正しいものはどれか。,感染症が増加した,生活習慣病が増加した,事故死が増加した,死因の種類が減少した,2,経済発展に伴い、感染症が減少し生活習慣病が主要な死因となった。,死因,1,,,,,
36,M01,M01U02,生活習慣病の例として正しいものはどれか。,がん・心臓病・脳卒中,インフルエンザ・結核・コロナウイルス,骨折・打撲・ねんざ,食中毒・寄生虫感染,1,生活習慣病にはがん・心臓病・脳血管疾患などが含まれる。,生活習慣病,1,,,,,
37,M01,M01U02,健康の社会的決定要因(SDH)に含まれるものはどれか。,教育水準や収入,体温や脈拍,遺伝子情報,血液型,1,健康は個人の努力だけでなく社会的・経済的要因にも影響される。,社会的要因,3,,,,,
38,M01,M01U02,年齢別死亡率の特徴として正しいものはどれか。,全年齢でほぼ一定,U字型のカーブを示す,高齢者で低下する,乳児で最も高い,2,乳児期と高齢期で死亡率が高く、全体ではU字型を示す。,死亡率,1,,,,,
39,M01,M01U02,ストレスを感じている人の割合として適切なのはどれか。,10〜20％,30〜40％,50％前後,80％以上,3,厚労省調査ではおよそ半数の人が悩みやストレスを感じていると答えている。,ストレス,2,,,,,
40,M01,M01U02,健康寿命と平均寿命の差を縮めるために最も重要なのはどれか。,医療費を増やす,病気の治療より予防に力を入れる,出生率を上げる,睡眠時間を減らす,2,発症を防ぐ一次予防を重視することが健康寿命の延伸につながる。,健康寿命,1,,,,,
41,M01,M01U02,日本人の死因の第1位は何か。,脳卒中,がん,心臓病,肺炎,2,近年は生活習慣病の一つであるがんが死因の第1位。,死因,1,,,,,
42,M01,M01U02,生活習慣病の原因として適切でないものはどれか。,過度の飲酒,運動不足,感染症,喫煙,3,生活習慣病は生活習慣に起因するため、感染症は該当しない。,生活習慣病,1,,,,,
