id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_life_stages_and_health
751,M05,M05U01,ライフステージとはどのようなものか？,人の一生をいくつかの段階に分けたもの,死亡率を示す統計のこと,年齢層ごとの職業のこと,成長の速さを表す指標,1,ライフステージは人生を出生から老年期までの段階に分けたものを指す。,"定義,発達段階,人生",1,,,,,
752,M05,M05U01,乳幼児期に特徴的な健康課題はどれか？,感染症や事故の予防,生活習慣病の管理,介護予防,メンタルヘルスの維持,1,乳幼児期は免疫機能が未発達で事故の危険も高いため、予防が重要である。,"乳幼児期,感染症,事故",1,,,,,
753,M05,M05U01,学童期に多くみられる健康課題はどれか？,虫歯や視力の低下,高血圧,骨粗しょう症,糖尿病,1,学童期は生活習慣や体の使い方の影響で虫歯や視力の低下が起こりやすい。,"学童期,生活習慣,発達",2,,,,,
754,M05,M05U01,思春期における特徴的な心身の変化はどれか？,第二次性徴の出現,骨の成長が止まる,免疫力が低下する,睡眠が極端に短くなる,1,思春期は第二次性徴が現れ、身体的・精神的に大きく変化する時期である。,"思春期,第二次性徴,心身発達",1,,,,,
755,M05,M05U01,成人期の健康課題として最も適切なのはどれか？,生活習慣病の予防,感染症の流行防止,運動習慣の形成,アレルギー対策,1,成人期は生活習慣病の発症リスクが高まり、予防行動が重要になる。,"成人期,生活習慣病,予防",1,,,,,
756,M05,M05U01,高齢期に増加する健康課題はどれか？,認知症や転倒,花粉症や風邪,発達障害や視覚異常,ストレスや不眠,1,高齢期では身体機能の低下により転倒や認知症のリスクが高まる。,"高齢期,加齢,認知症",1,,,,,
757,M05,M05U01,年齢階級別死亡率の特徴として正しいのはどれか？,高齢になるほど死亡率が高い,全年齢で同じ,10代が最も高い,乳児が最も低い,1,死亡率は加齢とともに高くなり、高齢者の割合が最も高い。,"死亡率,年齢階級,統計",2,,,,,
758,M05,M05U01,乳幼児期の死亡原因として多いものはどれか？,先天異常や周産期の疾患,がん,脳卒中,心筋梗塞,1,乳幼児期は生まれつきの病気や周産期の異常が死亡原因の上位である。,"乳幼児,死亡原因,統計",2,,,,,
759,M05,M05U01,中高年期における主な死亡原因はどれか？,がんや心疾患,事故,肺炎,自殺,1,中高年期では生活習慣病が関連するがんや心疾患が上位を占める。,"中年期,生活習慣病,死亡原因",1,,,,,
760,M05,M05U01,ライフステージごとの健康支援で重要な考え方はどれか？,発達段階に応じた支援,一律の支援,病気の治療に限定した支援,経済的支援のみ,1,年齢や発達に応じて健康課題が異なるため、段階に応じた支援が必要である。,"健康支援,発達段階,予防",1,,,,,
761,M05,M05U01,思春期の社会的発達の特徴として最も適切なのはどれか？,自我の確立が進む,体力が急速に低下する,職業に就く人が多い,老化が始まる,1,思春期は自己を見つめ直す時期であり、自我の確立が進む。,"思春期,心理発達,自我",2,,,,,
762,M05,M05U01,成人期の社会的特徴として正しいのはどれか？,職業や家庭を持つ人が多く社会的責任が増す,学校生活を送る時期,身体が急速に成長する時期,依存関係が強い時期,1,成人期は社会的・経済的な役割を担う責任の大きい時期である。,"成人期,社会的役割,責任",2,,,,,
