id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_marriage_and_health
901,M06,M06U01,結婚生活とはどのようなものを指すか？,社会的に承認された男女の生活,恋愛関係にある男女の生活,同居している人々の生活,家族以外と過ごす生活,1,結婚生活とは社会的に承認された男女が協力し合い家庭を営む生活を指す。,"定義,家庭,社会的承認",1,,,,,
902,M06,M06U01,結婚生活に求められる基本的な条件はどれか？,経済力と責任感,愛情と信頼,家事能力と地位,健康と容姿,2,結婚生活では相互の愛情と信頼を基盤として協力し合うことが求められる。,"条件,愛情,信頼",1,,,,,
903,M06,M06U01,結婚生活を維持するために必要な能力として最も適切なのはどれか？,暴力的に意見を通す力,相手を尊重し話し合う力,自分の考えを押し通す力,相手を支配する力,2,結婚生活ではパートナーを尊重し、対話を通じて問題を解決する力が重要である。,"対人関係,コミュニケーション,協力",1,,,,,
904,M06,M06U01,結婚生活が心身の健康に与える影響として正しいものはどれか？,社会的支援が得やすく健康維持に良い影響をもたらす,ストレスが増加し健康を損なう,健康とは無関係,常に心身に悪影響を与える,1,結婚生活によって社会的支援が得やすくなり、心理的安定や健康維持に良い影響を与えることがある。,"健康,社会的支援,心理的安定",1,,,,,
905,M06,M06U01,結婚生活における「ドメスティック・バイオレンス（DV）」の説明として正しいものはどれか？,配偶者や恋人など親しい関係にある者への暴力,職場での上司からの暴力,子ども同士のけんか,他人への嫌がらせ,1,DVとは配偶者や恋人など親しい関係にある者への身体的・心理的暴力を指す。,"DV,暴力,人間関係",1,,,,,
906,M06,M06U01,結婚生活におけるDVの防止で大切な対応はどれか？,一人で抱え込み我慢する,信頼できる機関に相談する,相手に暴力で対抗する,家族にも黙って隠す,2,DV被害を受けた場合は一人で抱え込まず、警察や配偶者暴力相談支援センターなどに相談することが重要である。,"DV防止,相談,支援",2,,,,,
907,M06,M06U01,夫婦関係が健康に与える影響として正しいものはどれか？,良好な夫婦関係は心身の健康を支える,夫婦関係は健康に無関係,常に健康を害する,経済的要因だけに影響する,1,良好な夫婦関係は心理的安定やストレス軽減など心身の健康を支える。,"夫婦関係,健康,心理的安定",1,,,,,
908,M06,M06U01,親子関係で重要とされる「愛着（アタッチメント）」とはどれか？,親と子の間の情緒的な結びつき,しつけの厳しさ,学力の差,親の経済力,1,愛着とは親と子の間の情緒的な絆であり、子どもの心理的発達や安心感に大きく関係する。,"親子関係,愛着,発達",1,,,,,
909,M06,M06U01,親が子どもに過度に干渉する育て方のタイプを何というか？,支配型,放任型,受容型,無関心型,1,支配型の親は子どもの行動を過度に制限し、自立の妨げになることがある。,"育児,親子関係,養育態度",2,,,,,
910,M06,M06U01,子どもの成長に悪影響を与える「逆境的小児期体験（ACEs）」に含まれるものはどれか？,家庭内暴力の目撃,友人との遊び,学校行事への参加,運動会での競争,1,ACEsとは虐待や家庭内暴力など、子ども時代の逆境的経験を指し、将来の健康や行動に悪影響を及ぼす。,"ACEs,子ども,虐待",3,,,,,
