id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_medical_services_and_use
1261,M08,M08U02,医療保険制度の目的として正しいのはどれか？,医療費の個人負担を軽減する,医療費を全額自己負担にする,保険料をなくす,病気の予防を義務づける,1,医療保険制度は医療費の一部を保険でまかなうことで個人の負担を軽減することを目的としている。,"医療保険制度,目的,社会保障",1,,,,,
1262,M08,M08U02,日本の医療保険制度の基本的な仕組みとして正しいのはどれか？,国民皆保険制度,自由加入制度,年齢制限制度,企業限定制度,1,日本ではすべての国民がいずれかの公的医療保険に加入する「国民皆保険制度」が採用されている。,"国民皆保険,制度,公的保険",1,,,,,
1263,M08,M08U02,医療機関の役割分担として適切なのはどれか？,診療所は軽症や初期の診療を担う,大学病院は風邪などの軽症を診る,病院は通院できる人のみに対応する,診療所は入院専門である,1,診療所は地域の身近な医療を担い，必要に応じて病院へ紹介する役割をもつ。,"医療機関,役割,地域医療",1,,,,,
1264,M08,M08U02,かかりつけ医の役割として最も適切なのはどれか？,日常的な健康相談や初期診療を行う,専門的な高度治療のみを行う,医療費を決定する,救急搬送を担当する,1,かかりつけ医は身近な医療機関として，日常的な健康相談や初期診療を行う。,"かかりつけ医,地域医療,相談",1,,,,,
1265,M08,M08U02,医療機関を適切に利用するために重要な考え方はどれか？,セカンドオピニオン,自己判断で治療を中止する,他人の薬を利用する,診断書を拒否する,1,セカンドオピニオンとは他の医師の意見を聞くことで，より納得して治療方針を決定するための考え方である。,"医療サービス,セカンドオピニオン,自己決定",2,,,,,
1266,M08,M08U02,インフォームド・コンセントの内容として正しいのはどれか？,十分な説明と本人の同意に基づく医療,医師が独断で治療を行うこと,家族のみに説明して本人に知らせない,費用を後で知らせること,1,インフォームド・コンセントは医師が患者に説明し同意を得た上で医療を行う仕組みである。,"インフォームド・コンセント,説明,同意",1,,,,,
1267,M08,M08U02,高額療養費制度の目的として正しいのはどれか？,医療費の自己負担が高額になりすぎるのを防ぐ,保険料を全額免除する,治療費を自由に設定できるようにする,すべての医療費を国が負担する,1,高額療養費制度は一定額を超えた医療費を払い戻すことで過度な負担を防ぐ制度である。,"高額療養費制度,医療費,支援",2,,,,,
1268,M08,M08U02,医療機関におけるチーム医療の目的はどれか？,患者に最適な治療を行うために多職種が協働する,医師の負担を減らすため,診療時間を短縮するため,費用を削減するため,1,チーム医療は医師・看護師・薬剤師などが協働して患者中心の医療を行うことを目的としている。,"チーム医療,協働,患者中心",2,,,,,
1269,M08,M08U02,医療機関を受診する際に心がけるべきことはどれか？,症状や服薬の内容を正確に伝える,医師任せにする,診察を途中でやめる,薬を自己判断で変える,1,受診時には症状や服薬状況を正確に伝えることが適切な診療につながる。,"受診,医療機関,態度",1,,,,,
1270,M08,M08U02,医療サービスの地域格差を小さくするために重要なのはどれか？,地域医療支援病院の整備,医療費の全額負担,診療所の廃止,特定地域のみ治療可能にする,1,地域医療支援病院は医療連携を進めることで地域格差の是正に寄与している。,"地域医療,格差,支援",3,,,,,
1271,M08,M08U02,医療保険制度の財源として誤っているのはどれか？,保険料,公費,患者の自己負担,寄付金のみ,4,医療保険制度の財源は保険料・公費・自己負担であり，寄付金のみで運営されているわけではない。,"医療保険,財源,仕組み",2,,,,,
1272,M08,M08U02,日本で国民皆保険制度が実現したのはいつか？,1961年,1975年,1989年,2001年,1,1961年に日本ではすべての国民が医療保険に加入する国民皆保険制度が実現した。,"国民皆保険,歴史,制度",2,,,,,
1273,M08,M08U02,医療保険の給付内容として正しいのはどれか？,診療や薬剤費の一部を保険で負担する,美容整形の費用を全額負担する,健康診断を全額補助する,自由診療を全額負担する,1,医療保険は病気やけがの診療・薬剤費などの一部を負担する制度である。,"給付,医療費,制度",1,,,,,
1274,M08,M08U02,後期高齢者医療制度の対象となるのはどの年齢層か？,75歳以上,70歳以上,65歳以上,60歳以上,1,後期高齢者医療制度は75歳以上の人が対象となる公的医療制度である。,"後期高齢者医療制度,年齢,公的保険",2,,,,,
1275,M08,M08U02,医療費の自己負担割合が最も高いのはどの層か？,現役世代,子ども,高齢者,生活保護受給者,1,現役世代の自己負担は原則3割であり，高齢者などは一定の条件で軽減されている。,"自己負担,医療費,年齢層",2,,,,,
1276,M08,M08U02,医療機関における「紹介状」の役割はどれか？,他の医療機関への受診を円滑にする,治療費を減らすための書類,保険証の代わりになる,診断書と同じ意味である,1,紹介状は患者の情報を他の医療機関へ伝えることでスムーズな受診を可能にする。,"紹介状,医療連携,受診",1,,,,,
1277,M08,M08U02,医療費の国際比較において日本の特徴として正しいのはどれか？,平均寿命が長く医療費が抑えられている,平均寿命が短く医療費が高い,医師数が多く医療費が高い,入院日数が短い,1,日本は長寿国でありながら医療費は比較的抑えられていることが特徴である。,"国際比較,医療費,寿命",3,,,,,
1278,M08,M08U02,医療機関を選ぶときに大切な視点はどれか？,信頼できる情報をもとに選ぶ,広告だけで決める,家から最も遠い場所を選ぶ,診療時間が短いところを選ぶ,1,医療機関を選ぶ際は診療内容や評判など信頼できる情報を参考にすることが重要である。,"医療機関選び,判断,情報",2,,,,,
1279,M08,M08U02,医療機関における「地域医療支援病院」の役割はどれか？,他の医療機関を支援し地域連携を推進する,外国人患者のみに対応する,医療費を徴収する,小児科のみを設置する,1,地域医療支援病院は他の医療機関と連携して地域の医療水準を高める役割を持つ。,"地域医療,支援病院,連携",2,,,,,
1280,M08,M08U02,病院と診療所の区別として正しいのはどれか？,病院は20床以上の入院設備を持つ,診療所は50床以上の入院設備を持つ,両者に明確な区別はない,病院は外来のみを扱う,1,病院は入院ベッド20床以上を有し，診療所はそれ未満の医療機関を指す。,"病院,診療所,定義",1,,,,,
1281,M08,M08U02,わかりつけ医をもつことの利点として最も適切なのはどれか？,早期発見や継続的な健康管理がしやすい,診療費がすべて無料になる,病気になりにくくなる,薬がもらいやすくなる,1,かかりつけ医をもつことで健康状態を継続的に把握し早期対応が可能となる。,"かかりつけ医,健康管理,利点",1,,,,,
1282,M08,M08U02,医療における患者の権利として正しいのはどれか？,自分の治療方針に関する情報を知る権利,治療を強制される権利,医師を罰する権利,検査を拒否できない権利,1,患者には病状や治療方針について十分な説明を受ける権利がある。,"患者の権利,情報,説明",1,,,,,
1283,M08,M08U02,医療費の自己負担割合を決める要因として正しいのはどれか？,年齢や所得,性別や血液型,地域や趣味,家族構成,1,医療費の自己負担は年齢や所得に応じて異なる。,"自己負担,年齢,所得",2,,,,,
1284,M08,M08U02,医療機関でのコミュニケーションにおいて大切なことはどれか？,症状や質問をはっきり伝える,沈黙を保つ,医師の話を遮る,診療内容を秘密にする,1,医師に症状を明確に伝えることは適切な診療につながる。,"コミュニケーション,受診,態度",1,,,,,
1285,M08,M08U02,医療費抑制のために国が行っている施策として正しいのはどれか？,ジェネリック医薬品の普及促進,自由診療の義務化,医師数の削減,保険料の廃止,1,ジェネリック医薬品の使用促進は医療費抑制策の一つである。,"医療費,政策,薬剤",3,,,,,
