id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_mental_disorders_prevention
361,M03,M03U01,精神疾患の予防で重視される考え方はどれか？,ストレスや不調を早く察知して対処する,症状が悪化するまで放置する,精神疾患を完全に排除しようとする,薬だけで解決しようとする,1,早期発見とセルフケアにより重症化を防ぐことが重要とされている。,"予防,早期発見,セルフケア",1,,,,,
362,M03,M03U01,精神疾患の早期発見において大切なのはどれか？,心や体の変化に気づくこと,家族に隠すこと,気分を紛らわせること,病気を我慢すること,1,自分の変化を自覚し周囲に相談することが早期発見につながる。,"早期発見,自己理解,相談",1,,,,,
363,M03,M03U01,セルフケアの具体的な内容として適切なのはどれか？,睡眠・食事・運動のリズムを整える,常に他人と比べる,感情を抑え込む,我慢を続ける,1,基本的な生活習慣を整えることがセルフケアの基本である。,"セルフケア,生活習慣,健康行動",1,,,,,
364,M03,M03U01,心の不調を感じたときにまず行うべき対応はどれか？,信頼できる人に相談する,一人で抱え込む,他人を責める,睡眠を減らして頑張る,1,早期に相談することで適切な支援や治療につながる。,"相談,支援,早期対応",1,,,,,
365,M03,M03U01,周囲の人ができる支援として適切なのはどれか？,話を聴き共感を示す,叱って励ます,無理に明るくふるまわせる,距離を置く,1,傾聴と共感により安心感を与えることが支援につながる。,"支援,共感,傾聴",2,,,,,
366,M03,M03U01,精神疾患の治療・回復で重要とされる考え方はどれか？,リカバリー（回復）を支える,病気を完全に治すことだけを目的にする,本人の意見を無視する,薬だけに頼る,1,リカバリーは本人の生活の質や自立を重視した回復の考え方である。,"リカバリー,回復,支援",2,,,,,
367,M03,M03U01,リカバリーのうち「パーソナル・リカバリー」の特徴はどれか？,自分らしく生きることを重視する,症状を完全に消すことを目的とする,医療機関での処置に限定される,薬物療法を中心とする,1,パーソナル・リカバリーは本人の価値観や生き方を尊重した回復を目指す。,"リカバリー,自己実現,生活の質",3,,,,,
368,M03,M03U01,スティグマとは何を指すか？,精神疾患などに対する偏見や差別,治療に使う薬の名前,心理的ストレスの一種,病気の初期症状,1,スティグマとは精神疾患などに対する社会的な偏見・差別のことをいう。,"スティグマ,偏見,社会問題",2,,,,,
369,M03,M03U01,アンチスティグマの取組として適切なのはどれか？,正しい知識を広める活動,病気の人を避ける,偏見を強める発言をする,沈黙を守る,1,精神疾患への理解を広げる教育や啓発活動がアンチスティグマにつながる。,"アンチスティグマ,啓発,社会支援",2,,,,,
370,M03,M03U01,精神疾患の予防における「3つの予防」のうち、誰もが対象となるものはどれか？,一次予防（普遍予防）,二次予防（選択予防）,三次予防（特定予防）,個別予防,1,一次予防はすべての人を対象に心の健康づくりを促す予防である。,"一次予防,普遍予防,健康教育",3,,,,,
371,M03,M03U01,ストレスのサインとして当てはまるものはどれか？,眠れない・食欲がない,気分が良い,集中できる,意欲的になる,1,ストレスが強くなると睡眠や食欲に変化が現れることがある。,"ストレス,サイン,心身の変化",1,,,,,
372,M03,M03U01,精神疾患の発症に関わるリスクとして正しいものはどれか？,過度なストレスや生活習慣の乱れ,運動のしすぎ,笑いすぎ,寒暖差,1,ストレスや不規則な生活が心の不調を引き起こす要因となる。,"リスク,生活習慣,ストレス",1,,,,,
373,M03,M03U01,心の不調を早く見つけるために有効な行動はどれか？,気分や体調を日記などで記録する,無理に頑張り続ける,落ち込みを隠す,人を避ける,1,自分の変化を客観的に把握することで早期発見につながる。,"セルフモニタリング,早期発見,自己理解",2,,,,,
374,M03,M03U01,周囲の人が相談を受ける際に大切な態度はどれか？,批判せずに話を聴く,すぐに解決策を押しつける,冗談にして軽く流す,相手を責める,1,相手を受け止め共感的に聴くことで安心感を与えることができる。,"傾聴,支援,相談",2,,,,,
375,M03,M03U01,精神疾患の治療で医療機関が果たす主な役割はどれか？,診断と専門的治療,生活習慣の乱れを助長する,社会的偏見を広げる,自宅での我慢を勧める,1,医療機関は専門的な診断と治療を通じて回復を支援する。,"医療,治療,支援",1,,,,,
376,M03,M03U01,心の健康づくりのために重要な社会的要素はどれか？,安心して相談できる人間関係,厳しい競争環境,孤立した生活,他者への無関心,1,支え合える関係がストレスを緩和し心の健康に寄与する。,"社会的支援,人間関係,健康",2,,,,,
377,M03,M03U01,心の健康問題への対応で学校が果たすべき役割はどれか？,相談体制やカウンセリングの整備,生徒の悩みを無視する,不登校を叱責で解決する,成績のみ重視する,1,学校は生徒の心の不調を早期に支援できる体制づくりが重要である。,"学校支援,相談体制,予防",2,,,,,
