id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_modern_infectious_diseases
421,M03,M03U03,感染症とはどのような病気か？,病原体が人の体内に入り増えることで起こる病気,生活習慣の乱れで起こる病気,遺伝によって決まる病気,外傷によって起こる病気,1,感染症は病原体が体内に侵入・増殖して起こる病気を指す。,"定義,病原体,感染経路",1,,,,,
422,M03,M03U03,感染症の原因となる病原体として正しいものはどれか？,細菌・ウイルス・真菌など,酸素・二酸化炭素・窒素,アミノ酸・糖質・脂質,カルシウム・鉄・ナトリウム,1,感染症の原因は細菌やウイルスなどの病原体によるものである。,"病原体,感染,種類",1,,,,,
423,M03,M03U03,感染症の感染経路に含まれないものはどれか？,接触感染,空気感染,媒介動物感染,遺伝感染,4,感染経路は接触・飛沫・空気などであり遺伝は含まれない。,"感染経路,接触,飛沫",1,,,,,
424,M03,M03U03,再興感染症とはどのような感染症か？,一度減少したが再び増加してきた感染症,新たに発見された感染症,抗生物質に耐性をもつ感染症,人獣共通感染症のこと,1,再興感染症は一度減少したものの再び流行してきた感染症を指す。,"再興感染症,定義,流行",1,,,,,
425,M03,M03U03,新興感染症の例として正しいものはどれか？,エイズやSARSなど,コレラやマラリア,結核やはしか,インフルエンザ（季節性）,1,新興感染症は近年になって出現した感染症である。,"新興感染症,例,流行",1,,,,,
426,M03,M03U03,エボラ出血熱の主な感染経路はどれか？,血液や体液との接触,空気感染,蚊による媒介,水や食べ物からの感染,1,エボラ出血熱は患者の体液や血液との接触により感染する。,"エボラ出血熱,感染経路,特徴",2,,,,,
427,M03,M03U03,再興感染症が再び増加している要因として正しいものはどれか？,ワクチン接種率の低下や薬剤耐性菌の増加,新しいウイルスの発見,交通の発達,人口減少,1,予防接種の低下や耐性菌の出現が再興感染症の増加につながっている。,"再興感染症,原因,薬剤耐性",2,,,,,
428,M03,M03U03,感染症の国際的な拡大を助長する要因はどれか？,交通や貿易の発達,気温の低下,人口の減少,ワクチンの普及,1,交通や物流の発展により感染症は短期間で世界に拡大しやすくなる。,"国際化,感染拡大,グローバル化",2,,,,,
429,M03,M03U03,新型コロナウイルス感染症（COVID-19）の感染拡大を防ぐために行われた対策はどれか？,マスク着用や手洗い,抗生物質の投与,ビタミンの摂取,紫外線照射,1,COVID-19では基本的感染対策としてマスクや手洗いが推奨された。,"COVID-19,感染対策,予防",1,,,,,
430,M03,M03U03,One Healthとはどのような考え方か？,人・動物・環境を一体として健康を守る考え方,人の健康のみを重視する考え方,医療従事者の連携を重視する考え方,ウイルスの除去を目的とする考え方,1,One Healthは人と動物と環境の健康を総合的にとらえる考え方である。,"OneHealth,SDH,国際保健",3,,,,,
