id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_pharmaceutical_system_and_use
1291,M08,M08U03,医薬品とはどのようなものか？,病気の予防や治療に使われる物質,食品として摂取するもの,体の外をきれいにするためのもの,体を鍛えるための補助食品,1,医薬品は病気の予防・診断・治療を目的として人体に使用される物質である。,"定義,薬,治療",1,,,,,
1292,M08,M08U03,医薬品はどのような基準で販売方法が決められているか？,使用上のリスクに応じて分類されている,価格の高低によって決まっている,製造国によって異なる,広告の有無によって変わる,1,医薬品は副作用などのリスクに応じて処方薬や一般用医薬品などに分けられている。,"分類,販売制度,リスク",1,,,,,
1293,M08,M08U03,医師の処方せんが必要な医薬品はどれか？,医療用医薬品,要指導医薬品,第1類医薬品,第3類医薬品,1,医療用医薬品は医師や歯科医師の処方せんに基づいてのみ販売される。,"医療用医薬品,処方,販売制度",1,,,,,
1294,M08,M08U03,一般用医薬品はどのように購入できるか？,薬剤師や登録販売者から説明を受けて購入できる,自由にスーパーで購入できる,医師の診断が必要である,薬局では販売されていない,1,一般用医薬品は薬剤師や登録販売者の説明を受けて購入することができる。,"一般用医薬品,販売方法,薬局",1,,,,,
1295,M08,M08U03,要指導医薬品の特徴として正しいものはどれか？,薬剤師の対面販売が義務づけられている,誰でも自由に購入できる,副作用の心配が全くない,ネット販売が義務づけられている,1,要指導医薬品は安全性上の注意が必要なため、薬剤師の対面での説明販売が必要である。,"要指導医薬品,安全性,販売制度",2,,,,,
1296,M08,M08U03,医薬品の正しい使用において重要なことはどれか？,用法・用量を守ること,自分の判断で量を増やすこと,症状が軽くても服用をやめないこと,眠気が出ても飲み続けること,1,医薬品は決められた用法・用量を守って使用することが安全な効果につながる。,"使用方法,安全,基本",1,,,,,
1297,M08,M08U03,服用のタイミングとして最も適切なのはどれか？,指示された時間に服用する,気が向いたときに服用する,食後30分以内ならいつでもよい,朝と夜を入れ替えても問題ない,1,服用時刻は体内の薬の濃度を一定に保つため、医師や薬剤師の指示に従うことが重要である。,"服用,時間,管理",2,,,,,
1298,M08,M08U03,薬の保管で注意すべき点はどれか？,直射日光や湿気を避ける,冷凍庫に保管する,台所や浴室に置く,別の容器に移し替える,1,薬は直射日光や湿気を避け、子どもの手の届かない場所に保管する必要がある。,"保管,安全管理,注意点",2,,,,,
1299,M08,M08U03,副作用とはどのような現象か？,薬の目的以外の作用によって体に悪影響が出ること,薬が効かないこと,薬の味が苦いこと,薬が高価であること,1,副作用とは薬の本来の目的以外の作用によって体に望ましくない影響が出ることである。,"副作用,安全性,リスク",1,,,,,
1300,M08,M08U03,副作用の情報を集め安全性を確保するための仕組みはどれか？,医薬品副作用被害救済制度,薬害救済基金,国民健康保険制度,医薬品割引制度,1,副作用の報告を基に安全対策を行うため、PMDAが中心となって救済制度が運用されている。,"副作用,制度,安全対策",2,,,,,
1301,M08,M08U03,医薬品の「リスク区分」で最も注意が必要なのはどれか？,第1類医薬品,第2類医薬品,第3類医薬品,要指導医薬品,1,第1類医薬品は副作用などのリスクが比較的高く、薬剤師による説明が義務づけられている。,"リスク区分,一般用医薬品,薬剤師",2,,,,,
1302,M08,M08U03,一般用医薬品の販売に関わる専門職はどれか？,薬剤師と登録販売者,医師と看護師,理学療法士と作業療法士,臨床検査技師と放射線技師,1,一般用医薬品は薬剤師または登録販売者が販売に関与し、説明責任を負う。,"販売者,薬剤師,登録販売者",2,,,,,
1303,M08,M08U03,ジェネリック医薬品の特徴として正しいものはどれか？,有効成分が先発医薬品と同じで価格が安い,まったく新しい成分を使っている,特許が切れる前に販売される,副作用の確認が行われていない,1,ジェネリック医薬品は先発医薬品と同じ有効成分を用い、安価で同等の効果がある。,"ジェネリック,価格,有効成分",2,,,,,
1304,M08,M08U03,副作用被害救済制度の対象となるのはどのような場合か？,適正に使用したにもかかわらず副作用が出た場合,誤って大量に服用した場合,他人の薬を使った場合,医師の指示を無視した場合,1,正しく使用しても重い副作用が生じた場合には救済制度の対象となる。,"副作用,救済制度,安全対策",2,,,,,
