id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_rest_and_sleep_health
211,M02,M02U02,休養とはどのような行為を指すか？,心身の疲労を回復させる行為,体をまったく動かさないこと,仕事を完全にやめること,睡眠だけをとること,1,休養とは仕事や学業などの活動によって生じた疲労を回復するために行う行為である。,"定義,疲労回復,生活習慣",1,,,,,
212,M02,M02U02,睡眠が果たす主な役割はどれか？,心身の回復と記憶の整理,筋肉の緊張を維持すること,代謝を低下させること,運動能力を高めること,1,睡眠は身体的な疲労回復と精神的な整理・記憶の定着に重要な役割を果たす。,"睡眠,脳,回復",1,,,,,
213,M02,M02U02,レム睡眠とノンレム睡眠の特徴の組み合わせとして正しいのはどれか？,レム睡眠＝脳が活動・夢を見る,ノンレム睡眠＝浅い眠り,レム睡眠＝完全な安静,ノンレム睡眠＝夢を見る,1,"レム睡眠は脳が活発に動き夢を見る状態であり,ノンレム睡眠は深い眠りで体の回復が進む。","レム睡眠,ノンレム睡眠,脳波",1,,,,,
214,M02,M02U02,睡眠のリズムを調整するホルモンはどれか？,メラトニン,アドレナリン,セロトニン,インスリン,1,"メラトニンは夜間に分泌が増え,体内時計を整える働きをもつホルモンである。","ホルモン,体内時計,睡眠リズム",1,,,,,
215,M02,M02U02,睡眠不足が続くとどのような影響が現れるか？,注意力や判断力の低下,筋肉量の増加,免疫力の向上,代謝の促進,1,"睡眠不足は脳の働きを低下させ,注意力や判断力の低下,事故のリスク増加を招く。","睡眠不足,影響,事故",1,,,,,
216,M02,M02U02,健康的な休養のとり方として適切なのはどれか？,趣味や運動を取り入れる,一日中寝続ける,夜更かしして気分転換する,食事を抜く,1,"積極的休養として趣味や軽い運動などを行うと,血行促進やストレス解消につながる。","積極的休養,ストレス,健康増進",2,,,,,
217,M02,M02U02,日本人の平均睡眠時間として最も近いのはどれか？,約7時間,約5時間,約9時間,約10時間,1,"日本人の平均睡眠時間はおおむね7時間前後とされ,世代によって多少の差がある。","統計,睡眠時間,日本人",2,,,,,
218,M02,M02U02,睡眠不足が生活習慣病のリスクを高める理由はどれか？,ホルモン分泌や代謝の乱れを起こすから,血糖値が下がりすぎるから,体温が常に低下するから,筋肉が増えるから,1,"睡眠不足は食欲や血糖値を調整するホルモンの働きを乱し,肥満や糖尿病のリスクを高める。","生活習慣病,ホルモン,代謝",2,,,,,
219,M02,M02U02,加齢に伴う睡眠の変化として正しいのはどれか？,睡眠時間が短くなり浅くなる,深い睡眠が増える,夢を見なくなる,昼間の眠気が減る,1,"加齢とともにノンレム睡眠が減少し,全体の睡眠時間も短く浅くなる傾向がある。","加齢,睡眠,高齢者",2,,,,,
220,M02,M02U02,睡眠の質を高める生活習慣として最も適切なのはどれか？,就寝前にスマートフォンを見ない,夜遅くまでカフェインをとる,休日に昼まで寝る,寝る直前まで激しい運動をする,1,"就寝前の光刺激やカフェイン摂取は入眠を妨げるため,控えることが質のよい睡眠につながる。","生活習慣,睡眠衛生,健康づくり",2,,,,,
221,M02,M02U02,積極的休養の例として最も適切なのはどれか？,軽い運動や趣味活動,何もしないで横になる,テレビを深夜まで見る,寝る直前にスマホを操作する,1,積極的休養とは軽い運動や趣味などを通じて心身をリフレッシュする休み方である。,"積極的休養,ストレス解消,運動",2,,,,,
222,M02,M02U02,消極的休養の内容として正しいのはどれか？,静かに横になって体を休める,ストレッチや運動をする,外出して活動する,友人とカラオケに行く,1,消極的休養は体を動かさず安静にして疲労を回復させる方法である。,"消極的休養,安静,疲労回復",2,,,,,
223,M02,M02U02,睡眠不足が長期化した場合に特に高まる健康リスクはどれか？,生活習慣病,骨粗しょう症,感染症,近視,1,"慢性的な睡眠不足は肥満や糖尿病,高血圧などの生活習慣病の危険因子になる。","睡眠不足,生活習慣病,慢性疲労",1,,,,,
224,M02,M02U02,ストレス解消と睡眠の関係として正しいのはどれか？,十分な睡眠はストレスへの耐性を高める,ストレスがあると睡眠時間は長くなる,ストレスが強いほど夢を見なくなる,ストレスは睡眠に影響しない,1,良質な睡眠はホルモンや神経を安定させストレスへの抵抗力を高める。,"ストレス,睡眠,ホルモン",1,,,,,
