id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_smoking_and_health
241,M02,M02U03,喫煙によって最も直接的に影響を受ける器官はどれか？,肺,腎臓,胃,脳,1,喫煙により肺がんや慢性閉塞性肺疾患（COPD）など呼吸器系への影響が大きい。,"喫煙,呼吸器,影響",1,,,,,
242,M02,M02U03,たばこの煙に含まれる有害物質のうち発がん性があるものはどれか？,タール,一酸化炭素,ニコチン,アンモニア,1,タールは発がん性物質を多く含み、喫煙によるがんの主な原因となる。,"タール,発がん性,有害物質",1,,,,,
243,M02,M02U03,一酸化炭素が体に与える影響として正しいものはどれか？,血液の酸素運搬能力を低下させる,血圧を急激に上昇させる,神経伝達を抑制する,食欲を減退させる,1,一酸化炭素は血中ヘモグロビンと結合し、酸素運搬能力を低下させる。,"一酸化炭素,酸素欠乏,循環器",1,,,,,
244,M02,M02U03,ニコチンの作用として最も適切なものはどれか？,神経を刺激して依存を生じさせる,血糖値を急低下させる,肝機能を低下させる,免疫を強化する,1,ニコチンは脳内で快感をもたらし依存を形成する。,"ニコチン,依存性,神経",1,,,,,
245,M02,M02U03,受動喫煙によって起こる健康影響として誤っているものはどれか？,乳幼児突然死症候群の増加,心筋梗塞のリスク上昇,感染症の予防,肺がんのリスク上昇,3,受動喫煙は感染症の予防にはならず、むしろ多くの疾患リスクを高める。,"受動喫煙,健康被害,家庭",1,,,,,
246,M02,M02U03,喫煙者の1日の喫煙本数と肺がん死亡率の関係として正しいものはどれか？,本数が増えるほど死亡率が高い,喫煙本数に関係なく一定,少ないほど死亡率が高い,関係はない,1,肺がん死亡率は喫煙本数に比例して上昇することが知られている。,"喫煙本数,肺がん,統計",1,,,,,
247,M02,M02U03,喫煙をやめにくくする心理的要因として適切なものはどれか？,ストレス解消の手段と認識している,嗜好がない,医学的知識が豊富である,禁煙治療を受けている,1,喫煙をストレス解消と誤認することでやめにくくなる心理的依存が生じる。,"心理的依存,ストレス,禁煙",2,,,,,
248,M02,M02U03,日本での禁煙対策に関する法律で正しいものはどれか？,健康増進法,たばこ税法,医療安全法,薬事法,1,健康増進法により公共の場での受動喫煙防止措置が定められている。,"健康増進法,受動喫煙,政策",2,,,,,
249,M02,M02U03,世界的なたばこ対策の枠組みとして正しいものはどれか？,WHOたばこ規制枠組条約(FCTC),COPD対策国際条約,CVD防止条約,国際がん予防協定,1,FCTCは各国にたばこ対策の実施を促す国際的な条約である。,"FCTC,WHO,国際協定",2,,,,,
250,M02,M02U03,加熱式たばこの特徴として正しいものはどれか？,煙は少ないが有害物質は含まれる,有害物質は完全に除去されている,燃焼しないため健康に無害,依存性がない,1,加熱式たばこは煙が少ないが有害物質を含み依存性も残る。,"加熱式たばこ,依存,有害物質",3,,,,,
