id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_sti_and_hiv_prevention
481,M03,M03U05,性感染症（STI）とはどのような感染症か？,性的接触によって感染する病気,空気感染によって感染する病気,遺伝的に生まれつきの病気,動物から人に感染する病気,1,性感染症は主に性的接触によって感染する感染症の総称である。,"定義,感染経路,性感染症",1,,,,,
482,M03,M03U05,HIVはどのようなウイルスか？,免疫の働きを弱めるウイルス,呼吸器を攻撃するウイルス,消化器系に感染するウイルス,神経に障害を与えるウイルス,1,HIVは免疫細胞に感染して免疫機能を低下させるウイルスである。,"HIV,免疫,ウイルス",1,,,,,
483,M03,M03U05,エイズ（AIDS）とはどのような状態を指すか？,HIV感染によって免疫機能が著しく低下した状態,体に熱が出る一時的な状態,ウイルス感染が完治した状態,HIV感染が皮膚にとどまる状態,1,エイズはHIV感染が進行し免疫が低下して日和見感染を起こす状態である。,"AIDS,免疫低下,病態",1,,,,,
484,M03,M03U05,HIVの主な感染経路として正しいのはどれか？,血液や性行為を介して感染する,空気を吸い込むことで感染する,蚊に刺されることで感染する,皮膚を触るだけで感染する,1,HIVは血液・精液・膣分泌液などを介して感染するが、日常的な接触では感染しない。,"感染経路,HIV,血液感染",1,,,,,
485,M03,M03U05,日本でHIV感染者が最も多い年代層はどれか？,20〜30代,10代,40〜50代,60代以上,1,日本では20〜30代の男性の感染が最も多い。,"統計,年代,傾向",2,,,,,
486,M03,M03U05,性感染症の中で最も多く報告されているものはどれか？,クラミジア感染症,梅毒,B型肝炎,HIV感染症,1,クラミジア感染症は若年層を中心に最も多く報告されている性感染症である。,"性感染症,クラミジア,統計",2,,,,,
487,M03,M03U05,梅毒の感染経路として正しいのはどれか？,主に性的接触によって感染する,空気感染によって感染する,食事を介して感染する,虫刺されで感染する,1,梅毒は主に性的接触によって感染し、感染が進むと全身に症状が現れる。,"梅毒,感染経路,症状",2,,,,,
488,M03,M03U05,性感染症の予防で最も有効な方法の一つはどれか？,コンドームを正しく使用する,予防接種を受けないようにする,感染者と接触しないよう避ける,毎日うがいをする,1,コンドームの適切な使用はHIVを含む性感染症の予防に効果的である。,"予防,コンドーム,性感染症",1,,,,,
489,M03,M03U05,感染の不安がある場合に取るべき対応はどれか？,早めに医療機関で検査を受ける,自然に治るのを待つ,自宅で薬を飲む,他人に相談せずに放置する,1,性感染症やHIV感染の疑いがあるときは、早期に医療機関で検査を受けることが重要である。,"検査,早期発見,HIV",1,,,,,
490,M03,M03U05,社会的な性感染症対策として正しいものはどれか？,啓発活動や検査体制の充実,感染者の隔離,性交の禁止,SNSでの情報共有を制限する,1,国や自治体は啓発活動や無料検査体制の整備などにより性感染症の拡大を防いでいる。,"社会的対策,啓発,検査体制",2,,,,,
491,M03,M03U05,HIVの検査で結果が出るまでの一般的な期間はどれか？,2〜8週間,1日以内,半年以上,1年後,1,HIV検査では感染から数週間後に抗体が検出されるため結果が出るまで2〜8週間程度かかる。,"HIV,検査,期間",2,,,,,
492,M03,M03U05,HIV感染後、症状が現れにくい期間を何というか？,無症候期,潜伏感染期,感染初期,回復期,1,HIV感染後も自覚症状が少ない期間を無症候期と呼び、この間も感染力がある。,"HIV,症状,経過",2,,,,,
493,M03,M03U05,HIV感染によって起こる「日和見感染」とは何か？,免疫低下で通常は発症しない病気にかかること,急激な発熱が続く感染症,短期間で治る感染症,特定の季節に流行する感染症,1,免疫が低下すると健康な人には起きない感染症にかかりやすくなることを日和見感染という。,"免疫,日和見感染,症状",2,,,,,
494,M03,M03U05,HIV感染が確認された場合に行うべき行動はどれか？,医療機関で継続的な治療を受ける,他人に話さず放置する,自然治癒を待つ,サプリメントで治す,1,HIV感染が判明したら医療機関での治療と支援を継続的に受けることが重要である。,"治療,支援,HIV",1,,,,,
495,M03,M03U05,エイズ治療薬の主な目的はどれか？,HIVの増殖を抑えること,免疫を完全に除去すること,体温を下げること,血圧を上げること,1,抗HIV薬はウイルスの増殖を抑えてエイズ発症を防ぐことを目的としている。,"HIV,治療,薬",2,,,,,
496,M03,M03U05,抗HIV薬の服用において重要なことはどれか？,毎日決められた時間に正しく服用する,症状がなくなったら中止する,体調の良い日だけ服用する,他人の薬を分けてもらう,1,抗HIV薬は毎日規則正しく服用することが治療効果維持に不可欠である。,"HIV,服薬,治療",2,,,,,
497,M03,M03U05,HIVの感染を防ぐために個人でできる最も重要な行動はどれか？,性的接触時にコンドームを使用する,友人に相談しない,食事を別々にする,睡眠を多くとる,1,コンドームの使用はHIVを含む性感染症を防ぐ基本的な個人の対策である。,"予防,コンドーム,HIV",1,,,,,
498,M03,M03U05,HIV感染者やエイズ患者に対する社会の姿勢として望ましいものはどれか？,差別せず理解と支援をもって接する,感染を理由に隔離する,感染者の名前を公開する,特別扱いを避けるため無関心でいる,1,HIV感染者に対する差別や偏見をなくし支援を行うことが社会的課題である。,"社会的支援,差別防止,啓発",2,,,,,
499,M03,M03U05,性感染症の早期発見に役立つ方法として正しいものはどれか？,定期的な検査を受ける,症状が出たらすぐ薬を飲む,感染者の行動を避ける,運動量を増やす,1,性感染症は自覚症状が少ないことが多いため定期検査が早期発見につながる。,"検査,早期発見,性感染症",1,,,,,
500,M03,M03U05,HPV感染症の主な予防方法はどれか？,ワクチン接種,抗生物質の服用,マスクの着用,体を温める,1,HPVは子宮頸がんの原因になるためワクチン接種による予防が重要である。,"HPV,予防,ワクチン",2,,,,,
501,M03,M03U05,梅毒患者が近年増加している理由として正しいのはどれか？,性的行動の多様化や感染への油断,予防接種の普及,気温の上昇,抗生物質の効きすぎ,1,梅毒は若年層や中高年層で再び増加しており性的行動の多様化などが要因とされる。,"梅毒,統計,原因",3,,,,,
502,M03,M03U05,HIV感染の世界的な傾向として正しいのはどれか？,新規感染者は減少傾向にある,感染者が急増している,アジアでのみ感染が報告されている,女性より男性が多い,1,国際的にはHIV感染の新規発生は減少傾向だが地域差がある。,"国際,傾向,HIV",3,,,,,
503,M03,M03U05,性感染症の感染拡大を防ぐ社会的支援として重要なのはどれか？,相談窓口や検査体制の整備,罰則の強化,感染者の情報公開,性的関係の禁止,1,自治体や保健所では無料検査や相談体制を整備して感染拡大を防いでいる。,"社会支援,検査体制,相談",2,,,,,
504,M03,M03U05,HIVに感染してもエイズを発症しない状態を維持できる理由はどれか？,抗HIV薬によりウイルス増殖が抑えられているから,免疫が完全に回復するから,HIVが自然に消滅するから,食事療法で治るから,1,抗HIV薬の継続的な服用でウイルス増殖を抑えエイズ発症を防ぐことができる。,"HIV,薬,免疫",2,,,,,
505,M03,M03U05,HIV検査の方法として正しいのはどれか？,血液を採取して抗体を調べる,尿を採取して調べる,皮膚に光を当てる,唾液を塗布する,1,HIV検査では血液を用いて抗体や抗原を調べる方法が一般的である。,"検査,HIV,抗体",2,,,,,
506,M03,M03U05,HIV検査を匿名で受けられる場所として適切なのはどれか？,保健所,警察署,学校,市役所,1,保健所では無料かつ匿名でHIV検査を受けることができる。,"HIV,検査,保健所",2,,,,,
507,M03,M03U05,性感染症予防の啓発に使われる赤いリボンの意味はどれか？,エイズに対する理解と支援の象徴,恋愛の象徴,危険の警告,医療従事者の識別,1,レッドリボンはエイズへの理解・支援・連帯の象徴である。,"啓発,エイズ,象徴",3,,,,,
508,M03,M03U05,U=U（Undetectable＝Untransmittable）とは何を意味するか？,ウイルス量が検出限界以下なら感染させない,ウイルスが完全になくなる,免疫が低下する,感染力が増す,1,抗HIV治療によって体内のウイルス量が検出限界以下なら他者への感染は起きないとされる。,"HIV,治療,感染抑制",3,,,,,
509,M03,M03U05,性感染症予防の社会的取り組みの目的として正しいのはどれか？,感染拡大を防ぎ健康被害を減らす,感染者を罰する,性的行動を制限する,結婚を制限する,1,社会的取り組みは感染拡大防止と人々の健康維持を目的としている。,"社会的対策,感染防止,健康支援",2,,,,,
510,M03,M03U05,性感染症の正しい知識を広める意義として最も適切なのはどれか？,誤った偏見をなくし予防行動を促す,感染者を区別しやすくする,医療費を減らす,検査数を減らす,1,正しい知識の普及は偏見をなくし予防や受診の行動変容につながる。,"知識,啓発,予防",3,,,,,
