id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_waste_management_and_water_infrastructure
1141,M07,M07U04,ごみの処理の目的として最も適切なものはどれか？,環境への負担を減らし衛生的な生活環境を保つ,燃やして早くなくす,できるだけ埋め立てる,回収量を増やす,1,ごみ処理は衛生的な環境の維持と資源循環を目的として行われる。,"ごみ処理,衛生,目的",1,,,,,
1142,M07,M07U04,現在のごみ処理で最も多い処理方法はどれか？,焼却処理,埋立処理,再利用,堆肥化,1,日本では約8割が焼却処理されており，エネルギー回収も進められている。,"焼却,統計,環境対策",1,,,,,
1143,M07,M07U04,リサイクルの3Rに含まれないものはどれか？,リユース,リデュース,リサイクル,リプレイス,4,3Rはリデュース・リユース・リサイクルの略であり，リプレイスは含まれない。,"3R,リサイクル,用語",1,,,,,
1144,M07,M07U04,資源循環型社会の実現において最も基本となる考え方はどれか？,ごみの発生を抑える,分別収集をなくす,焼却率を上げる,使い捨て製品を増やす,1,まずごみを出さない「リデュース」が最も基本となる考え方である。,"資源循環,リデュース,社会",1,,,,,
1145,M07,M07U04,日本の上水道普及率として最も近い数値はどれか？,約50％,約75％,約90％,約98％,4,日本の上水道普及率は約98％であり，安全な水がほぼ全国に供給されている。,"上水道,普及率,統計",1,,,,,
1146,M07,M07U04,下水道の主な役割として正しいものはどれか？,生活排水の処理と公共用水域の保全,上水の供給,洪水の防止,地下水のくみ上げ,1,下水道は生活排水を衛生的に処理し，環境汚染を防ぐ役割をもつ。,"下水道,環境衛生,役割",1,,,,,
1147,M07,M07U04,ごみ処理で発生する熱エネルギーを利用する方法を何というか？,サーマルリサイクル,マテリアルリサイクル,ケミカルリサイクル,バイオリサイクル,1,焼却時に発生する熱を再利用する方法をサーマルリサイクルという。,"リサイクル,エネルギー,技術",2,,,,,
1148,M07,M07U04,安全でおいしい水を得るために行われる処理工程として正しいものはどれか？,沈殿・ろ過・消毒,加熱・冷却・ろ過,攪拌・沈殿・加圧,酸化・還元・殺菌,1,上水処理では沈殿・ろ過・消毒を行い，安全な飲料水にする。,"上水処理,工程,水質",1,,,,,
1149,M07,M07U04,生活排水中の有機物量の指標として用いられるものはどれか？,BOD,CO2,PM2.5,pH,1,BOD（生物化学的酸素要求量）は水の汚れを示す代表的な指標である。,"下水処理,指標,水質",2,,,,,
1150,M07,M07U04,近年問題となっているプラスチックごみの課題として適切なものはどれか？,マイクロプラスチックによる海洋汚染,焼却の際の酸素不足,輸送コストの増加,金属との混入,1,海洋中で微細化したプラスチックが生態系に影響を与える問題がある。,"プラスチック,海洋汚染,環境問題",2,,,,,
1151,M07,M07U04,リサイクルの種類のうち「素材を再生して再利用する」方法はどれか？,マテリアルリサイクル,サーマルリサイクル,ケミカルリサイクル,バイオリサイクル,1,マテリアルリサイクルは使い終えた製品を原材料に戻して再利用する方法である。,"リサイクル,資源,方法",2,,,,,
1152,M07,M07U04,ケミカルリサイクルとはどのような方法か？,化学的処理で原料に戻す,熱エネルギーを取り出す,そのまま再使用する,金属を取り除く,1,ケミカルリサイクルは化学反応によりプラスチックなどを原料に戻す方法である。,"リサイクル,化学,資源循環",2,,,,,
1153,M07,M07U04,ごみの排出量削減に最も効果的な行動はどれか？,不要なものを買わない,ごみをまとめて出す,ごみ袋を大きくする,回収日を増やす,1,リデュースの考え方に基づき，ごみを出さない生活行動が最も効果的である。,"リデュース,行動,環境意識",2,,,,,
1154,M07,M07U04,焼却処理において注意が必要な有害物質はどれか？,ダイオキシン,二酸化炭素,オゾン,メタン,1,不完全燃焼などで発生するダイオキシンは健康や環境への悪影響がある。,"焼却,有害物質,公害",2,,,,,
1155,M07,M07U04,下水道が普及することで改善される環境問題はどれか？,河川や海の水質汚染,都市の交通渋滞,大気中の粉じん,森林伐採,1,下水道整備は生活排水を処理し，河川や海の水質汚染を防止する。,"下水道,水質,環境改善",2,,,,,
