id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_water_and_soil_pollution_and_health
1081,M07,M07U02,水質汚濁とはどのような現象を指すか？,有害物質などにより水が汚される現象,水が蒸発して乾燥する現象,水温が急激に低下する現象,水圧が高まる現象,1,水質汚濁は化学物質や生活排水などによって河川や湖沼などの水質が悪化する現象である。,"定義,環境問題,汚染",1,,,,,
1082,M07,M07U02,四大公害病のうち水質汚濁が原因で発生したものはどれか？,水俣病とイタイイタイ病,四日市ぜんそくと新潟水俣病,イタイイタイ病と四日市ぜんそく,新潟水俣病と四日市ぜんそく,1,水質汚濁による公害病には有機水銀が原因の水俣病・新潟水俣病とカドミウムが原因のイタイイタイ病がある。,"公害病,水俣病,イタイイタイ病",1,,,,,
1083,M07,M07U02,有機水銀によって引き起こされた公害病はどれか？,水俣病,イタイイタイ病,四日市ぜんそく,第二水俣病,1,水俣病は熊本県水俣湾でメチル水銀を含む排水が原因で発生した公害病である。,"有機水銀,公害病,水俣病",1,,,,,
1084,M07,M07U02,カドミウムによって引き起こされた公害病はどれか？,イタイイタイ病,水俣病,四日市ぜんそく,第二水俣病,1,イタイイタイ病は富山県神通川流域でカドミウムによる土壌・水質汚染が原因で発生した。,"カドミウム,イタイイタイ病,土壌汚染",1,,,,,
1085,M07,M07U02,BOD（生物化学的酸素要求量）は何を示す指標か？,水中の有機物による汚染の程度,水中の無機物の量,大気中の二酸化炭素濃度,水温の変化,1,BODは水中の有機物が分解される際に必要とする酸素量であり，値が高いほど汚染が進んでいることを示す。,"BOD,水質,指標",2,,,,,
1086,M07,M07U02,COD（化学的酸素要求量）とはどのような指標か？,化学的に酸化される物質量を酸素量で示す指標,大気中の酸素濃度を示す指標,水温変化の速度を示す指標,栄養塩類の濃度を示す指標,1,CODは化学的に酸化される有機物の量を酸素消費量で示すもので，水質の汚濁度を表す。,"COD,水質汚濁,指標",2,,,,,
1087,M07,M07U02,赤潮の原因として最も適切なものはどれか？,富栄養化によるプランクトンの異常増殖,海水温の急上昇,台風による海水の混濁,酸性雨の影響,1,赤潮は生活排水などに含まれる窒素やリンの過剰供給によりプランクトンが異常増殖して発生する。,"赤潮,富栄養化,生活排水",2,,,,,
1088,M07,M07U02,トリクロロエチレンやテトラクロロエチレンはどのような汚染に関係するか？,土壌・地下水汚染,大気汚染,放射能汚染,騒音公害,1,トリクロロエチレンなどの揮発性有機化合物は工場跡地などで土壌や地下水を汚染する原因となる。,"VOC,土壌汚染,有機溶剤",2,,,,,
1089,M07,M07U02,土壌汚染の主な原因として誤っているものはどれか？,海流の変化による塩分濃度の上昇,重金属や有機溶剤の不適切な処理,工場跡地での地下水汚染,農薬の過剰使用,1,土壌汚染は主に人為的な化学物質の使用や廃棄が原因であり，自然現象によるものではない。,"土壌汚染,原因,化学物質",1,,,,,
1090,M07,M07U02,大気汚染・水質汚濁・土壌汚染の関係として正しいものはどれか？,相互に影響し合う環境問題である,それぞれ独立して発生する,水質汚濁のみが他に影響する,土壌汚染のみが大気に影響する,1,これら三つの汚染は循環的に関連しており，相互に影響を及ぼしながら人の健康に影響する。,"環境汚染,相互作用,健康影響",2,,,,,
1091,M07,M07U02,水質汚濁による健康影響でみられる症状として正しいものはどれか？,神経障害や運動失調,咳や呼吸困難,難聴や視力低下,血圧上昇,1,メチル水銀などによる水質汚濁では中枢神経系への影響として神経障害や運動失調などが生じる。,"健康影響,水質汚濁,神経障害",1,,,,,
1092,M07,M07U02,イタイイタイ病で主に影響を受ける臓器はどれか？,腎臓,肝臓,肺,脳,1,カドミウムによって腎臓機能が障害され，骨がもろくなるなどの症状が現れる。,"イタイイタイ病,腎臓,カドミウム",1,,,,,
1093,M07,M07U02,富栄養化とはどのような状態をいうか？,栄養塩類が過剰に供給された状態,栄養素が不足した状態,有害物質が除去された状態,水が高温化した状態,1,富栄養化は窒素やリンなどの栄養塩類が過剰に流入し藻類が異常繁殖する状態をいう。,"富栄養化,窒素,リン",2,,,,,
1094,M07,M07U02,放射線による健康影響のうち、急性障害に分類されるものはどれか？,短期間に大量被曝して起こる障害,長期間少量被曝で起こる障害,胎児期にのみ起こる障害,心理的ストレスによる障害,1,急性障害は短期間に大量の放射線を浴びたときに生じ，吐き気や脱毛などの症状を伴う。,"放射線,急性障害,健康影響",2,,,,,
1095,M07,M07U02,放射線による晩発障害の例として適切なものはどれか？,がんの発生,皮膚のやけど,吐き気,めまい,1,晩発障害は被曝後長期間を経て発症し，がんや白血病などのリスクを高める。,"放射線,晩発障害,がん",2,,,,,
1096,M07,M07U02,体外から受ける放射線を何というか？,外部被曝,内部被曝,自然放射線,人工放射線,1,外部被曝は放射線源が体の外にあり，体外から放射線を受ける場合をいう。,"放射線,外部被曝,定義",3,,,,,
1097,M07,M07U02,体内に取り込まれた放射性物質によって受ける被曝を何というか？,内部被曝,外部被曝,人工被曝,局所被曝,1,内部被曝は放射性物質を吸入・摂取して体内から放射線を受けることを指す。,"放射線,内部被曝,定義",3,,,,,
1098,M07,M07U02,六価クロムやトリクロロエチレンなどの汚染を防ぐために制定された法律はどれか？,土壌汚染対策法,大気汚染防止法,騒音規制法,公害健康被害補償法,1,土壌汚染対策法は有害物質による土壌・地下水の汚染防止と浄化を目的として2002年に制定された。,"土壌汚染対策法,環境政策,法制度",2,,,,,
1099,M07,M07U02,PRTR制度の目的として最も適切なものはどれか？,化学物質の排出量と移動量を把握する,産業廃棄物を分類する,温室効果ガスを削減する,騒音レベルを測定する,1,PRTR制度は化学物質の環境中への排出量や移動量を事業者が報告し，公表する仕組みである。,"PRTR,環境政策,化学物質管理",2,,,,,
