id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_adolescence_and_health
781,M05,M05U02,思春期とはどのような時期を指すか？,子どもから大人へ移行する時期,心身が安定している時期,老化が始まる時期,病気が増える時期,1,思春期は身体的・精神的に子どもから大人へ成長していく移行期をいう。,"定義,成長,発達",1,,,,,
782,M05,M05U02,思春期に起こる女性の身体的変化として正しいものはどれか？,月経が始まる,声変わりが起こる,筋肉量が大きく増加する,髭が生える,1,女性では卵巣の発達とともに初経を迎え、妊娠・出産が可能な体となる。,"女性,月経,発達",1,,,,,
783,M05,M05U02,思春期に起こる男性の身体的変化として正しいものはどれか？,精通が起こる,乳房が発達する,骨盤が広がる,体温が下がる,1,男性は精巣の発達により精子をつくるようになり、精通を経験する。,"男性,精巣,性成熟",1,,,,,
784,M05,M05U02,月経周期が約28日である理由として正しいものはどれか？,卵胞の発育と排卵のリズムによる,ホルモンが1日周期で変動するため,食事の影響による,睡眠の長さによる,1,卵胞ホルモンや黄体ホルモンなどの周期的変化によって月経周期が形成される。,"月経周期,ホルモン,生理的変化",1,,,,,
785,M05,M05U02,月経前症候群（PMS）とはどのような状態か？,月経前に心身の不調が現れる,月経中に出血が止まらない,排卵が起こらない,月経が半年以上ない,1,PMSは月経前にホルモンの影響で情緒不安や身体の不調が起こる状態をいう。,"PMS,ホルモン,健康問題",2,,,,,
786,M05,M05U02,思春期に心の不安定さが見られる主な要因はどれか？,自我のめばえによる葛藤,体力の低下,睡眠不足,栄養の偏り,1,思春期には自分を客観的に見る力が発達し、自己と他者の違いに葛藤する。,"心の発達,自我,葛藤",1,,,,,
787,M05,M05U02,思春期に見られる「自我のめばえ」とはどのようなことか？,自分を客観的に見つめ、自分らしさを意識するようになる,他人の意見に無関心になる,感情表現が乏しくなる,集団行動を避けるようになる,1,自我のめばえは自己理解や自己主張が強まり、自分らしさを模索する過程である。,"自我,心の発達,心理変化",1,,,,,
788,M05,M05U02,思春期におけるホルモンの働きで正しいものはどれか？,性腺刺激ホルモンが性の成熟を促す,成長ホルモンが分泌停止する,甲状腺ホルモンが減少する,副腎皮質ホルモンが増加する,1,脳下垂体から分泌される性腺刺激ホルモンが性腺を発達させる。,"ホルモン,内分泌,性成熟",1,,,,,
789,M05,M05U02,思春期の健康課題として適切なものはどれか？,不規則な生活やダイエットによる体調不良,骨折やけがの増加,糖尿病の進行,感染症の多発,1,生活リズムの乱れや食生活の偏り、過度なダイエットなどが心身の不調を招く。,"健康課題,生活習慣,ストレス",2,,,,,
790,M05,M05U02,思春期の健康問題に対して大切な対応はどれか？,信頼できる大人に相談する,自分だけで抱え込む,他人と比べて我慢する,インターネットで独自に解決する,1,悩みや不調を感じたときは、家族や専門家に相談することが心身の健康を守る。,"相談,支援,ストレス対処",1,,,,,
791,M05,M05U02,月経周期に関係する主なホルモンはどれか？,卵胞ホルモンと黄体ホルモン,成長ホルモンとインスリン,副腎皮質ホルモンと甲状腺ホルモン,アドレナリンとセロトニン,1,卵胞ホルモンと黄体ホルモンが周期的に変動して月経が起こる。,"ホルモン,月経,生理的変化",1,,,,,
792,M05,M05U02,排卵とはどのような現象か？,卵巣から卵子が放出されること,子宮内膜が剥がれ落ちること,卵管が収縮すること,膣から分泌物が出ること,1,排卵は卵巣から成熟した卵子が放出される現象で、受精が可能となる。,"排卵,卵子,生理機構",1,,,,,
793,M05,M05U02,初経とは何を意味するか？,初めて月経を経験すること,初めて排卵すること,初めて妊娠すること,初めて体温が上昇すること,1,初経は思春期に初めて月経が起こることを指し、女性の性成熟の指標となる。,"初経,性成熟,発達",1,,,,,
794,M05,M05U02,精通とは何を意味するか？,初めて精液を排出すること,初めて射精感を得ること,初めて尿を出すこと,初めて夢を見ること,1,精通は男性が初めて精液を排出する現象で、性の成熟を示す。,"精通,男性,性成熟",1,,,,,
795,M05,M05U02,思春期に分泌が活発になる性腺刺激ホルモンはどれか？,FSHとLH,ACTHとADH,インスリンとグルカゴン,オキシトシンとセロトニン,1,脳下垂体から分泌されるFSHとLHが性腺を刺激し、性ホルモンの分泌を促す。,"FSH,LH,性腺",1,,,,,
796,M05,M05U02,思春期における女性の健康問題で適切なものはどれか？,月経不順や月経困難症,尿失禁,更年期障害,骨粗しょう症,1,思春期ではホルモンバランスの変動により月経不順や月経痛がみられることがある。,"月経,思春期,健康問題",1,,,,,
797,M05,M05U02,月経困難症とはどのような状態か？,月経時に下腹部痛などが強く日常生活に支障をきたす,月経の周期が短くなる,出血量が極端に少なくなる,月経が止まる,1,月経困難症は月経に伴う強い痛みなどで生活に支障が出る状態である。,"月経痛,健康問題,ホルモン",2,,,,,
798,M05,M05U02,思春期における脳の発達で特徴的な部分はどれか？,前頭前野の発達,小脳の縮小,視覚野の退化,海馬の消失,1,思春期には判断力や自己抑制に関わる前頭前野が急速に発達する。,"脳,発達,前頭前野",2,,,,,
799,M05,M05U02,自己実現とはどのような状態を指すか？,自分の可能性を発揮して目標を実現すること,他人に頼らず自立すること,完璧に成功すること,感情を抑えること,1,自己実現は自分の能力や価値を認め、社会の中で発揮していく過程を指す。,"自己実現,発達,心理",2,,,,,
800,M05,M05U02,メタ認知の発達によってできるようになることはどれか？,自分の考え方を客観的に理解できる,体の成長を早める,筋肉を増やす,感情を抑える,1,メタ認知の発達により自分の思考や行動を客観的にとらえ、自己調整が可能となる。,"メタ認知,自己理解,心理発達",2,,,,,
801,M05,M05U02,思春期におけるストレス対処で望ましい行動はどれか？,信頼できる人に相談する,問題を避け続ける,感情を爆発させる,自分を責める,1,ストレスを感じたときは、信頼できる大人や友人に相談することが重要である。,"ストレス,対処,相談",1,,,,,
802,M05,M05U02,過度なダイエットによる健康への影響として正しいものはどれか？,月経不順を起こす,体力が向上する,骨密度が上がる,筋肉量が増える,1,無理なダイエットはホルモンバランスを乱し、月経不順などを引き起こす。,"ダイエット,ホルモン,健康問題",2,,,,,
803,M05,M05U02,思春期における異性への関心の高まりは何によって起こるか？,性ホルモンの分泌,食事内容の変化,学習量の増加,気温の変化,1,思春期には性ホルモンの分泌が増え、異性への関心が高まる。,"性ホルモン,異性,発達",2,,,,,
804,M05,M05U02,思春期に起こりやすい行動上の特徴はどれか？,反抗的な態度や感情の起伏が見られる,無表情で感情が乏しくなる,常に落ち着いて行動できる,社会活動に無関心になる,1,自己主張や自立心の高まりから、反抗的な行動や感情の揺れが見られることがある。,"行動変化,自立,感情",2,,,,,
805,M05,M05U02,月経周期の乱れが続くときの適切な対応はどれか？,婦人科を受診する,自分で薬を飲む,放置して様子を見る,運動量を増やす,1,月経異常が続く場合は早めに婦人科を受診し、原因を調べることが大切である。,"月経異常,医療機関,健康管理",1,,,,,
806,M05,M05U02,思春期の健康教育で重視すべき内容はどれか？,性に関する正しい知識の習得,感情を抑える訓練,異性との接触制限,学業の成績向上,1,性に関する正しい理解を深めることが、思春期の健全な成長につながる。,"性教育,知識,予防",1,,,,,
807,M05,M05U02,思春期の体の変化に不安を感じたときの望ましい行動はどれか？,信頼できる大人に相談する,SNSで情報を探す,友人だけに話す,何もせずに我慢する,1,専門家や保健室の先生など信頼できる人に相談することが望ましい。,"相談,支援,不安",1,,,,,
808,M05,M05U02,思春期の心の発達において重要な人間関係の要素はどれか？,他者との相互理解と共感,対立の強化,孤立の維持,競争の促進,1,他者との共感や理解を通して社会的な成熟が促される。,"人間関係,共感,社会性",2,,,,,
809,M05,M05U02,自己理解を深めるために有効な方法はどれか？,日記や振り返りを行う,他人と比較する,感情を隠す,成功体験を避ける,1,自分の気持ちや行動を振り返ることで、自己理解が深まる。,"自己理解,振り返り,心理発達",2,,,,,
810,M05,M05U02,思春期の心と体の調和を保つために大切なことはどれか？,生活リズムを整え、バランスよく過ごす,勉強だけに集中する,感情を抑え続ける,人との関わりを避ける,1,十分な休養とバランスの取れた生活が心身の調和を保つ鍵である。,"生活習慣,心身の調和,健康管理",1,,,,,
