id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_air_pollution_and_health
1051,M07,M07U01,大気汚染の主な発生源として正しいのはどれか？,自動車や工場などの排出ガス,海洋の塩分蒸発,火山噴火のみ,森林の光合成,1,自動車や工場の燃焼過程で発生する排出ガスが大気汚染の主な原因である。,"発生源,自動車,工場",1,,,,,
1052,M07,M07U01,ロンドンスモッグ事件の主な原因物質はどれか？,二酸化硫黄,光化学オキシダント,一酸化炭素,窒素酸化物,1,1952年のロンドンスモッグ事件は石炭燃焼による二酸化硫黄とばい煙が原因で多くの死者を出した。,"歴史,公害,二酸化硫黄",1,,,,,
1053,M07,M07U01,四日市ぜんそくの主な原因となった汚染物質はどれか？,二酸化硫黄,一酸化炭素,浮遊粒子状物質,光化学オキシダント,1,四日市コンビナート周辺での二酸化硫黄排出が慢性呼吸器疾患を引き起こした。,"公害,呼吸器疾患,二酸化硫黄",1,,,,,
1054,M07,M07U01,光化学スモッグの発生に関係する物質の組み合わせはどれか？,窒素酸化物と揮発性有機化合物,二酸化炭素と酸素,水蒸気と塩素ガス,一酸化炭素とオゾン,1,窒素酸化物とVOCが太陽光で反応して光化学オキシダントを生成しスモッグが発生する。,"光化学スモッグ,VOC,オキシダント",1,,,,,
1055,M07,M07U01,浮遊粒子状物質（SPM）の説明として正しいのはどれか？,直径10μm以下の微粒子であり呼吸器に入りやすい,液体の粒であり吸入しても無害,金属イオンのみから成る粒子,主に海水由来の塩粒,1,SPMは直径10μm以下の微粒子で、肺の奥まで入り込み健康影響を与える。,"SPM,微粒子,呼吸器",1,,,,,
1056,M07,M07U01,PM2.5とはどのような特徴をもつか？,粒径2.5μm以下の非常に小さい粒子,硫酸ガスと同義である,液体状の汚染物質である,放射性物質を含む,1,PM2.5は粒径2.5μm以下の微小粒子であり、肺の奥深くまで侵入して疾患を引き起こす。,"PM2.5,微小粒子,健康影響",1,,,,,
1057,M07,M07U01,二酸化炭素の増加によって起こる地球規模の環境問題はどれか？,地球温暖化,酸性雨,光化学スモッグ,オゾン層破壊,1,二酸化炭素は温室効果ガスの一つであり、地球の平均気温上昇の原因となる。,"温暖化,二酸化炭素,温室効果",1,,,,,
1058,M07,M07U01,酸性雨の主な原因物質の組み合わせはどれか？,二酸化硫黄と窒素酸化物,一酸化炭素とオゾン,酸素と水蒸気,VOCと二酸化炭素,1,酸性雨はSO₂やNOₓが水に溶けて酸性の雨となり、森林や建造物に被害を与える。,"酸性雨,SO2,NOx",1,,,,,
1059,M07,M07U01,フロンガスが関係する環境問題はどれか？,オゾン層破壊,酸性雨,温室効果,光化学スモッグ,1,フロンは成層圏でオゾンを分解し、紫外線の地表到達を増やす要因となる。,"フロン,オゾン層,紫外線",1,,,,,
1060,M07,M07U01,シックハウス症候群の主な原因物質として正しいのはどれか？,ホルムアルデヒド,二酸化硫黄,一酸化炭素,窒素酸化物,1,ホルムアルデヒドなどの揮発性有機化合物（VOC）が室内で発生し健康被害をもたらす。,"室内空気,VOC,健康影響",2,,,,,
1061,M07,M07U01,光化学オキシダントとはどのような物質か？,窒素酸化物とVOCが太陽光で反応してできる酸化性物質,石炭燃焼で直接発生するガス,水蒸気と二酸化炭素の混合物,海洋由来の天然ガス,1,光化学オキシダントはNOxとVOCが光化学反応して生じる酸化性物質で目や喉を刺激する。,"光化学オキシダント,光化学反応,VOC",1,,,,,
1062,M07,M07U01,一酸化炭素（CO）の健康影響として正しいのはどれか？,血液中の酸素運搬を妨げる,体温を下げる,皮膚を炎症させる,骨密度を低下させる,1,一酸化炭素はヘモグロビンと結合しやすく酸素運搬を阻害するため、酸欠症状を起こす。,"一酸化炭素,酸欠,健康影響",1,,,,,
1063,M07,M07U01,窒素酸化物（NOx）の影響として最も適切なのはどれか？,光化学スモッグや酸性雨を引き起こす,水質汚染を進行させる,温室効果を高める,土壌の窒素固定を促す,1,NOxは光化学スモッグや酸性雨の原因となる大気汚染物質である。,"窒素酸化物,酸性雨,光化学スモッグ",1,,,,,
1064,M07,M07U01,浮遊粒子状物質の中でも特に健康影響が大きいものはどれか？,PM2.5,黄砂,塩粒,煤煙,1,PM2.5は非常に小さな粒子で肺の奥まで入り込み呼吸器疾患を引き起こす。,"PM2.5,微粒子,呼吸器",1,,,,,
1065,M07,M07U01,酸性雨によって起こる影響として誤っているのはどれか？,酸性雨が土壌や湖沼を中和する,森林の衰退を招く,建造物や文化財を侵食する,魚類の生息環境を悪化させる,1,酸性雨は環境を酸性化し自然や建造物に被害を与えるが中和作用はない。,"酸性雨,環境影響,誤答",1,,,,,
1066,M07,M07U01,地球温暖化によって生じる現象として正しいのはどれか？,異常気象の増加,酸性雨の減少,大気中酸素の減少,PM2.5濃度の上昇,1,地球温暖化は気温上昇や異常気象の頻発など地球規模の環境変化をもたらす。,"温暖化,気候変動,異常気象",1,,,,,
1067,M07,M07U01,フロンガスの使用削減を目的とした国際的な条約はどれか？,モントリオール議定書,京都議定書,パリ協定,ストックホルム条約,1,モントリオール議定書はオゾン層破壊物質の削減を目的に1987年に採択された国際条約である。,"国際条約,フロン,オゾン層",2,,,,,
1068,M07,M07U01,地球温暖化対策として定められた国際的な枠組みはどれか？,パリ協定,モントリオール議定書,ストックホルム条約,ワルシャワ条約,1,パリ協定は温室効果ガス削減を国際的に進めるための枠組みとして2015年に採択された。,"温暖化,国際協定,パリ協定",2,,,,,
1069,M07,M07U01,日本における大気汚染の改善要因として正しいのはどれか？,排出ガス規制や工場の公害対策の強化,都市人口の増加,森林伐採の拡大,車両の大型化,1,大気汚染防止法などにより排出ガス規制が進み、大気環境が改善された。,"大気汚染防止法,公害対策,政策",2,,,,,
1070,M07,M07U01,環境省が提供する大気汚染の監視システムはどれか？,そらまめくん,もりのいきもの,みずのめぐみ,くうきちゃん,1,「そらまめくん」は大気汚染物質の濃度情報を公開する環境省の監視システムである。,"環境省,監視システム,情報",2,,,,,
