id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_cancer_causes_and_prevention
91,M01,M01U04,がんとはどのような病気か？,体の細胞が異常に増える病気,ウイルスによる感染症,免疫が低下する病気,細菌が体に侵入する病気,1,がんは体の中の細胞が異常に増殖し、腫瘍を形成する病気である。,"定義,腫瘍,細胞",1,,,,,
92,M01,M01U04,がんの原因として正しいのはどれか？,生活習慣,感染症,遺伝,これらすべて,4,がんの原因には生活習慣・感染・遺伝など複数の要因が関わる。,"原因,生活習慣,感染",1,,,,,
93,M01,M01U04,がんを引き起こす生活習慣として正しいのはどれか？,喫煙や飲酒,十分な睡眠,適度な運動,バランスの取れた食事,1,喫煙や飲酒などの不健康な生活習慣はがんのリスクを高める。,"生活習慣,喫煙,飲酒",1,,,,,
94,M01,M01U04,感染によって起こるがんの原因となるウイルスはどれか？,ヒトパピローマウイルス,インフルエンザウイルス,コロナウイルス,ノロウイルス,1,ヒトパピローマウイルスは子宮頸がんなどの原因となる。,"感染,ウイルス,子宮頸がん",1,,,,,
95,M01,M01U04,ヘリコバクター・ピロリ菌が関係するがんはどれか？,胃がん,肺がん,肝臓がん,大腸がん,1,ピロリ菌の感染は胃がんの発症リスクを高めることが知られている。,"細菌,感染,胃がん",1,,,,,
96,M01,M01U04,がんの一次予防の目的はどれか？,発病の原因を減らす,早期に発見する,再発を防ぐ,治療を行う,1,一次予防はがんを発症させないよう生活習慣の改善などで原因を減らすことを目的とする。,"予防,一次予防,生活習慣",1,,,,,
97,M01,M01U04,がんの二次予防の内容として適切なのはどれか？,定期的ながん検診,禁煙や節酒,ストレス解消,ワクチン接種,1,二次予防はがんの早期発見・早期治療を目的としたがん検診などが該当する。,"予防,二次予防,検診",1,,,,,
98,M01,M01U04,がんの三次予防に含まれる内容はどれか？,再発防止と社会復帰の支援,がんの発症を防ぐ,早期発見を行う,がん検診を受ける,1,三次予防は治療後の再発防止や社会復帰の支援を目的とする。,"予防,三次予防,社会支援",2,,,,,
99,M01,M01U04,日本人のがん死亡原因の上位に含まれるものはどれか？,肺がん,皮膚がん,白血病,甲状腺がん,1,日本では肺がんが最も死亡数の多いがんとして知られている。,"統計,死亡率,肺がん",2,,,,,
100,M01,M01U04,がんの早期発見が重要な理由はどれか？,治療効果が高まり生存率が上がるから,検査費用が安くなるから,完治が保証されるから,再発しなくなるから,1,早期発見・早期治療によりがんの治療成績が向上し生存率が高まる。,"早期発見,治療,生存率",1,,,,,
101,M01,M01U04,がんの発生に関係する年齢層として最も多いのはどれか？,40歳代以上,10歳未満,20歳代,30歳代,1,がんの多くは中高年期に発症する傾向があり、特に40歳代以降で増加する。,"年齢,発症,統計",2,,,,,
102,M01,M01U04,がんの罹患率が増加している理由として正しいのはどれか？,高齢化の進行,医療技術の低下,感染症の流行,出生率の低下,1,日本では人口の高齢化によりがんの罹患率が増加している。,"統計,高齢化,罹患率",2,,,,,
103,M01,M01U04,喫煙が最も関係しているがんはどれか？,肺がん,胃がん,乳がん,子宮頸がん,1,喫煙は肺がんの最大の危険因子とされている。,"喫煙,リスク,肺がん",1,,,,,
104,M01,M01U04,飲酒が関係しているがんとして正しいのはどれか？,食道がん,皮膚がん,脳腫瘍,白血病,1,アルコール摂取は食道がんや肝臓がんのリスクを高めることが知られている。,"飲酒,リスク,食道がん",2,,,,,
105,M01,M01U04,がんのリスクを下げる生活習慣として正しいのはどれか？,禁煙,夜更かし,過度な飲酒,運動不足,1,禁煙はがんの発生リスクを大きく減らす一次予防の代表例である。,"生活習慣,禁煙,予防",1,,,,,
106,M01,M01U04,ヒトパピローマウイルスの感染で発症するおそれがあるがんはどれか？,子宮頸がん,胃がん,肺がん,肝臓がん,1,HPV感染は子宮頸がんの主な原因であり、ワクチンで予防できる。,"感染,ウイルス,HPV",1,,,,,
