id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_cardiopulmonary_resuscitation
721,M04,M04U06,心肺蘇生法とはどのような処置か？,心臓や呼吸が止まった人の命を救うための応急手当,けがをした人に包帯を巻くこと,熱中症を防ぐための処置,出血を止める止血法,1,心肺蘇生法は心停止や呼吸停止の人に対して心臓と呼吸の働きを人工的に補う応急手当である。,"定義,応急手当,蘇生",1,,,,,
722,M04,M04U06,胸骨圧迫の目的はどれか？,心臓が止まっても血液を全身に送り続けるため,心拍を完全に回復させるため,呼吸を楽にするため,体温を上げるため,1,胸骨圧迫は心臓のポンプ機能を一時的に代行して血流を維持する目的で行う。,"胸骨圧迫,循環,目的",1,,,,,
723,M04,M04U06,胸骨圧迫を行う際の圧迫の深さはどれくらいか？,およそ1cm,およそ3cm,およそ5cm,およそ10cm,3,成人の場合は胸の厚さの約3分の1にあたる5cm程度の深さで圧迫する。,"胸骨圧迫,深さ,成人",1,,,,,
724,M04,M04U06,胸骨圧迫のテンポとして正しいのはどれか？,毎分60回程度,毎分80回程度,毎分100〜120回程度,毎分150回以上,3,胸骨圧迫は一定のリズムで毎分100〜120回の速さで行う。,"胸骨圧迫,回数,テンポ",1,,,,,
725,M04,M04U06,胸骨圧迫を行う手の位置として正しいのはどれか？,胸の中央,みぞおちの上,左胸の下,あごの下,1,胸骨圧迫は胸の中央（両乳頭を結んだ線の少し下）に手の付け根を置いて行う。,"胸骨圧迫,位置,手技",1,,,,,
726,M04,M04U06,人工呼吸と胸骨圧迫の組み合わせの基本はどれか？,圧迫10回ごとに人工呼吸1回,圧迫15回ごとに人工呼吸1回,圧迫30回ごとに人工呼吸2回,圧迫50回ごとに人工呼吸5回,3,基本は胸骨圧迫30回に対して人工呼吸2回の組み合わせである。,"人工呼吸,胸骨圧迫,組み合わせ",1,,,,,
727,M04,M04U06,AEDとは何か？,体温を測る機械,自動体外式除細動器,血圧を測る装置,呼吸を確認する装置,2,AEDは心臓のけいれんを電気ショックで止めて正常なリズムを取り戻す機械である。,"AED,定義,除細動",1,,,,,
728,M04,M04U06,AEDを使用する目的として正しいのはどれか？,呼吸を再開させるため,血流を完全に回復させるため,心臓のけいれんを止めて正常な拍動を取り戻すため,意識を回復させるため,3,AEDは心室細動などのけいれんを電気ショックで止めて心臓の正常なリズムを回復させる。,"AED,目的,心室細動",1,,,,,
729,M04,M04U06,AEDの使用手順で最初に行うことはどれか？,電源を入れる,電極パッドを貼る,ショックボタンを押す,人工呼吸を行う,1,AEDを使用する際は、まず電源を入れ、音声ガイダンスに従って操作を行う。,"AED,手順,初動",1,,,,,
730,M04,M04U06,心肺蘇生法を行う前に最初に確認すべきことはどれか？,反応があるかどうか,呼吸があるかどうか,脈があるかどうか,出血していないかどうか,1,まず呼びかけて反応があるかを確認し、なければ119番通報とAED手配に進む。,"心肺蘇生,手順,初期対応",1,,,,,
