id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_contraception_and_induced_abortion
871,M05,M05U05,家族計画の目的として最も適切なものはどれか？,望ましい時期に子どもをもうけること,出生率を上げること,妊娠を完全に避けること,性行為を減らすこと,1,家族計画は子どもを持つ時期や人数を自ら計画することを目的とする。,"家族計画,目的,妊娠",1,,,,,
872,M05,M05U05,避妊の主な目的はどれか？,妊娠を望まない時期に妊娠を防ぐこと,性感染症を治すこと,性欲を抑えること,月経を止めること,1,避妊は妊娠を避けるだけでなく性と生殖の健康を守る重要な行動である。,"避妊,目的,生殖",1,,,,,
873,M05,M05U05,コンドームの特徴として正しいものはどれか？,性感染症の予防にも有効である,女性しか使用できない,副作用が強い,長期間体内に留める,1,コンドームは唯一性感染症の予防もできる避妊具である。,"コンドーム,特徴,性感染症予防",1,,,,,
874,M05,M05U05,低用量ピルの主な作用はどれか？,排卵を抑える,子宮収縮を促す,月経を遅らせる,ホルモンの分泌を増やす,1,低用量ピルは女性ホルモンの作用で排卵を抑制し妊娠を防ぐ。,"低用量ピル,作用,ホルモン",1,,,,,
875,M05,M05U05,緊急避妊薬（アフターピル）の使用目的として正しいものはどれか？,避妊に失敗した後に妊娠を防ぐため,排卵を促すため,妊娠を維持するため,月経を整えるため,1,緊急避妊薬は避妊に失敗した後、一定時間内に服用して妊娠を防ぐ。,"緊急避妊薬,アフターピル,避妊",2,,,,,
876,M05,M05U05,月経周期を利用した「安全日」に関する説明として正しいものはどれか？,排卵日を予測して性行為を避ける方法,性交後に避妊具を使用する方法,ホルモン剤を服用する方法,体温を下げる方法,1,安全日法は排卵の時期を予測し妊娠の可能性が低い期間を選ぶ方法である。,"避妊法,月経周期,自然避妊",2,,,,,
877,M05,M05U05,日本で多く用いられている避妊法はどれか？,コンドーム,低用量ピル,IUD,避妊手術,1,日本では手軽で副作用が少ないコンドームの使用が最も多い。,"避妊法,日本,統計",1,,,,,
878,M05,M05U05,人工妊娠中絶が認められている法律はどれか？,母体保護法,医師法,刑法,健康増進法,1,母体保護法により一定の条件下で医師の認定を受けた人工妊娠中絶が認められている。,"人工妊娠中絶,母体保護法,法規",1,,,,,
879,M05,M05U05,日本における人工妊娠中絶の実施件数の傾向として正しいものはどれか？,年々減少している,年々増加している,ほぼ一定である,急増している,1,統計的に人工妊娠中絶件数は長期的に減少傾向にある。,"人工妊娠中絶,統計,傾向",2,,,,,
880,M05,M05U05,人工妊娠中絶を行う際に求められる条件として正しいものはどれか？,母体の健康や経済的理由など,本人の興味や希望のみ,配偶者の年齢,胎児の性別,1,人工妊娠中絶は母体の健康や経済的理由などやむを得ない場合に認められる。,"人工妊娠中絶,条件,母体保護",1,,,,,
881,M05,M05U05,コンドーム使用時に注意すべき点として正しいものはどれか？,使用前に破損がないか確認する,繰り返し使用してもよい,開封前に引っ張って伸ばす,精液を拭き取って再使用する,1,コンドームは1回限りの使用であり、破損や期限の確認が重要である。,"コンドーム,使用方法,注意点",1,,,,,
882,M05,M05U05,低用量ピルの服用を中止した場合の影響として正しいものはどれか？,再び排卵が起こる,妊娠できなくなる,月経が止まる,更年期障害になる,1,低用量ピルの服用をやめると排卵が再開し、妊娠可能になる。,"低用量ピル,排卵,服用",2,,,,,
883,M05,M05U05,緊急避妊薬（アフターピル）の服用可能な目安時間はどれか？,性交後72時間以内,性交後24時間以内,性交後1週間以内,性交後12時間以内,1,緊急避妊薬は性交後72時間以内の服用が推奨されている。,"緊急避妊薬,時間,避妊",2,,,,,
884,M05,M05U05,人工妊娠中絶が最も多く行われている年齢層はどれか？,20〜24歳,15〜19歳,25〜29歳,30〜34歳,1,日本の統計では20〜24歳女性の人工妊娠中絶件数が最も多い。,"人工妊娠中絶,統計,年齢層",2,,,,,
885,M05,M05U05,人工妊娠中絶が可能な妊娠週数の上限として正しいものはどれか？,妊娠22週未満,妊娠12週未満,妊娠30週未満,妊娠24週未満,1,母体保護法では妊娠22週未満の中絶が認められている。,"人工妊娠中絶,週数,母体保護法",1,,,,,
886,M05,M05U05,人工妊娠中絶の身体的リスクとして誤っているものはどれか？,不妊症の可能性がある,出血や感染の危険がある,心拍数が上昇して健康になる,子宮の損傷が起こることがある,3,人工妊娠中絶は心拍数上昇などの健康促進効果はなく、身体的リスクも伴う。,"人工妊娠中絶,リスク,身体影響",2,,,,,
887,M05,M05U05,人工妊娠中絶の心理的影響として考えられるものはどれか？,罪悪感や喪失感,集中力の向上,記憶力の改善,幸福感の増大,1,中絶後には精神的な不安や罪悪感を感じる人もいる。,"人工妊娠中絶,心理的影響,精神健康",2,,,,,
888,M05,M05U05,人工妊娠中絶を減らすために必要な社会的取組として最も適切なものはどれか？,性教育の充実,避妊具の制限,出産奨励金の増額,人工中絶の罰則強化,1,適切な性教育や避妊の普及が中絶の減少に役立つ。,"人工妊娠中絶,社会,性教育",3,,,,,
889,M05,M05U05,避妊法の中で最も避妊効果が高いものはどれか？,子宮内避妊具（IUD/IUS）,コンドーム,安全日法,膣外射精,1,IUDやIUSは長期間高い避妊効果を持つ。,"避妊法,IUD,IUS",2,,,,,
890,M05,M05U05,「膣外射精法」の説明として正しいものはどれか？,射精を体外で行うが避妊効果は低い,女性の体温を下げて避妊する,性交後に薬を服用する,子宮内に器具を入れる,1,膣外射精は避妊効果が不確実で失敗率が高い。,"避妊法,膣外射精,効果",2,,,,,
891,M05,M05U05,女性ホルモンを利用した避妊法に分類されるものはどれか？,低用量ピル,コンドーム,膣外射精,避妊手術,1,低用量ピルはホルモンの作用を利用して排卵を抑える。,"避妊法,ホルモン,低用量ピル",1,,,,,
892,M05,M05U05,IUD（子宮内避妊具）の特徴として正しいものはどれか？,長期間体内で避妊効果を持つ,毎回装着する必要がある,男性しか使用できない,避妊効果が不安定である,1,IUDは子宮内に装着して長期間避妊効果を発揮する。,"IUD,避妊具,特徴",2,,,,,
893,M05,M05U05,避妊を考える際に大切な視点として最も適切なものはどれか？,パートナーと話し合って選ぶ,自分だけで決める,経済的負担で選ぶ,友人の勧めで決める,1,避妊は男女が互いに責任をもって話し合うことが大切である。,"避妊,コミュニケーション,責任",1,,,,,
894,M05,M05U05,避妊法選択における「デュアルプロテクション」とはどれか？,避妊と性感染症予防の両立,2種類の薬を併用すること,同時に複数の避妊具を使うこと,長期的に妊娠を計画すること,1,デュアルプロテクションとは避妊と感染症予防を両立させる考え方である。,"避妊,デュアルプロテクション,性感染症",2,,,,,
895,M05,M05U05,人工妊娠中絶の件数減少の背景として最も関連が深いのはどれか？,避妊法の普及と性教育の充実,出産率の上昇,晩婚化の減少,出生数の増加,1,避妊法の普及と性教育の充実により中絶件数が減少している。,"人工妊娠中絶,背景,統計",2,,,,,
896,M05,M05U05,緊急避妊薬の有効成分として用いられるものはどれか？,レボノルゲストレル,エストロゲン,アドレナリン,プロゲステロン,1,緊急避妊薬にはレボノルゲストレルが使用される。,"緊急避妊薬,成分,薬理",3,,,,,
897,M05,M05U05,人工妊娠中絶に関して国際的に重視されている観点はどれか？,女性のリプロダクティブ・ライツ（性と生殖の権利）,出生率の抑制,男性の医療費負担軽減,人口減少対策,1,人工妊娠中絶の議論では女性の性と生殖の権利が重要視されている。,"人工妊娠中絶,国際,権利",3,,,,,
898,M05,M05U05,人工妊娠中絶における「母体保護法指定医」とはどのような医師か？,中絶を安全に行う資格を持つ医師,妊婦健診を担当する医師,出産を補助する助産師,産科医全員,1,母体保護法指定医は安全な中絶を行うために認定を受けた医師である。,"母体保護法,医師,制度",1,,,,,
899,M05,M05U05,避妊の失敗率が最も高いのはどれか？,膣外射精法,コンドーム,低用量ピル,IUD,1,膣外射精は成功率が低く失敗率が高い避妊法である。,"避妊法,失敗率,膣外射精",2,,,,,
900,M05,M05U05,安全で効果的な避妊法を実現するために必要なことはどれか？,正しい知識と継続的な使用,価格の安さ,強制的な制限,宗教的信条の遵守,1,避妊の成功には正しい知識と継続的な実践が不可欠である。,"避妊,知識,継続",1,,,,,
