id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_environment_and_health_measures
1111,M07,M07U03,環境汚染を防止するために最も基本となる考え方はどれか？,汚染物質を出さないようにする,汚染物質を早く処理する,汚染物質を広く分散させる,汚染物質を希釈して薄める,1,環境汚染防止の基本は「発生源対策」であり、汚染物質を出さないようにすることが最も重要である。,"環境汚染,発生源対策,予防",1,,,,,
1112,M07,M07U03,自動車排出ガスに含まれる物質のうち、健康への影響が特に大きいものはどれか？,二酸化炭素,窒素酸化物,酸素,水蒸気,2,窒素酸化物（NOx）は光化学スモッグや酸性雨の原因となり、呼吸器系疾患を引き起こす。,"自動車,排出ガス,NOx",1,,,,,
1113,M07,M07U03,公害防止において「発生源対策」が重視される理由はどれか？,汚染の発生を未然に防げるから,処理コストを抑えられるから,汚染の拡散を促進できるから,一時的な解決ができるから,1,発生源対策は原因を根本から断つため、後からの除去よりも効果的で持続的な対策となる。,"発生源対策,公害防止,予防",1,,,,,
1114,M07,M07U03,産業廃棄物とはどのような廃棄物を指すか？,家庭から出る廃棄物,商店や事務所から出る廃棄物,事業活動に伴って出る廃棄物,自治体が処理する廃棄物,3,産業廃棄物は工場や建設業などの事業活動に伴って発生する廃棄物を指す。,"産業廃棄物,定義,事業活動",1,,,,,
1115,M07,M07U03,産業廃棄物の処理で重要なことはどれか？,安価であること,再利用可能であること,適正な分別と処理を行うこと,速やかに廃棄すること,3,廃棄物は不法投棄や環境汚染を防ぐため、法に基づいた適正処理が求められている。,"産業廃棄物,適正処理,法規制",1,,,,,
1116,M07,M07U03,アスベスト（石綿）が問題となった理由はどれか？,水に溶けやすいから,呼吸により体内に入りやすく健康被害を起こすから,食べると毒性があるから,火災を起こしやすいから,2,アスベストは吸入により肺がんや中皮腫などを引き起こすことから、使用が禁止された。,"アスベスト,健康被害,吸入",1,,,,,
1117,M07,M07U03,PCB（ポリ塩化ビフェニル）の主な特徴はどれか？,自然分解しやすい,揮発性が高い,化学的に安定し分解されにくい,短期間で消失する,3,PCBは化学的に安定で分解されにくく、環境中で長期間残留するため健康被害を引き起こす。,"PCB,残留性,環境汚染",1,,,,,
1118,M07,M07U03,廃棄物の不法投棄を防ぐために必要な取り組みはどれか？,監視体制の強化,産業活動の拡大,排出基準の緩和,輸入廃棄物の増加,1,不法投棄は環境破壊につながるため、監視や罰則強化など社会的取り組みが求められている。,"不法投棄,監視,環境対策",2,,,,,
1119,M07,M07U03,環境対策における「公害防止計画」の目的はどれか？,公害を都市部に集中させる,公害の発生を地域で総合的に防ぐ,汚染物質を経済活動に利用する,企業の利益を守る,2,公害防止計画は自治体が主体となり、地域全体で環境保全を図るための計画である。,"公害防止計画,地域対策,自治体",2,,,,,
1120,M07,M07U03,環境対策における「環境アセスメント」の目的はどれか？,建設コストの削減,景観保護のためのデザイン,事業の実施が環境に与える影響を事前に評価すること,事業者の経済的利益を守ること,3,環境アセスメントは開発事業などが環境に与える影響を事前に評価し、被害を未然に防ぐ制度である。,"環境アセスメント,影響評価,予防",2,,,,,
1121,M07,M07U03,環境汚染防止の3つの基本的考え方に含まれないものはどれか？,発生源対策,拡散防止対策,被害者補償,汚染除去対策,3,環境汚染防止の基本は発生源対策・拡散防止対策・汚染除去対策であり、被害者補償は別の段階にあたる。,"環境汚染,基本,対策",1,,,,,
1122,M07,M07U03,光化学スモッグの原因物質として最も関係が深いのはどれか？,窒素酸化物と炭化水素,二酸化炭素と酸素,水蒸気とオゾン,硫黄酸化物と酸素,1,光化学スモッグは自動車などからの窒素酸化物と炭化水素が紫外線で反応して発生する。,"光化学スモッグ,窒素酸化物,炭化水素",1,,,,,
1123,M07,M07U03,酸性雨の主な原因物質はどれか？,二酸化炭素と窒素,二酸化硫黄と窒素酸化物,酸素と水素,メタンとフロン,2,酸性雨は主に二酸化硫黄（SO₂）と窒素酸化物（NOx）が大気中で反応して生じる。,"酸性雨,二酸化硫黄,窒素酸化物",1,,,,,
1124,M07,M07U03,環境基準の設定目的として最も適切なのはどれか？,経済成長の促進,健康被害の未然防止,企業の競争力強化,製品の国際化,2,環境基準は人の健康を守ることを目的に、国が定める基準値である。,"環境基準,法制度,健康保護",1,,,,,
1125,M07,M07U03,公害防止のための法律として正しいものはどれか？,大気汚染防止法,食品衛生法,道路交通法,廃棄物再生法,1,大気汚染防止法は大気中の有害物質の排出を規制する法律である。,"大気汚染防止法,法制度,公害対策",1,,,,,
1126,M07,M07U03,水質汚濁防止法の目的として正しいものはどれか？,水道料金の安定化,河川や湖沼の水質保全,漁業権の強化,農業用水の増加,2,水質汚濁防止法は水域の汚染を防止し、公共用水域の水質を守ることを目的としている。,"水質汚濁,法制度,環境保全",1,,,,,
1127,M07,M07U03,産業廃棄物に含まれないものはどれか？,建設廃材,金属くず,家庭ごみ,廃プラスチック,3,家庭から出る一般ごみは産業廃棄物ではなく一般廃棄物に分類される。,"廃棄物,分類,産業廃棄物",1,,,,,
