id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_food_safety
1171,M07,M07U05,食品の安全性とは何を指すか？,食品が健康に悪影響を与えないこと,食品がおいしいこと,食品が長持ちすること,食品が海外で生産されていること,1,食品の安全性とは人の健康に害を及ぼさないことを意味する。,"定義,健康被害,基礎",1,,,,,
1172,M07,M07U05,食中毒の主な原因として正しいものはどれか？,細菌やウイルス,酸素不足,紫外線,湿度,1,食中毒は細菌やウイルスなどの微生物が体内に入ることで起こる。,"食中毒,原因,感染症",1,,,,,
1173,M07,M07U05,細菌性食中毒の原因となる細菌はどれか？,サルモネラ菌,ノロウイルス,O157ウイルス,インフルエンザウイルス,1,細菌性食中毒はサルモネラ菌や腸管出血性大腸菌などが原因となる。,"細菌,食中毒,感染源",1,,,,,
1174,M07,M07U05,ウイルス性食中毒の代表例はどれか？,ノロウイルス感染症,カンピロバクター感染症,黄色ブドウ球菌感染症,サルモネラ症,1,ウイルス性食中毒の代表はノロウイルスであり、冬季に多発する。,"ウイルス,感染症,予防",1,,,,,
1175,M07,M07U05,化学物質による食中毒の原因となるものはどれか？,ヒスタミン,ノロウイルス,大腸菌,赤痢菌,1,化学物質による食中毒は食品中のヒスタミンや農薬残留などで起こる。,"化学物質,食中毒,衛生",2,,,,,
1176,M07,M07U05,食品の安全性に関する今日的課題として正しいものはどれか？,輸入食品,地産地消,食品ロス,リサイクル,1,海外からの輸入食品の増加に伴い安全性の確保が重要となっている。,"輸入食品,課題,国際化",2,,,,,
1177,M07,M07U05,食品添加物の主な目的として正しいものはどれか？,保存や品質の維持,風味を強くするため,食品を安くするため,色を鮮やかにするためだけ,1,食品添加物は保存性や品質を維持する目的で使用される。,"食品添加物,保存,目的",1,,,,,
1178,M07,M07U05,食品添加物の使用基準を定めている考え方はどれか？,一日摂取許容量(ADI),基礎代謝量(BMR),推定平均必要量(EAR),体格指数(BMI),1,食品添加物は安全性を評価して定めた一日摂取許容量に基づいて使用される。,"ADI,基準,化学物質",2,,,,,
1179,M07,M07U05,食品アレルギーの原因となる物質を何というか？,アレルゲン,カロリー,トランス脂肪酸,ビタミン,1,食品アレルギーは体内に入った特定のアレルゲンに免疫が反応して起こる。,"アレルギー,免疫,原因物質",1,,,,,
1180,M07,M07U05,重篤なアレルギー反応で生命に関わる状態を何というか？,アナフィラキシーショック,過換気症候群,熱中症,食中毒,1,アナフィラキシーショックは急激な全身反応で呼吸困難や血圧低下を伴う。,"アレルギー,緊急対応,健康障害",1,,,,,
1181,M07,M07U05,食中毒の発生件数が最も多い月として正しいものはどれか？,6〜8月,1〜2月,9〜10月,11〜12月,1,高温多湿となる夏季に細菌の増殖が活発になり、食中毒が多発する。,"季節,統計,衛生管理",2,,,,,
1182,M07,M07U05,食中毒の原因物質で最も多いのはどれか？,細菌,ウイルス,寄生虫,化学物質,1,細菌による食中毒が全体の多くを占め、サルモネラ菌やカンピロバクターが代表的である。,"統計,食中毒,微生物",2,,,,,
1183,M07,M07U05,ノロウイルスによる食中毒を防ぐために有効な方法はどれか？,加熱と手洗い,冷凍保存,紫外線照射,油で揚げる,1,ノロウイルスは熱に弱いため十分な加熱と手洗いで感染を防げる。,"予防,衛生,ウイルス",1,,,,,
1184,M07,M07U05,家庭で食中毒を防ぐために最も重要なことはどれか？,手洗いと十分な加熱,調味料の種類を増やす,食品を多く買い置きする,冷凍庫を詰め込みすぎる,1,清潔・加熱・冷却の基本を守ることが食中毒防止につながる。,"家庭衛生,予防,食中毒",1,,,,,
1185,M07,M07U05,カンピロバクター食中毒の主な原因食品はどれか？,鶏肉,魚介類,卵,乳製品,1,カンピロバクターは鶏肉などに多く、十分な加熱で防げる。,"カンピロバクター,原因食品,加熱",2,,,,,
1186,M07,M07U05,O157による食中毒の特徴として正しいものはどれか？,腎障害など重症化することがある,潜伏期間が非常に短い,ウイルスによる感染症である,治療には抗ウイルス薬が用いられる,1,O157は腸管出血性大腸菌で、溶血性尿毒症症候群を起こすことがある。,"O157,重症化,腎障害",1,,,,,
1187,M07,M07U05,食品アレルギーの原因食品として頻度が高いものはどれか？,卵,果物,魚,きのこ,1,卵や牛乳、小麦などが主要なアレルゲンとして知られる。,"アレルギー,原因食品,頻度",2,,,,,
1188,M07,M07U05,学校給食でアレルギー対応が必要な児童が増えている理由はどれか？,食生活や診断技術の変化,給食の量が減ったため,運動量が増えたため,輸入食材が減ったため,1,食生活の多様化や検査技術の進歩によりアレルギー診断が増えている。,"アレルギー,統計,児童",2,,,,,
1189,M07,M07U05,食品添加物の例として誤っているものはどれか？,アルコール飲料,保存料,甘味料,着色料,1,アルコール飲料は食品添加物ではなく、保存料や甘味料などが該当する。,"食品添加物,識別,誤答",2,,,,,
1190,M07,M07U05,保存料の主な役割はどれか？,微生物の繁殖を防ぐ,食品の色を良くする,味を濃くする,香りを強める,1,保存料は微生物の増殖を防ぎ食品の保存性を高める目的で使われる。,"保存料,目的,衛生管理",1,,,,,
1191,M07,M07U05,酸化防止剤の目的として正しいものはどれか？,油脂の酸化を防ぐ,香りを強める,色を変える,甘味を増す,1,酸化防止剤は油脂などの酸化を防ぎ品質を保つために使用される。,"酸化防止剤,化学変化,保存",2,,,,,
1192,M07,M07U05,食品添加物の安全性を評価する国の機関はどれか？,食品安全委員会,農林水産省,厚生労働省,環境省,1,食品安全委員会がリスク評価を行い、安全基準を定めている。,"行政,安全基準,評価機関",2,,,,,
1193,M07,M07U05,HACCPの目的として正しいものはどれか？,製造工程で危害要因を管理する,製品の味を一定に保つ,消費者の嗜好を調査する,流通コストを下げる,1,HACCPは工程管理によって食の安全を確保する仕組みである。,"HACCP,衛生管理,制度",1,,,,,
1194,M07,M07U05,HACCPの導入が義務化された年として正しいものはどれか？,2021年,2011年,2001年,1991年,1,2021年6月からすべての食品事業者にHACCP導入が義務化された。,"HACCP,制度,年号",2,,,,,
1195,M07,M07U05,輸入食品の安全性を確保するために行われている取組はどれか？,検査・監視の強化,関税の撤廃,輸入量の削減,販売促進,1,輸入食品は検査体制を整備し安全性を確認している。,"輸入食品,国際,安全確保",2,,,,,
1196,M07,M07U05,健康食品に関して注意すべきことはどれか？,過剰摂取による健康被害の可能性,医薬品と同等の効果がある,副作用が全くない,誰でも安全に利用できる,1,健康食品の中には成分の過剰摂取で健康被害を起こすものもある。,"健康食品,注意,過剰摂取",2,,,,,
1197,M07,M07U05,健康被害を防ぐために重要な行動はどれか？,表示内容を確認する,テレビ広告を信じる,友人の勧めで選ぶ,価格の安さで決める,1,食品表示の確認は安全な消費行動の基本である。,"表示,消費者行動,予防",2,,,,,
1198,M07,M07U05,食品表示でアレルギー表示が義務付けられているのはどのような食品か？,特定原材料を含む食品,輸入食品全般,低温食品,冷凍食品,1,卵・乳・小麦など特定原材料を含む食品は表示が義務付けられている。,"表示,アレルギー,義務",2,,,,,
1199,M07,M07U05,食品の安全性の確保に関わる国際的な取り組みとして正しいものはどれか？,世界食品安全デー,地球環境デー,国際食文化デー,栄養改善デー,1,毎年6月7日は世界食品安全デーとして食の安全意識を高める日である。,"国際,SDGs,食の安全",3,,,,,
1200,M07,M07U05,食品の安全性とSDGsとの関係で正しいものはどれか？,安全な食の確保はすべての人の健康と福祉に貢献する,SDGsとは関係がない,安全よりも経済優先が目標である,途上国だけが対象である,1,食の安全確保は「すべての人に健康と福祉を」などのSDGs目標に関連する。,"SDGs,国際協力,健康",3,,,,,
