id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_health_activities_and_social_measures
1321,M08,M08U04,WHO（世界保健機関）の主な役割はどれか？,国際的な保健衛生の向上を図る,戦争や紛争を防ぐ,環境保護条約を締結する,経済協力を行う,1,WHOは国際連合の専門機関として世界の人々の健康を守るために活動している。,"WHO,国際機関,保健",1,,,,,
1322,M08,M08U04,UNICEF（国連児童基金）の目的として正しいものはどれか？,子どもの権利と健康を守る,労働者の権利を守る,難民の保護を行う,高齢者福祉を推進する,1,UNICEFは発展途上国の子どもたちの健康や教育を支援している国連機関である。,"UNICEF,子ども,支援",1,,,,,
1323,M08,M08U04,NGO（非政府組織）の特徴として正しいものはどれか？,政府に依存せずに自主的に活動する,営利を目的として活動する,国連の指示で活動する,国内に限って活動する,1,NGOは政府とは独立して人道支援や環境保全などの社会的活動を行う民間組織である。,"NGO,民間,国際協力",1,,,,,
1324,M08,M08U04,NPO（非営利組織）の主な目的はどれか？,営利を目的とせず社会貢献を行う,株主への利益を分配する,政治的利益を追求する,国家予算の執行を担う,1,NPOは非営利で地域や社会の課題解決を目的とした市民主体の活動を行う。,"NPO,市民活動,社会貢献",1,,,,,
1325,M08,M08U04,日本赤十字社の活動として適切なものはどれか？,災害時の救護や血液事業,教育カリキュラムの作成,国際条約の締結,環境基準の制定,1,日本赤十字社は災害救護や医療支援などを通じて国内外の人命を守る活動を行っている。,"赤十字,救護,医療支援",1,,,,,
1326,M08,M08U04,健康日本21（第二次）の重点目標に含まれるのはどれか？,生活習慣病の予防,感染症の根絶,出生率の向上,交通事故の撲滅,1,健康日本21は国民の健康増進を目的に生活習慣病予防や健康寿命の延伸を目指している。,"健康日本21,生活習慣病,健康寿命",2,,,,,
1327,M08,M08U04,自治体による社会的対策の例として適切なのはどれか？,禁煙区域の設定や健康づくり事業,選挙制度の見直し,住宅ローンの優遇,交通税の徴収,1,自治体は住民の健康を守るため禁煙区域の設置や健康診査の実施などを行っている。,"自治体,社会的対策,健康づくり",2,,,,,
1328,M08,M08U04,SDGsにおける「すべての人に健康と福祉を」の目標番号はどれか？,3,5,7,10,1,SDGsの目標3は「すべての人に健康と福祉を」であり国際的な健康課題の解決を目指す。,"SDGs,国際目標,健康",3,,,,,
1329,M08,M08U04,JICA（国際協力機構）の主な役割はどれか？,開発途上国への技術協力や医療支援,国内企業への資金援助,農産物の輸入管理,国際貿易の監督,1,JICAは日本のODAの一環として途上国の保健・教育・インフラ整備などを支援している。,"JICA,国際協力,ODA",2,,,,,
1330,M08,M08U04,国際的な感染症対策で中心的役割を果たす組織はどれか？,WHO,ILO,UNESCO,FAO,1,感染症やパンデミック対応など世界的な保健問題の指導的役割を担うのはWHOである。,"感染症,国際機関,WHO",1,,,,,
1331,M08,M08U04,国際赤十字の理念として正しいものはどれか？,人道・公平・中立などの原則に基づく,営利活動を推進する,宗教の布教を目的とする,国家の利益を優先する,1,国際赤十字は人道・公平・中立・独立など7原則を掲げて活動している。,"赤十字,人道支援,国際原則",2,,,,,
1332,M08,M08U04,UNFPA（国連人口基金）の活動内容として正しいものはどれか？,母子保健や人口問題への支援,教育カリキュラムの作成,貿易摩擦の調整,観光振興の推進,1,UNFPAは発展途上国での母子保健やリプロダクティブ・ヘルス分野の支援を行う国連機関である。,"UNFPA,母子保健,人口問題",2,,,,,
1333,M08,M08U04,国際協力の一形態であるODAとは何を指すか？,政府開発援助,国際貿易協定,開発銀行,非営利組織,1,ODAはOfficial Development Assistanceの略で途上国の発展を支援するための政府援助である。,"ODA,国際協力,開発支援",2,,,,,
1334,M08,M08U04,グローバルヘルスの目的として最も適切なものはどれか？,国境を越えて健康問題を共有し解決する,自国の健康のみを守る,高齢化社会に対応する,観光産業を促進する,1,グローバルヘルスは感染症や生活習慣病など国境を越える健康課題に協力して取り組む考え方である。,"グローバルヘルス,国際協力,健康課題",3,,,,,
1335,M08,M08U04,Gavi（ワクチンアライアンス）の主な目的はどれか？,発展途上国への予防接種支援,災害時の救援活動,学校教育の推進,感染症の研究開発,1,Gaviは開発途上国でのワクチン接種率向上を目的として設立された国際的な連携組織である。,"Gavi,ワクチン,国際支援",3,,,,,
1336,M08,M08U04,健康日本21（第三次）の方向性として正しいものはどれか？,健康格差の縮小と生活の質の向上,経済成長の促進,出生率の維持,都市人口の拡大,1,健康日本21（第三次）は「健康寿命の延伸」と「健康格差の縮小」を重点にしている。,"健康日本21,健康格差,健康寿命",2,,,,,
1337,M08,M08U04,非感染性疾患（NCDs）として正しいものはどれか？,糖尿病・がん・循環器疾患,結核・マラリア・HIV,インフルエンザ・新型コロナ,デング熱・エボラ出血熱,1,NCDsは感染ではなく生活習慣が主な原因となる慢性疾患である。,"NCDs,生活習慣病,非感染性疾患",2,,,,,
1338,M08,M08U04,地域の健康課題を解決する主体として最も適切なものはどれか？,自治体と住民の協働,企業単独の取り組み,国際機関のみ,学校だけの活動,1,地域の健康課題は行政と住民が協働し、地域ぐるみで取り組むことが重要である。,"地域,健康課題,協働",2,,,,,
1339,M08,M08U04,民間団体の保健活動の例として適切なのはどれか？,災害被災地への医療ボランティア派遣,教育行政の管理,農業政策の立案,経済統計の作成,1,民間団体は災害支援や国際医療協力など柔軟な活動を通じて社会貢献を行っている。,"民間団体,医療支援,ボランティア",2,,,,,
1340,M08,M08U04,WHOが提唱するUHC（ユニバーサル・ヘルス・カバレッジ）の内容として正しいものはどれか？,すべての人が必要な保健サービスを受けられる,感染症を完全に根絶する,特定の国だけで医療を提供する,健康保険を廃止する,1,UHCは経済状況に関係なくすべての人が必要な医療・保健サービスを受けられる状態を指す。,"UHC,WHO,医療保障",3,,,,,
1341,M08,M08U04,WHOが行っている主な活動の一つはどれか？,感染症の国際的監視と防止,農作物の輸出入管理,気候変動の分析,教育制度の改革,1,WHOは感染症対策や医療基準の設定など国際的な保健活動を担う機関である。,"WHO,感染症対策,保健活動",1,,,,,
1342,M08,M08U04,国際NGO「国境なき医師団（MSF）」の主な活動はどれか？,紛争地や災害地での医療支援,教育制度の整備,文化財の保護,貿易協定の調整,1,MSFは医療を受けられない人々に対し緊急医療援助を行う国際NGOである。,"MSF,医療支援,国際NGO",3,,,,,
1343,M08,M08U04,国際保健分野で日本が果たしている役割として適切なものはどれか？,ODAを通じた技術協力や人材派遣,国連の常任理事国としての議決,IMFでの経済調整,貿易摩擦の解消,1,日本はODAやJICAを通じて途上国の医療体制整備などに協力している。,"日本,国際協力,ODA",2,,,,,
1344,M08,M08U04,ユニバーサル・ヘルス・カバレッジの実現に向けた課題として適切なものはどれか？,医療従事者や財源の不足,高齢者の増加抑制,出生率の上昇,農業人口の増加,1,UHCを実現するためには医療人材・財政資源・制度整備の確保が必要とされる。,"UHC,課題,医療体制",3,,,,,
1345,M08,M08U04,健康日本21における「社会環境の改善」として重視される取り組みはどれか？,禁煙や食環境の整備,通貨政策の調整,輸出増加,情報化の推進,1,健康日本21では個人の努力だけでなく社会環境を整えることが重要とされている。,"健康日本21,社会環境,生活習慣",2,,,,,
1346,M08,M08U04,災害時に自治体が行う保健活動の例として正しいものはどれか？,避難所での健康管理や感染症対策,観光客の誘致活動,税制改正の審議,農産物の輸出管理,1,災害時には自治体の保健師などが避難所で健康相談や感染症防止にあたる。,"災害,自治体,保健活動",2,,,,,
1347,M08,M08U04,国際的な感染症の代表的な例はどれか？,エイズ・マラリア・結核,糖尿病・がん・高血圧,骨折・ねんざ・打撲,花粉症・アトピー・喘息,1,HIV/エイズ・マラリア・結核は国際的に重点対策が求められる感染症である。,"感染症,国際保健,WHO",2,,,,,
1348,M08,M08U04,プライマリ・ヘルス・ケアの理念として正しいものはどれか？,地域住民が主体となり健康を守る,専門医だけが医療を提供する,先進国の支援に限定する,病気の治療のみを重視する,1,プライマリ・ヘルス・ケアは地域住民の参加を重視した包括的な保健の考え方である。,"プライマリヘルスケア,地域,保健理念",3,,,,,
1349,M08,M08U04,健康課題に対して国際的に協力する意義として適切なのはどれか？,地球規模の健康問題を共有し連携できる,自国の利益を最優先できる,国家間の競争を促進できる,医療費を削減できる,1,国際協力により感染症や災害などの課題を共有し連携して解決することができる。,"国際協力,健康課題,連携",3,,,,,
1350,M08,M08U04,住民一人ひとりが保健活動に協力する意義として最も適切なのはどれか？,健康づくりの効果が社会全体に広がる,行政の負担を減らすだけである,税金を節約できる,個人の自由を制限する,1,住民の主体的な参加は地域の健康づくりを持続可能にする力となる。,"住民,参加,健康づくり",2,,,,,
