id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_health_concepts
1,M01,M01U01,WHO憲章で定義されている健康の意味はどれか？,病気でない状態,心身ともに良好な状態,体だけが丈夫な状態,社会的に孤立していない状態,2,WHOは健康を「病気でない」ではなく、心身・社会的に良好な状態と定義している。,WHO,1,,,,,
2,M01,M01U01,QOLの正しい英語表記はどれか？,Quantity of Life,Quality of Life,Quest of Life,Queue of Life,2,QOLはQuality of Life（生活の質）のこと。,基礎,2,,,,,
3,M01,M01U01,次のうち健康の三要素に含まれないものはどれか？,体力,心の健康,社会的健康,経済的豊かさ,4,身体・精神・社会的健康の3つが健康の要素。,健康,1,,,,,
4,M01,M01U01,生活習慣病に当てはまるものはどれか？,がん,風邪,骨折,インフルエンザ,1,生活習慣に関連して発症するのが生活習慣病。,生活習慣病,2,,,,,
5,M01,M01U01,一次予防にあたるのはどれか？,病気の早期発見,予防接種,手術,リハビリ,2,一次予防は病気の発症を未然に防ぐ段階。,予防,2,,,,,
6,M01,M01U01,二次予防の例はどれか？,健康診断,禁煙,食生活改善,ワクチン接種,1,二次予防は早期発見・早期治療。,予防,2,,,,,
7,M01,M01U01,三次予防の目的はどれか？,生活習慣の改善,後遺症の悪化防止,病気を未然に防ぐ,再発を完全に防ぐ,2,三次予防はリハビリなどで重症化を防ぐこと。,予防,2,,,,,
8,M01,M01U01,ヘルスプロモーションの考え方を提唱した会議はどれか？,ジュネーブ会議,オタワ会議,パリ協定,京都会議,2,1986年のオタワ憲章でヘルスプロモーションが提唱。,WHO,1,,,,,
9,M01,M01U01,ヘルスプロモーションで重視される要素はどれか？,個人の責任だけ,社会環境の整備,医師の治療,薬の開発,2,健康は個人の努力だけでなく環境整備も重要。,WHO,1,,,,,
10,M01,M01U01,健康に影響を与える要因で最も大きいのはどれか？,遺伝,生活習慣,環境,医療,2,生活習慣が最も影響度が大きいとされる。,生活習慣,1,,,,,
11,M01,M01U01,感染症の代表例はどれか？,がん,心筋梗塞,インフルエンザ,糖尿病,3,インフルエンザは感染症。,感染症,3,,,,,
12,M01,M01U01,非感染症の代表例はどれか？,がん,風邪,インフルエンザ,コレラ,1,がんは生活習慣病などに分類される非感染症。,生活習慣病,2,,,,,
13,M01,M01U01,次のうち健康の保持増進に含まれないものはどれか？,運動,休養,栄養,遺伝,4,健康づくりの三大要素は栄養・運動・休養のバランス。,基礎,2,,,,,
14,M01,M01U01,次のうち健康指標に含まれないものはどれか？,死亡率,平均寿命,乳児死亡率,握力,4,健康指標は平均寿命や死亡率など。,健康指標,2,,,,,
15,M01,M01U01,平均寿命の説明として正しいのはどれか？,生まれてからの生存年数,ある年に生まれた人が平均して生きる年数,高齢者が生きる年数,死因の平均年齢,2,平均寿命は出生時に期待される寿命。,健康指標,2,,,,,
16,M01,M01U01,健康寿命の説明として正しいのはどれか？,病気の期間を含めた寿命,介護を受けずに生活できる期間,寿命全体,平均寿命の短縮分,2,健康寿命は介護を受けず自立して生活できる期間。,健康指標,1,,,,,
17,M01,M01U01,日本で死因の第1位はどれか？,心疾患,脳血管疾患,がん,自殺,3,日本ではがんが死因の第1位。,生活習慣病,1,,,,,
18,M01,M01U01,健康づくりのために優先すべき休養はどれか？,睡眠,昼寝,遊び,運動,1,十分な睡眠が健康づくりに最も重要。,休養,3,,,,,
19,M01,M01U01,ストレスの原因となるものはどれか？,ストレッサー,ストレスホルモン,ストレス障害,ストレス要因,1,ストレッサーが心身の負担の原因となる。,ストレス,2,,,,,
20,M01,M01U01,ストレスが強いときに優位になる神経はどれか？,交感神経,副交感神経,体性神経,感覚神経,1,ストレス時は交感神経が優位になる。,ストレス,2,,,,,
21,M01,M01U01,健康の保持増進に関して適切なのはどれか？,栄養・運動・休養,栄養・お金・友人,運動・遊び・勉強,栄養・睡眠・遺伝,1,栄養・運動・休養の3つが基本。,基礎,2,,,,,
22,M01,M01U01,生活習慣病予防として適切でないものはどれか？,適度な運動,食生活の改善,禁煙,過度な飲酒,4,生活習慣病予防には総合的な生活改善が必要。,生活習慣病,1,,,,,
23,M01,M01U01,喫煙の主な健康被害として適切なのはどれか？,骨折,肺がん,インフルエンザ,花粉症,2,喫煙は肺がんリスクを高める。,喫煙,1,,,,,
24,M01,M01U01,飲酒で特に注意すべき急性の健康障害はどれか？,急性アルコール中毒,骨粗鬆症,花粉症,骨折,1,過度の飲酒は急性アルコール中毒を引き起こす。,飲酒,2,,,,,
25,M01,M01U01,健康日本21はどれか？,感染症対策,健康増進計画,病院整備計画,医療費削減計画,2,国が策定した健康増進のための計画。,政策,2,,,,,
26,M01,M01U01,メタボリックシンドロームに含まれないのはどれか？,肥満,高血圧,高血糖,低体温,4,内臓脂肪型肥満に生活習慣病リスクが重なる状態。,生活習慣病,1,,,,,
27,M01,M01U01,がん予防に役立たないものはどれか？,禁煙,適度な運動,バランスの取れた食事,過度な紫外線浴,4,がん予防は生活習慣の改善が基本。,生活習慣病,1,,,,,
28,M01,M01U01,保健所の主な役割として適切なのはどれか？,医療提供,地域の健康づくり,薬の開発,看護師の養成,2,地域の健康を支える行政機関が保健所。,制度,2,,,,,
29,M01,M01U01,健康保険制度の主な目的はどれか？,医療費の自己負担軽減,薬代無料,健康診断の無料化,医師の給与確保,1,医療費の負担を分かち合う制度。,制度,2,,,,,
30,M01,M01U01,セルフメディケーションの説明として正しいのはどれか？,医師に頼らず市販薬などで自分の健康管理を行うこと,病院での定期健診,医療保険の利用,インターネット診療,1,セルフメディケーションは自分で健康管理を行うこと。,自己管理,2,,,,,
