id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_health_environment_and_social_participation
1351,M08,M08U05,健康づくりの考え方として最も適切なのはどれか？,個人の努力だけで健康を守ること,社会的・環境的要因も含めて健康を支えること,医療機関への受診回数を増やすこと,薬を常に携帯すること,2,健康づくりは個人の行動だけでなく社会環境の改善や支援を通じて進められる。,"健康づくり,環境,支援",1,,,,,
1352,M08,M08U05,ヘルスプロモーションの基本的な考え方として正しいのはどれか？,行政が健康政策を一方的に決定すること,人々が自らの健康をコントロールし改善できるようにすること,医療費を削減することを目的とすること,特定の病気だけを対象にすること,2,ヘルスプロモーションは人々が自ら健康を管理・改善できる力を高めることを目指す。,"ヘルスプロモーション,主体性,健康管理",1,,,,,
1353,M08,M08U05,ヘルスプロモーションの3つの柱に含まれないものはどれか？,政策づくり,地域活動の活性化,個人の責任追及,能力の向上,3,ヘルスプロモーションの柱は「政策づくり」「地域活動」「能力向上」である。,"ヘルスプロモーション,柱,政策",1,,,,,
1354,M08,M08U05,エンパワメントとは何を意味するか？,権限を与え自ら行動できる力を高めること,他人の意見に従うこと,他人の健康を管理すること,行政が管理すること,1,エンパワメントは人々が自らの生活や健康に関して主体的に行動できる力を育てることを指す。,"エンパワメント,主体性,支援",1,,,,,
1355,M08,M08U05,ヘルスリテラシーに関する説明として正しいのはどれか？,医療専門家のみが持つ知識のこと,健康に関する情報を理解し活用する力のこと,メディアの発信力を評価する力のこと,社会的地位を示す指標のこと,2,ヘルスリテラシーとは健康情報を理解し、自分や周囲の健康に生かす力をいう。,"ヘルスリテラシー,情報活用,健康教育",1,,,,,
1356,M08,M08U05,健康づくりとSDGsの関係として最も適切なのはどれか？,SDGsは環境問題だけを対象とする,健康づくりはSDGsの目標3「すべての人に健康を」に含まれる,SDGsは先進国のみが対象である,健康はSDGsの対象ではない,2,SDGs目標3は「すべての人に健康と福祉を」であり、ヘルスプロモーションの理念と重なる。,"SDGs,健康づくり,国際目標",2,,,,,
1357,M08,M08U05,ソーシャル・キャピタルとは何を指すか？,個人の資産や貯金のこと,社会の人間関係や信頼・つながりのこと,専門家の知識量のこと,国家の経済力のこと,2,ソーシャル・キャピタルは人と人との信頼やつながりといった社会的資源を意味する。,"ソーシャルキャピタル,信頼,社会関係",2,,,,,
1358,M08,M08U05,健康の社会的決定要因（SDH）に含まれるものはどれか？,遺伝的要因,社会的地位や教育・職業など,個人の好み,病院の数,2,健康の社会的決定要因（SDH）は所得・教育・職業など社会的環境の影響を指す。,"SDH,社会的要因,健康格差",2,,,,,
1359,M08,M08U05,「自然に健康になってしまう仕掛け（Nudge）」の例として適切なのはどれか？,階段を目立つ位置に設置すること,喫煙所を増やすこと,お菓子をレジ前に置くこと,照明を暗くすること,1,人の無意識な行動を利用し健康的な選択を促す仕組みをナッジという。,"ナッジ,行動科学,環境設計",3,,,,,
1360,M08,M08U05,健康づくりにおける多様な主体の協働が重視される理由はどれか？,行政のみで全ての健康課題を解決できるから,地域や企業、市民が連携して効果的な取り組みができるから,市民の意見を排除するため,専門家のみに任せるため,2,健康課題は多面的であるため、行政・企業・市民が協働して環境を改善することが重要である。,"協働,地域,健康政策",2,,,,,
