id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_healthy_work_life
1021,M06,M06U05,健康的な職業生活の基本的な目的はどれか？,働く人の安全と健康の確保,収入の増加,生産性の向上,勤務時間の短縮,1,健康的な職業生活の目的は働く人の安全と健康を確保し快適な職場環境をつくること。,"定義,安全衛生,職場環境",1,,,,,
1022,M06,M06U05,THP（Total Health Promotion Plan）の目的はどれか？,心身両面からの健康づくりを進める,感染症の予防を徹底する,賃金格差を是正する,退職後の生活を保障する,1,THPは心と体の両面から健康づくりを推進する総合的な計画である。,"THP,健康づくり,職場",1,,,,,
1023,M06,M06U05,THPにおける健康づくりスタッフに含まれる職種はどれか？,保健師,社会福祉士,薬剤師,介護福祉士,1,THPでは保健師や運動指導士、栄養士などの専門職が協働して健康づくりを支援する。,"THP,専門職,協働",2,,,,,
1024,M06,M06U05,メンタルヘルスケアの目的として正しいものはどれか？,心の健康の保持増進,身体能力の強化,栄養バランスの改善,業務成績の向上,1,メンタルヘルスケアは働く人の心の健康を守り、ストレスへの対処力を高めることを目的とする。,"メンタルヘルス,ストレス,予防",1,,,,,
1025,M06,M06U05,職場におけるメンタルヘルス対策の第1ステップに当たるものはどれか？,セルフケア,ラインによるケア,事業場内産業保健スタッフによるケア,事業場外資源によるケア,1,労働者自身がストレスに気づき対処する「セルフケア」が第1ステップである。,"メンタルヘルス,セルフケア,職場対策",2,,,,,
1026,M06,M06U05,職場におけるハラスメント対策として適切なものはどれか？,相談窓口の設置や啓発活動の実施,懲戒処分の強化のみ,加害者の個人責任を追及するのみ,上司の監督責任を免除する,1,ハラスメント対策は相談体制の整備と啓発・研修などの包括的対応が求められる。,"ハラスメント,相談体制,職場対策",1,,,,,
1027,M06,M06U05,仕事と生活の調和を意味する言葉はどれか？,ワーク・ライフ・バランス,ワークシェアリング,ライフシフト,テレワーク,1,ワーク・ライフ・バランスは仕事と家庭・個人生活の調和を図る考え方である。,"仕事と生活,調和,バランス",1,,,,,
1028,M06,M06U05,余暇の活用が健康づくりに役立つ理由はどれか？,心身のリフレッシュと社会参加を促すから,収入を増やすため,家事時間を短縮するため,交友関係を制限するため,1,余暇はストレス解消や心身の回復、社会的つながりをもたらす重要な健康要因である。,"余暇,ストレス,社会参加",2,,,,,
1029,M06,M06U05,職場における健康診断の目的として正しいものはどれか？,労働者の健康状態を把握し疾病を早期発見する,勤務態度を評価する,生産性を向上させる,人事考課に利用する,1,健康診断は労働者の健康状態を定期的に把握し、早期に疾病を予防・発見することを目的とする。,"健康診断,予防,労働安全衛生",1,,,,,
1030,M06,M06U05,アクティブ・ラーニングで扱われるテーマとして適切なものはどれか？,職場での健康づくり施策を考える,給与計算の方法を学ぶ,企業の利益率を比較する,就業規則の改定を行う,1,学習者が主体的に職場の健康づくり策を考える活動はアクティブ・ラーニングに該当する。,"アクティブ・ラーニング,健康教育,主体的学び",3,,,,,
1031,M06,M06U05,職場における健康づくり活動の基本方針を示したものはどれか？,健康日本21,産業安全衛生マネジメントシステム,THP（トータル・ヘルス・プロモーション・プラン）,労働契約法,3,THPは働く人の健康保持増進を目的とした職場での総合的な健康づくり計画である。,"THP,健康づくり,方針",1,,,,,
1032,M06,M06U05,労働安全衛生法の目的として正しいものはどれか？,労働者の安全と健康の確保,賃金の引き上げ,職場の経営改善,雇用の安定化,1,労働安全衛生法は労働者の安全と健康を確保し快適な職場環境を形成することを目的とする。,"法制度,安全衛生,労働環境",1,,,,,
1033,M06,M06U05,定期健康診断の実施頻度として正しいものはどれか？,年1回,年2回,3年に1回,5年に1回,1,労働安全衛生法に基づき、一般定期健康診断は年1回の実施が義務づけられている。,"健康診断,労働安全衛生,定期",2,,,,,
1034,M06,M06U05,ストレスチェック制度が義務化されたのはどのような事業場か？,常時50人以上の労働者がいる事業場,全ての事業場,国の機関のみ,医療機関のみ,1,ストレスチェック制度は常時50人以上の労働者を使用する事業場で義務づけられている。,"ストレスチェック,メンタルヘルス,法制度",1,,,,,
1035,M06,M06U05,メンタルヘルスケアの「ラインによるケア」を行う主体はどれか？,上司・管理監督者,本人,医師,外部カウンセラー,1,ラインによるケアは職場の上司が部下の健康に配慮し支援する取り組みである。,"メンタルヘルス,ラインケア,職場",2,,,,,
1036,M06,M06U05,事業場外資源によるケアの例として正しいものはどれか？,EAP（従業員支援プログラム）の利用,休暇の取得,上司との面談,チーム会議の実施,1,EAPなど外部の専門機関による相談・支援が事業場外資源によるケアにあたる。,"メンタルヘルス,EAP,支援",2,,,,,
1037,M06,M06U05,職場のハラスメント防止に関する法律が施行されたのはいつか？,2020年6月,2010年4月,2015年4月,2022年4月,1,改正労働施策総合推進法により2020年6月からパワーハラスメント防止が事業主の義務となった。,"ハラスメント,法制度,職場対策",2,,,,,
1038,M06,M06U05,職場の健康づくりにおける専門職の役割として最も適切なものはどれか？,健康指導や相談などの専門的支援,労働時間の管理,給与計算,採用面接の実施,1,保健師や産業医などが健康指導や相談を行うことが専門職の役割である。,"産業保健,専門職,支援",2,,,,,
1039,M06,M06U05,産業医の主な役割はどれか？,労働者の健康管理と職場環境の改善,経営戦略の立案,安全大会の運営,経理監査の実施,1,産業医は事業場の健康管理や作業環境の改善を担う医師である。,"産業医,健康管理,職場環境",1,,,,,
1040,M06,M06U05,特定保健指導の対象となる人はどれか？,メタボリックシンドローム該当者や予備群,全労働者,未成年の労働者,管理職,1,特定保健指導はメタボリックシンドロームの予防を目的に40〜74歳の該当者を対象に行われる。,"特定保健指導,生活習慣,予防",2,,,,,
1041,M06,M06U05,ストレスチェックの目的として正しいものはどれか？,労働者の心理的ストレスの状態を把握する,生産性の向上を図る,勤務態度を評価する,休暇取得を促進する,1,ストレスチェックは労働者のストレス状態を把握しメンタル不調を未然に防ぐために行われる。,"ストレスチェック,メンタルヘルス,予防",1,,,,,
1042,M06,M06U05,メンタルヘルス不調の一次予防に当たる活動はどれか？,職場のストレス要因を減らす環境づくり,心の病にかかった人のリハビリ,職場復帰後の支援,医療的治療,1,一次予防は発症を防ぐための取り組みであり、快適な職場環境づくりが中心となる。,"メンタルヘルス,一次予防,職場環境",2,,,,,
1043,M06,M06U05,余暇の意義に関する説明として最も適切なものはどれか？,心身の回復と生活の質の向上につながる,労働生産性を上げるための休養である,収入を補う手段である,労働時間を削減する目的である,1,余暇はストレス解消や自己成長を促し生活の質を高める重要な時間である。,"余暇,生活の質,ストレス解消",1,,,,,
1044,M06,M06U05,日本の有給休暇取得率はおおむねどの程度か？,50〜60％程度,10％未満,80％以上,ほぼ100％,1,日本の有給休暇取得率は先進国の中でも低く50〜60％程度である。,"有給休暇,統計,国際比較",2,,,,,
