id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_infectious_disease_prevention
451,M03,M03U04,感染症予防の三原則のうち「感染源対策」に該当する行動はどれか？,感染者を早期に発見し治療する,人ごみに出かけない,マスクを着ける,規則正しい生活をする,1,感染源対策は感染者や病原体を除去・治療することにより感染源を断つことを目的とする。,"感染症予防,感染源対策,三原則",1,,,,,
452,M03,M03U04,感染経路対策として最も適切なものはどれか？,免疫力を高める,手洗いやうがいを徹底する,病原体を治療する,ワクチンを接種する,2,感染経路対策は病原体が他人にうつる経路を遮断することを目的とする。,"感染経路,衛生,予防",1,,,,,
453,M03,M03U04,感受性者対策の例として正しいものはどれか？,感染者の隔離,ワクチン接種,手洗いの励行,食事の改善,2,感受性者対策は感染症にかかりにくい体をつくるために免疫を高める取組である。,"感受性者,免疫,ワクチン",1,,,,,
454,M03,M03U04,予防接種の目的として正しいものはどれか？,病気を完全に根絶すること,感染症の重症化を防ぐこと,感染源を絶つこと,抗生物質の効果を高めること,2,予防接種は免疫をつけることで感染症の発症や重症化を防ぐために行われる。,"予防接種,免疫,重症化防止",1,,,,,
455,M03,M03U04,個人ができる感染症予防行動として正しいものはどれか？,不用意に外出する,石けんでの手洗い,薬を多く飲む,睡眠を減らす,2,手洗い・うがいなどの基本的な衛生習慣が感染症の予防に効果的である。,"衛生習慣,手洗い,個人予防",1,,,,,
456,M03,M03U04,社会全体で行う感染症対策に含まれるものはどれか？,定期予防接種制度,個人の栄養管理,手洗いの励行,咳エチケット,1,社会全体の対策には制度的・集団的に感染拡大を防ぐ取組が含まれる。,"社会的対策,集団免疫,予防制度",2,,,,,
457,M03,M03U04,集団免疫が成立する条件として正しいものはどれか？,感染者全員が治療を受ける,一定割合以上の人が免疫を持つ,感染経路が完全に遮断される,マスクを常に着用する,2,集団免疫は人口の多くが免疫をもつことで感染が広がりにくくなる現象である。,"集団免疫,免疫率,予防接種",2,,,,,
458,M03,M03U04,ワクチン接種により得られる免疫はどれか？,自然免疫,獲得免疫,細胞免疫,遺伝免疫,2,ワクチンによって人工的に得られる免疫は獲得免疫に分類される。,"免疫,獲得免疫,ワクチン",1,,,,,
459,M03,M03U04,感染症の流行を抑えるために最も重要な行動はどれか？,発症したら登校・出勤を控える,体を冷やさないようにする,食後に歯を磨く,睡眠時間を減らす,1,感染を広げないためには発症者が他人と接触しないことが重要である。,"感染拡大防止,行動,流行防止",2,,,,,
460,M03,M03U04,将来の新たな感染症に備えるために必要な視点はどれか？,過去の流行に学び予防意識を高める,感染者を責める,薬に頼りきる,海外渡航を禁止する,1,過去の感染症の教訓から日常の衛生習慣や社会的な連携を強化することが大切である。,"新興感染症,予防意識,学び",3,,,,,
461,M03,M03U04,感染症の三原則のうち「感受性者対策」に当たるものはどれか？,ワクチン接種を受ける,感染者の隔離,手洗いをする,病原体を殺菌する,1,感受性者対策は免疫を高めて感染しにくい体をつくる取組である。,"三原則,感受性者,免疫",1,,,,,
462,M03,M03U04,感染経路を断つために最も効果的な方法はどれか？,マスクの着用や手洗い,病原体の特定,抗生物質の服用,定期健診の受診,1,感染経路対策は飛沫や接触などの経路を遮断して感染の拡大を防ぐ。,"感染経路,飛沫感染,衛生",1,,,,,
463,M03,M03U04,感染源対策として誤っているものはどれか？,感染者の治療,発症者の休養,人ごみへの参加,病原体の除去,3,感染源対策では感染者や病原体を取り除くことが目的である。,"感染源,治療,隔離",1,,,,,
464,M03,M03U04,咳やくしゃみをする際に守るべきマナーを何というか？,ソーシャルディスタンス,ハンドサニタイズ,咳エチケット,ヘルスプロモーション,3,咳エチケットは飛沫感染を防ぐための基本的なマナーである。,"咳エチケット,飛沫感染,マスク",1,,,,,
465,M03,M03U04,飛沫感染と空気感染の違いとして正しいものはどれか？,飛沫感染は大きな粒子で短距離,空気感染は大きな粒子で短距離,飛沫感染は空気中を長時間漂う,空気感染は接触によるもの,1,飛沫感染は比較的大きな粒子が短距離で感染を広げるのに対し空気感染は微小粒子による。,"感染経路,飛沫感染,空気感染",2,,,,,
466,M03,M03U04,インフルエンザや麻しんなどに共通する感染経路はどれか？,飛沫感染,経口感染,媒介動物感染,血液感染,1,インフルエンザや麻しんは主に飛沫感染で広がる。,"感染症,インフルエンザ,麻しん",2,,,,,
467,M03,M03U04,感染症対策の基本となる「免疫」とは何か？,病原体を体内に取り入れる力,病原体を排除するしくみ,体温を下げるはたらき,血圧を上げるはたらき,2,免疫は体に侵入した病原体を排除し再感染を防ぐしくみである。,"免疫,生体防御,健康",1,,,,,
468,M03,M03U04,免疫の種類のうち、病気にかかって得るものはどれか？,自然免疫,獲得免疫,能動免疫,受動免疫,3,病気にかかって体が抗体をつくることで得られる免疫は能動免疫である。,"免疫,能動免疫,抗体",2,,,,,
469,M03,M03U04,母親から胎児や新生児に移行する免疫はどれか？,自然免疫,能動免疫,受動免疫,獲得免疫,3,母体由来の抗体が移行して一時的に得られる免疫は受動免疫である。,"免疫,受動免疫,抗体",2,,,,,
470,M03,M03U04,予防接種を受けた後に免疫がつくまでに必要な期間はどれか？,1〜2日,1〜2週間,1か月以上,すぐに効果が出る,2,ワクチンによる抗体の形成にはおよそ1〜2週間程度かかる。,"予防接種,免疫形成,期間",2,,,,,
471,M03,M03U04,定期予防接種の対象となる感染症に含まれるものはどれか？,麻しん・風しん,ノロウイルス感染症,マラリア,破傷風,1,麻しんや風しんは定期接種によって予防が推奨されている代表的な感染症である。,"予防接種,麻しん,風しん",2,,,,,
472,M03,M03U04,感染症法で定められる「新型インフルエンザ等感染症」に該当するものはどれか？,新しい型のインフルエンザ,食中毒,花粉症,生活習慣病,1,新型インフルエンザ等感染症は新しい型の病原体による感染症を指す。,"感染症法,新型感染症,分類",3,,,,,
473,M03,M03U04,新しい感染症が流行したときに社会が行うべき行動として適切なのはどれか？,正確な情報の共有,風評の拡散,個人攻撃,無関心,1,感染症流行時には正しい情報に基づいた冷静な行動が重要である。,"感染症対策,情報,行動",3,,,,,
474,M03,M03U04,感染症の拡大を防ぐうえでマスクの効果が高い理由はどれか？,病原体を完全に殺すから,飛沫の拡散を防ぐから,免疫を高めるから,抗体をつくるから,2,マスクは飛沫感染を防ぎ周囲への拡散を抑える効果がある。,"マスク,飛沫感染,感染拡大防止",2,,,,,
475,M03,M03U04,社会的支援による感染症予防の利点はどれか？,個人の努力だけでは防げない感染拡大を抑制できる,感染症が自然に消える,医療の必要がなくなる,ウイルスが弱毒化する,1,社会的支援は個人を超えた集団的な感染防止の仕組みを支える。,"社会的支援,感染予防,集団行動",3,,,,,
476,M03,M03U04,パンデミックとは何を意味するか？,地域的な感染流行,世界的な感染拡大,感染の終息,一時的な発熱,2,パンデミックは感染症が世界規模で広がることを意味する。,"パンデミック,新興感染症,国際",3,,,,,
477,M03,M03U04,感染症の予防において個人の役割として最も重要なのはどれか？,自分や周囲を守る意識を持つこと,専門家の意見を否定すること,他人の行動を批判すること,情報を遮断すること,1,感染症対策では個人の意識と行動が感染拡大防止の基盤となる。,"個人行動,予防意識,健康教育",2,,,,,
478,M03,M03U04,感染症の拡大を防ぐために「早期発見・早期対応」が重要な理由はどれか？,重症化を防ぎ感染連鎖を断てるから,薬が不要になるから,自然治癒が促されるから,免疫が強化されるから,1,感染症は初期段階での発見と対応により感染の拡大を防げる。,"感染拡大防止,早期対応,公衆衛生",1,,,,,
479,M03,M03U04,感染症の予防に関する教育が学校で行われる意義はどれか？,正しい知識と行動を身につけるため,恐怖心を高めるため,病気の体験を共有するため,流行を促進するため,1,学校教育では感染症予防の基本知識と行動を学ぶことが重視される。,"健康教育,感染症予防,学習",2,,,,,
480,M03,M03U04,将来の感染症対策に必要とされる国際的な協力の内容として適切なのはどれか？,ワクチンや情報を共有する,国内だけで対応する,感染国を排除する,医療費を削減する,1,国際協力によりワクチン供給や情報共有が迅速に行える体制が求められる。,"国際協力,感染症対策,ワクチン共有",3,,,,,
