id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_lifestyle_disease_prevention
61,M01,M01U03,生活習慣病とはどのような病気か？,生活習慣の乱れが関係する病気,感染によって起こる病気,先天的に決まっている病気,外傷によって生じる病気,1,生活習慣病は、食事・運動・休養・喫煙・飲酒などの日常生活の習慣が原因で発症する非感染性疾患を指す。,"定義,非感染性疾患,原因",1,,,,,
62,M01,M01U03,生活習慣病に分類される疾患はどれか？,がん・糖尿病・心疾患・脳血管疾患,風邪・インフルエンザ・食中毒,骨折・打撲・火傷,花粉症・ぜんそく・アトピー性皮膚炎,1,生活習慣病には、がん、糖尿病、心疾患、脳血管疾患、高血圧、脂質異常症などが含まれる。,"疾患例,代表疾患",1,,,,,
63,M01,M01U03,生活習慣病の主な原因として最も適切なのはどれか？,不規則な生活や食習慣の乱れ,ウイルス感染,遺伝子の突然変異,季節の変化,1,生活習慣病は生活リズムや食生活、喫煙・飲酒などの習慣が深く関係している。,"原因,生活習慣,リスク要因",1,,,,,
64,M01,M01U03,動脈硬化が進行すると最も起こりやすい病気はどれか？,心筋梗塞や脳梗塞,胃潰瘍や十二指腸潰瘍,腎炎や膀胱炎,骨粗しょう症,1,動脈硬化は血管の内壁に脂肪がたまり血流が悪化する状態で、心筋梗塞や脳梗塞の原因となる。,"動脈硬化,循環器疾患",1,,,,,
65,M01,M01U03,生活習慣病の予防段階で、発症を未然に防ぐのはどれか？,一次予防,二次予防,三次予防,特定予防,1,一次予防は、生活習慣の改善によって発症自体を防ぐ取り組みを指す。,"予防段階,一次予防",1,,,,,
66,M01,M01U03,病気の早期発見・早期治療を目的とする予防段階はどれか？,二次予防,一次予防,三次予防,特殊予防,1,二次予防は、検診などにより病気を早期に発見し、重症化を防ぐことを目的とする。,"予防段階,二次予防",1,,,,,
67,M01,M01U03,発病後の社会復帰を目指すリハビリテーションはどの予防段階にあたるか？,三次予防,一次予防,二次予防,再発予防,1,三次予防は、治療後の再発防止や社会復帰のためのリハビリテーションを指す。,"予防段階,三次予防,リハビリテーション",1,,,,,
68,M01,M01U03,生活習慣病の増加に関係の深い社会的要因として適切なのはどれか？,ストレスの増加や運動不足,感染症の流行,出生率の低下,温暖化の進行,1,現代の社会環境では、ストレスや運動不足、過食などが生活習慣病のリスクを高めている。,"社会的要因,ストレス,運動不足",2,,,,,
69,M01,M01U03,健康日本21（第二次）の目標に含まれる内容として正しいものはどれか？,生活習慣の改善と健康寿命の延伸,出生率の向上,感染症の根絶,医療費の削減のみ,1,健康日本21（第二次）は、国民の健康寿命延伸と生活習慣の改善を目指す国の計画である。,"政策,健康日本21,目標",2,,,,,
70,M01,M01U03,生活習慣病の予防において個人ができる取り組みとして最も適切なのはどれか？,バランスのとれた食事と定期的な運動,薬に頼る生活をする,不調を感じるまで放置する,短期間で極端なダイエットをする,1,個人の努力として、食事・運動・休養などの生活習慣を整えることが一次予防につながる。,"個人の取り組み,健康行動,一次予防",1,,,,,
