id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_mental_disorders_features
331,M02,M02U06,精神疾患とはどのような状態を指すか？,心の働きに異常が起こり日常生活に支障が生じている状態,体のけがや病気のこと,一時的な気分の落ち込みのこと,感染症による発熱のこと,1,精神疾患は脳の働きの異常などにより心の機能が低下し生活への影響が出る状態をいう。,"定義,心の健康,疾患",1,,,,,
332,M02,M02U06,精神疾患の原因として最も適切なものはどれか？,生物的・心理的・社会的要因が複合的に関与する,主に遺伝のみが関係する,ストレスだけが関係する,特定のウイルス感染が原因である,1,精神疾患は生物・心理・社会の3要因が複雑に関係して起こるとされる。,"原因,ストレス,社会要因",1,,,,,
333,M02,M02U06,精神疾患の発症に関係するストレス要因として正しいものはどれか？,人間関係や生活環境の変化,水分の過剰摂取,遺伝子の変化,運動不足,1,ストレスは対人関係や環境の変化など心理的要因として精神疾患に影響する。,"ストレス,心理的要因,環境",2,,,,,
334,M02,M02U06,精神疾患の主な種類に含まれないものはどれか？,糖尿病,うつ病,統合失調症,不安症,1,糖尿病は身体の代謝異常による病気であり精神疾患には含まれない。,"分類,うつ病,統合失調症",1,,,,,
335,M02,M02U06,うつ病の特徴として正しいものはどれか？,気分の落ち込みや意欲の低下が長期間続く,幻覚や妄想が主症状である,極端な興奮状態が続く,睡眠を取るとすぐ改善する,1,うつ病は気分の低下や無気力が続き、日常生活に支障をきたす病気である。,"うつ病,症状,特徴",1,,,,,
336,M02,M02U06,統合失調症の主な症状として正しいものはどれか？,幻覚や妄想などの現実検討力の低下,強い恐怖や不安が一時的に現れる,意識がなくなる発作,体の震え,1,統合失調症は現実と非現実の区別がつかなくなるなどの症状が特徴である。,"統合失調症,幻覚,妄想",1,,,,,
337,M02,M02U06,不安症の特徴として正しいものはどれか？,過度な不安や恐怖を感じ、回避行動がみられる,他人の声が聞こえる,極端な気分の高揚が続く,感情の起伏がなくなる,1,不安症は過剰な不安や恐怖により日常生活が困難になる精神疾患である。,"不安症,恐怖,回避行動",1,,,,,
338,M02,M02U06,摂食障害の特徴として誤っているものはどれか？,体型や体重へのこだわりが強い,自己評価が体型に影響されやすい,食事量を意識的に調整できない,適切な食事量を保てる,4,摂食障害は体重や体型への強いこだわりから過食や拒食を繰り返す。,"摂食障害,体重,心理的要因",2,,,,,
339,M02,M02U06,精神疾患の早期発見が重要とされる理由はどれか？,回復が早くなる傾向があるため,薬が効かなくなるため,感染が広がるため,一度発症すると治らないため,1,早期発見と治療によって回復の可能性が高まり再発も防ぎやすくなる。,"早期発見,治療,回復",1,,,,,
340,M02,M02U06,現代社会で増えている精神疾患の背景として最も適切なものはどれか？,社会の複雑化や人間関係のストレス,自然環境の改善,出生率の上昇,感染症の減少,1,社会的ストレスや人間関係の変化などが現代の精神疾患増加の背景にある。,"現代社会,ストレス,社会的要因",2,,,,,
341,M02,M02U06,うつ病の発症に関連する要因として最も適切なものはどれか？,ストレスや生活環境の変化,ウイルス感染,血液型,運動能力,1,うつ病はストレスや人間関係など環境的要因が関与して発症することが多い。,"うつ病,ストレス,原因",2,,,,,
342,M02,M02U06,統合失調症の発症時期として多いのはどの年代か？,思春期から青年期,乳児期,中年期,老年期,1,統合失調症は10〜30代で発症することが多いとされる。,"統合失調症,発症時期,青年期",2,,,,,
343,M02,M02U06,不安症の例として適切なものはどれか？,パニック障害や強迫症,うつ病,統合失調症,摂食障害,1,不安症にはパニック障害や強迫症など過剰な恐怖を伴う疾患が含まれる。,"不安症,パニック,強迫症",2,,,,,
344,M02,M02U06,摂食障害のうち、過食と排出を繰り返す特徴があるのはどれか？,過食症,拒食症,統合失調症,依存症,1,過食症は過度に食べた後に嘔吐や下剤を使うなど排出行動をとるのが特徴である。,"摂食障害,過食,行動",2,,,,,
345,M02,M02U06,依存症の説明として正しいものはどれか？,特定の物質や行為へのコントロールが失われる状態,一時的な気分の落ち込み,体の感染症のこと,睡眠不足のこと,1,依存症はアルコールや薬物などへの制御不能な使用を特徴とする。,"依存症,行動,コントロール",2,,,,,
346,M02,M02U06,精神疾患の発症を早期に気づくためのサインとして適切なものはどれか？,食欲や睡眠の変化,体重の増加,髪の伸び方,視力の変化,1,心身の不調として食欲・睡眠・気分の変化などがサインとなる。,"サイン,早期発見,変化",1,,,,,
347,M02,M02U06,「精神疾患の3要因」として正しい組み合わせはどれか？,生物的・心理的・社会的,身体的・精神的・自然的,遺伝的・文化的・環境的,経済的・教育的・人的,1,精神疾患の成因は生物・心理・社会の三要因で説明されることが多い。,"要因,生物的,心理的",1,,,,,
348,M02,M02U06,精神疾患の治療に関する考え方として正しいものはどれか？,医療・心理・社会的支援を組み合わせる,薬物療法のみで十分である,本人の努力だけで解決できる,家族が医師に代わる,1,治療には医療と社会的支援を含めた包括的アプローチが必要である。,"治療,支援,医療",1,,,,,
349,M02,M02U06,「DUP（精神病未治療期間）」とは何を指すか？,発症から適切な治療が始まるまでの期間,睡眠がとれない期間,薬を服用していない期間,不安が続く期間,1,DUPは統合失調症などの発症から治療開始までの未治療期間を意味する。,"統合失調症,DUP,治療",3,,,,,
350,M02,M02U06,精神疾患の患者に対する支援として最も大切なことはどれか？,周囲が理解し支え合うこと,症状を無視すること,厳しく叱ること,孤立させること,1,周囲の理解と支援が回復を促す大切な要素である。,"支援,理解,社会的支援",1,,,,,
351,M02,M02U06,現代社会における新しい精神疾患として注目されているものはどれか？,ゲーム依存症,熱中症,高血圧症,糖尿病,1,インターネットやゲームへの依存が新たな精神的問題として注目されている。,"現代社会,依存,ゲーム",2,,,,,
352,M02,M02U06,ネット依存の問題でみられる特徴はどれか？,利用時間の増加と生活リズムの乱れ,体温の低下,視力の改善,食欲の増進,1,長時間利用による生活リズムの乱れがネット依存の特徴である。,"ネット依存,行動,生活習慣",2,,,,,
353,M02,M02U06,精神疾患の患者数が増えている背景に関連が深いのはどれか？,ストレス社会の進行や相談体制の整備,病気の定義が曖昧になったため,自然災害が減ったため,医療費が増えたため,1,社会の変化と相談窓口の整備が患者数増加の要因の一つとなっている。,"背景,患者数,社会変化",2,,,,,
354,M02,M02U06,若年層における精神疾患の特徴として正しいものはどれか？,10〜30歳代での発症が多い,60歳以上で最も多い,幼児期に集中している,男女差が極端に大きい,1,統合失調症やうつ病は10〜30歳代の若年層に多くみられる。,"若年層,発症,特徴",2,,,,,
355,M02,M02U06,「DALYs」という指標が示す内容として最も適切なものはどれか？,疾病による損失年数を表す,死亡数を表す,幸福度を表す,所得の中央値を表す,1,DALYsは疾病による損失年数を表すWHOの健康指標である。,"DALYs,健康指標,WHO",3,,,,,
356,M02,M02U06,精神疾患の予防において重要なことはどれか？,ストレスを上手に発散し相談する,悩みを一人で抱えこむ,ストレスを完全に避ける,薬に頼る,1,ストレスへの対処と周囲への相談が予防の基本である。,"予防,ストレス対処,相談",1,,,,,
357,M02,M02U06,精神疾患に関する誤った理解として最も適切なものはどれか？,性格の弱さが原因である,誰でもかかる可能性がある,早期発見が重要である,社会的支援が有効である,1,精神疾患は性格ではなく脳や環境の影響によるものである。,"偏見,理解,教育",2,,,,,
358,M02,M02U06,「メンタルヘルスリテラシー」とは何を意味するか？,心の健康に関する正しい知識と対応力,体力の向上を目指す活動,睡眠の質を上げる技術,運動習慣のこと,1,メンタルヘルスリテラシーは心の健康に関する理解と行動力を指す。,"教育,心の健康,リテラシー",3,,,,,
359,M02,M02U06,学校教育における精神疾患への取り組みとして正しいものはどれか？,正しい理解と支援を学ぶ教育を行う,発症した生徒を隔離する,個人の責任を強調する,薬の使用を推奨する,1,学校教育では偏見をなくし正しい理解を深めることが求められている。,"教育,支援,学校",3,,,,,
360,M02,M02U06,精神疾患のある人に接する際に最も大切な態度はどれか？,相手の話を受け止め共感する,批判的に指摘する,問題を隠す,無関心でいる,1,共感的な態度で接することが回復を助ける基本となる。,"支援,共感,人間関係",1,,,,,
