id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_middle_and_older_adulthood_health
931,M06,M06U02,中高年期における身体的な特徴として正しいものはどれか？,基礎代謝量が低下し筋力が衰える,視力や聴力が向上する,内臓の働きが活発になる,ホルモン分泌が増加する,1,中高年期になると加齢により筋力や代謝が低下し、生活習慣病のリスクが高まる。,"加齢変化,体力,代謝",1,,,,,
932,M06,M06U02,中高年期の心理的変化として適切なのはどれか？,将来への不安や喪失感を感じることがある,注意力が著しく高まる,学習意欲が低下しなくなる,過去を振り返らなくなる,1,中高年期では家庭や職業などの変化により心理的ストレスが増すが、経験による対処力も高まる。,"心理変化,ストレス,適応",1,,,,,
933,M06,M06U02,中高年期の健康を左右する要因として最も関係が深いものはどれか？,生活習慣,血液型,出生地,性別,1,食習慣・運動・睡眠などの生活習慣が中高年期の健康維持に大きく影響する。,"生活習慣,健康要因,予防",1,,,,,
934,M06,M06U02,フレイルとはどのような状態か？,加齢により心身の活力が低下した状態,精神的に非常に安定した状態,体重が増加している状態,感染症に強くなった状態,1,フレイルは虚弱とも呼ばれ、加齢や疾患によって心身の活力が低下した状態を指す。,"フレイル,加齢,虚弱",1,,,,,
935,M06,M06U02,中高年期に増加する疾患として正しいものはどれか？,高血圧や糖尿病,麻疹や風疹,骨折や虫歯,喘息や花粉症,1,生活習慣病である高血圧・糖尿病・脂質異常症などが中高年期に多くみられる。,"生活習慣病,疾病,加齢",1,,,,,
936,M06,M06U02,高齢者の健康支援で重要な考え方はどれか？,自立とQOLの向上,医療依存の拡大,介護サービスの制限,家族による完全な介助,1,高齢者自身の自立を支援し、生活の質（QOL）を高めることが健康支援の目的である。,"QOL,自立支援,介護",1,,,,,
937,M06,M06U02,介護保険制度の特徴として正しいものはどれか？,40歳以上の人が保険料を負担する,20歳以上の全員が加入する,任意で加入する制度である,医療保険と同じ仕組みである,1,介護保険制度は40歳以上の国民が加入し、要介護者の生活支援を目的とする社会保障制度である。,"介護保険,社会保障,支援制度",2,,,,,
938,M06,M06U02,リハビリテーションの目的として適切なのはどれか？,失われた機能の回復と社会復帰の支援,病気の完全な治癒,新しい病気の予防,高齢者の活動制限,1,リハビリテーションは身体機能の回復や社会的自立を支援することを目的とする。,"リハビリ,社会復帰,自立",2,,,,,
939,M06,M06U02,ユニバーサルデザインの目的として正しいものはどれか？,すべての人が使いやすいように設計する,高齢者専用の環境をつくる,障害のある人だけを対象とする,特定の施設に限定して導入する,1,ユニバーサルデザインは年齢や障害の有無に関わらず誰もが利用しやすい設計を目指す考え方である。,"ユニバーサルデザイン,共生社会,環境整備",2,,,,,
940,M06,M06U02,中高年期の健康づくりで大切な視点はどれか？,生涯を通じた健康管理,若年期のみの健康重視,医療機関に完全に依存する,家族の支援を避ける,1,中高年期の健康は若い頃からの生活習慣の積み重ねが大きく影響するため、生涯的視点で管理することが重要である。,"生涯発達,健康管理,予防",2,,,,,
