id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_nutrition_and_health
181,M02,M02U01,健康的な食生活とはどのような生活か？,心身の健康を保つために栄養バランスのとれた食事を続ける生活,摂取カロリーを極端に減らす生活,好きなものだけを食べる生活,サプリメントだけで栄養をとる生活,1,健康的な食生活とは、体に必要な栄養素をバランスよくとり、心身の健康を維持する生活を指す。,"定義,栄養バランス,健康",1,,,,,
182,M02,M02U01,エネルギーを過剰にとり続けるとどのような影響があるか？,肥満や生活習慣病の原因になる,集中力が上がる,免疫力が必ず高まる,体温が下がる,1,過剰なエネルギー摂取は肥満や糖尿病、高血圧などの生活習慣病を引き起こす要因となる。,"肥満,生活習慣病,エネルギー",1,,,,,
183,M02,M02U01,エネルギーが不足すると起こるおもな問題はどれか？,体力低下や月経不順,肥満や糖尿病,血圧上昇や動脈硬化,肝臓への脂肪蓄積,1,エネルギー不足は体力低下や貧血、月経不順などの健康障害をもたらす。,"栄養不足,体力,月経不順",1,,,,,
184,M02,M02U01,メタボリックシンドロームの特徴として正しいのはどれか？,内臓脂肪型肥満と生活習慣病のリスクを併せ持つ,体重が少なすぎる,骨密度が低い,エネルギー不足である,1,メタボリックシンドロームは、内臓脂肪の蓄積と高血圧・高血糖・脂質異常が重なる状態をいう。,"メタボリックシンドローム,生活習慣病,肥満",1,,,,,
185,M02,M02U01,健康によい食事の基本はどれか？,主食・主菜・副菜をそろえること,肉類を中心に摂取すること,甘いものを避けること,夜だけ食べること,1,健康によい食事は、主食・主菜・副菜をそろえて栄養のバランスをとることが基本である。,"食事バランス,主食,主菜",1,,,,,
186,M02,M02U01,食事バランスガイドのコマの形は何を意味しているか？,運動と食事のバランスの大切さ,食べ物の密度,栄養素の吸収速度,食事のカロリー,1,食事バランスガイドのコマは、食事と運動のバランスの重要性を表している。,"食事バランスガイド,運動,栄養教育",2,,,,,
187,M02,M02U01,3・1・2弁当法で「3」は何を表しているか？,主食,主菜,副菜,汁物,1,3・1・2弁当法の「3」は主食を表しており、主菜1・副菜2の割合で弁当を構成する。,"3・1・2弁当法,主食,食事構成",2,,,,,
188,M02,M02U01,生活リズムと食事の関係について正しいのはどれか？,規則正しい食事は体内リズムを整える,食事の時間は毎日変えたほうがよい,朝食を抜くと集中力が上がる,夜食を多くとると眠りやすくなる,1,生活リズムを整えた規則的な食事は、体内時計や代謝のバランスを保つのに役立つ。,"生活リズム,朝食,体内時計",1,,,,,
189,M02,M02U01,朝食をとることの主な意義はどれか？,体温と代謝を上げ、活動の準備をする,睡眠の質を下げる,空腹感をなくすだけ,昼食を減らすため,1,朝食は体温や代謝を上げ、脳や体を活動モードに切り替える役割をもつ。,"朝食,代謝,生活習慣",1,,,,,
190,M02,M02U01,食品を選ぶ際に重視すべき点として最も適切なのはどれか？,栄養バランスや表示内容を確認する,値段だけで選ぶ,見た目がきれいなものを選ぶ,賞味期限の長さだけを見る,1,健康的な食生活のためには、栄養成分表示やバランスを考慮して食品を選ぶことが重要である。,"食品選択,栄養表示,バランス",2,,,,,
