id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_occupational_accidents_and_health
991,M06,M06U04,労働災害とはどのような出来事を指すか？,仕事に関係して起こるけがや病気,自然災害によるけがや病気,家庭内でのけが,交通違反による事故,1,労働災害は業務や通勤に関連して労働者が負傷・疾病・死亡することを指す。,"定義,労働安全,職場",1,,,,,
992,M06,M06U04,労働災害の発生要因として最も直接的なものはどれか？,不安全行動,経営方針,天候,法制度の改正,1,労働災害は作業者の不安全行動や職場環境の不安全状態が直接の原因となる。,"原因,安全管理,行動",1,,,,,
993,M06,M06U04,不安全状態に含まれるものはどれか？,防護装置の欠如,注意力の低下,経験不足,過労,1,"不安全状態は設備や環境などに潜む危険要因であり,防護装置の欠如などが含まれる。","職場環境,危険要因,安全管理",1,,,,,
994,M06,M06U04,不安全行動に該当する例はどれか？,ヘルメットを着用せず作業する,換気装置を設置する,作業前点検を行う,安全管理者を配置する,1,"不安全行動とは定められた安全手順に従わない行為であり,事故の直接原因となる。","安全意識,行動,事故防止",1,,,,,
995,M06,M06U04,労働災害の代表的な疾病として正しいものはどれか？,塵肺,食中毒,糖尿病,花粉症,1,粉じんを長期間吸入することで発症する塵肺は典型的な職業性疾病である。,"職業病,呼吸器,粉じん",1,,,,,
996,M06,M06U04,アスベストが引き起こすおそれのある健康障害はどれか？,肺がん,肝硬変,胃潰瘍,白血病,1,アスベストの吸入により肺がんや中皮腫などの重篤な疾患を発症することがある。,"アスベスト,職業病,呼吸器疾患",1,,,,,
997,M06,M06U04,VDT作業による健康影響として最も適切なものはどれか？,眼精疲労,中耳炎,熱中症,腰椎損傷,1,VDT作業では画面を長時間見ることで眼精疲労や肩こりなどが起こりやすい。,"VDT,疲労,視覚",2,,,,,
998,M06,M06U04,労働災害防止の基本原則として最も適切なものはどれか？,安全衛生管理を徹底する,作業効率を最優先する,自己責任に任せる,経験者のみで対応する,1,"安全衛生管理の徹底により災害リスクを最小化し,安全な職場を維持できる。","安全衛生,管理,原則",1,,,,,
999,M06,M06U04,労働災害の中で最も発生件数が多いのはどれか？,転倒,感電,中毒,墜落,1,"労働災害では転倒事故が最も多く,高齢労働者での発生割合も高い。","統計,転倒,高齢者",2,,,,,
1000,M06,M06U04,過労死の主な要因として正しいものはどれか？,長時間労働,夜間外出,寒冷ストレス,水分不足,1,"過労死は長時間労働や強いストレスが原因で,脳や心臓の疾患を引き起こす。","過労,ストレス,健康被害",1,,,,,
1001,M06,M06U04,職業性ストレスによって起こる心身の反応で最も適切なものはどれか？,抑うつや不眠,感染症,虫歯,骨折,1,強い職業性ストレスは抑うつや不眠などの精神的・身体的健康障害を引き起こす。,"ストレス,精神健康,職業病",2,,,,,
