id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_physical_activity_and_health
151,M01,M01U06,身体活動とはどのような行動を指すか？,生活の中での体を動かすすべての行動,競技スポーツのような運動だけ,意識的に鍛える運動のみ,職業上の作業運動のみ,1,身体活動は家事や通勤などを含む日常生活の中でのすべての体の動きを指す。,"定義,身体活動,生活行動",1,,,,,
152,M01,M01U06,運動とはどのような身体活動か？,意図的・計画的に体力を高めるための活動,仕事や家事で体を動かす活動,歩行などの軽い活動,座位中心の活動,1,運動は体力向上を目的として意識的・計画的に行う身体活動のこと。,"定義,運動,体力向上",1,,,,,
153,M01,M01U06,身体活動不足がもたらす主な影響はどれか？,生活習慣病のリスク上昇,睡眠時間の増加,免疫力の過剰反応,貧血の改善,1,身体活動不足は肥満や糖尿病など生活習慣病の発症リスクを高める。,"生活習慣病,運動不足,健康リスク",1,,,,,
154,M01,M01U06,身体活動と死亡リスクの関係で正しいのはどれか？,身体活動量が多いほど死亡リスクは低い,身体活動量が多いほど死亡リスクは高い,関係はない,適度な活動より強い活動が必ず良い,1,1日の身体活動時間が長いほど死亡リスクが低下する傾向がある。,"死亡リスク,身体活動量,関連性",1,,,,,
155,M01,M01U06,メッツ（METs）は何を示す単位か？,活動の強さ,心拍数,運動の時間,筋肉量,1,メッツは安静時を1として身体活動の強度を表す単位である。,"METs,運動強度,エネルギー消費",2,,,,,
156,M01,M01U06,健康づくりのための身体活動指針「アクティブガイド」で推奨されるのはどれか？,今より＋10分の身体活動を増やす,1時間以上の激しい運動を毎日行う,週1回の運動で十分とする,食事制限で体力を保つ,1,アクティブガイドは日常生活で「今より＋10分」の活動を推奨している。,"アクティブガイド,健康づくり,推奨",1,,,,,
157,M01,M01U06,運動がメンタルヘルスに与える影響として正しいのはどれか？,ストレスの軽減に役立つ,うつ傾向を悪化させる,脳の活動を抑制する,不安感を強める,1,運動はストレスを軽減し、心の健康維持に有効である。,"メンタルヘルス,ストレス,心理的効果",2,,,,,
158,M01,M01U06,女性の骨密度の変化で最大骨量を迎える時期はいつか？,20歳前後,10歳前後,40歳前後,60歳以降,1,骨密度は10代後半から20歳前後で最大に達し、その後徐々に低下する。,"骨密度,加齢変化,女性",2,,,,,
159,M01,M01U06,社会的支援が身体活動の促進に役立つ理由はどれか？,継続的な行動変容を支えるから,個人の責任を減らすから,競争心を高めるから,医療を代替できるから,1,家族や地域の支援があると、健康的な行動を続けやすくなる。,"社会的支援,行動変容,健康支援",3,,,,,
160,M01,M01U06,ウォーカブルなまちづくり（Walkable City）の目的はどれか？,歩きやすい環境で身体活動を促す,自動車利用を増やす,交通量を減らすためだけ,都市の美観を優先する,1,歩きやすい街づくりは日常の身体活動量を増やし、健康促進に寄与する。,"都市環境,身体活動促進,健康政策",3,,,,,
