id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_pregnancy_childbirth_and_health
841,M05,M05U04,受精とはどのような現象か？,卵子と精子が結合すること,胎児が成長すること,出産のこと,月経が起こること,1,受精は卵子と精子が出会い結合して新しい生命が始まる現象である。,"受精,生命の始まり,生殖",1,,,,,
842,M05,M05U04,妊娠の成立に必要な条件として正しいのはどれか？,排卵と受精が正常に行われること,出産後の回復が早いこと,月経周期が一定であること,母乳が出ること,1,妊娠は排卵された卵子が受精し、子宮内膜に着床することで成立する。,"妊娠,着床,条件",1,,,,,
843,M05,M05U04,妊娠期間は通常どのくらいか？,約280日（40週）,約180日（26週）,約200日（30週）,約300日（43週）,1,妊娠期間は最終月経の初日から約280日（40週）とされる。,"妊娠期間,出産,日数",1,,,,,
844,M05,M05U04,妊娠初期に見られる体の変化として正しいのはどれか？,つわりが起こる,胎動を感じる,出産が始まる,母乳が出る,1,妊娠初期はホルモン変化により吐き気や眠気などのつわりが起こる。,"妊娠初期,体の変化,ホルモン",1,,,,,
845,M05,M05U04,出産の流れで「陣痛」が起こるのはどの段階か？,分娩第1期,分娩第2期,分娩第3期,産褥期,1,分娩第1期は子宮口が広がり始め、陣痛が規則的に起こる時期である。,"出産,陣痛,分娩過程",1,,,,,
846,M05,M05U04,出産の第2期に起こることはどれか？,胎児が母体から出てくる,陣痛が始まる,胎盤が排出される,母乳分泌が始まる,1,分娩第2期は子宮口が全開し、胎児が母体から出てくる時期である。,"出産,分娩第2期,胎児誕生",1,,,,,
847,M05,M05U04,出産後6〜8週間の母体の回復期間を何というか？,産褥期,成熟期,排卵期,授乳期,1,産褥期は出産後の母体が元の状態に戻るまでの回復期間である。,"産褥期,母体回復,出産後",1,,,,,
848,M05,M05U04,母子保健サービスの目的として正しいのはどれか？,妊娠・出産・育児の健康を支援する,高齢者の介護を支援する,成人病を予防する,感染症を根絶する,1,母子保健サービスは母親と子どもの健康を守ることを目的とする。,"母子保健,健康支援,行政サービス",1,,,,,
849,M05,M05U04,母子健康手帳はいつ交付されるか？,妊娠が確認されたとき,出産直後,乳児健診のとき,授乳が始まるとき,1,妊娠が確認されると医師の証明を受けて母子健康手帳が交付される。,"母子健康手帳,交付,妊娠確認",1,,,,,
850,M05,M05U04,妊娠中の健康管理で特に大切なのはどれか？,栄養バランスと定期的な健診,激しい運動,体重を急に減らすこと,長時間の入浴,1,妊娠中は栄養管理と定期的な健康診査が母子の健康維持に重要である。,"健康管理,栄養,妊婦健診",1,,,,,
851,M05,M05U04,妊娠中に摂取を控えるべきものはどれか？,アルコール,カルシウム,鉄分,葉酸,1,アルコールは胎児に悪影響を及ぼすため妊娠中は摂取を控える必要がある。,"妊娠中,アルコール,胎児影響",1,,,,,
