id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_public_health_services
1231,M08,M08U01,保健行政の主な目的はどれか？,人々の健康を保持増進すること,医療費を削減すること,人口を増やすこと,新しい病院を建設すること,1,保健行政は国や自治体が人々の健康を守り、増進するために行う行政活動である。,"定義,行政,健康増進",1,,,,,
1232,M08,M08U01,保健所が設置されている自治体の規模として正しいのはどれか？,都道府県および政令指定都市など,すべての市町村,町内会レベル,国のみ,1,保健所は都道府県・政令指定都市・中核市などに設置され、地域の中核的な保健行政機関である。,"保健所,行政組織,地域",1,,,,,
1233,M08,M08U01,保健センターの主な役割として最も適切なのはどれか？,住民に身近な保健サービスの提供,感染症の国際的監視,医療機器の製造認可,薬品の研究開発,1,保健センターは市町村などで設置され、地域住民への健康相談や検診などを行う。,"保健センター,地域保健,健康相談",1,,,,,
1234,M08,M08U01,乳幼児健診や予防接種を行っているのはどの行政機関か？,保健センター,法務局,消防署,税務署,1,乳幼児健診や予防接種は地域の保健センターで実施されている。,"母子保健,予防接種,乳幼児健診",1,,,,,
1235,M08,M08U01,保健行政が感染症対策から生活習慣病対策へ重点を移した時期はどれか？,1960〜70年代,戦前,1945年以前,2000年代以降,1,1960〜70年代にかけて公衆衛生の対象が感染症から生活習慣病へと移行した。,"歴史,生活習慣病,公衆衛生",2,,,,,
1236,M08,M08U01,地域の保健センターが発行している「健康カレンダー」の主な目的はどれか？,住民に保健サービスや検診情報を知らせること,医師を募集すること,新しい薬を宣伝すること,観光イベントを告知すること,1,健康カレンダーは健康診査や相談の日程を知らせ、住民の健康づくりを支援するためのものである。,"情報提供,健康づくり,地域連携",2,,,,,
1237,M08,M08U01,保健所が行う業務のうち、適切なのはどれか？,感染症の発生動向の監視,教育行政の運営,道路交通の監視,農作物の販売促進,1,保健所は感染症の監視や食品衛生、環境衛生などの業務を担っている。,"感染症,監視,公衆衛生",1,,,,,
1238,M08,M08U01,「一次予防」に当たる保健サービスはどれか？,予防接種,健康診断,リハビリテーション,通院治療,1,一次予防は病気を未然に防ぐための対策であり、予防接種などが含まれる。,"予防,一次予防,健康管理",1,,,,,
1239,M08,M08U01,保健情報をインターネットで得る際に注意すべき点はどれか？,情報の信頼性を確認すること,情報量の多さを優先すること,検索順位だけを信じること,個人のブログだけを参考にすること,1,健康情報は出典や発信元を確認し、信頼できる機関の情報を利用することが重要である。,"情報リテラシー,健康情報,注意点",2,,,,,
1240,M08,M08U01,地域における保健活動を支える専門職として適切なのはどれか？,保健師,警察官,弁護士,消防士,1,保健師は地域の健康相談や家庭訪問などを通じて住民の健康を支える専門職である。,"専門職,保健師,地域保健",1,,,,,
1241,M08,M08U01,保健行政における国の役割として正しいのはどれか？,法律の制定や基本方針の策定,地域での健康相談の実施,個別検診の案内,個人宅の訪問指導,1,国は保健行政の基本方針や法律を定め、全国的な健康施策の方向性を示す。,"行政,国,方針",1,,,,,
1242,M08,M08U01,都道府県の保健行政が主に担うのはどれか？,専門的・広域的な保健サービス,学校保健の運営,地域のごみ収集,病院の個別経営,1,都道府県は専門的・広域的な健康課題に対応する保健行政を担っている。,"行政,都道府県,広域保健",1,,,,,
1243,M08,M08U01,市町村が中心に行う保健サービスはどれか？,住民に身近な健康診査や相談,大学の健康調査,医薬品の承認審査,企業の福利厚生,1,市町村は住民の生活に密着した健康診査・相談などの保健サービスを実施している。,"行政,市町村,地域密着",1,,,,,
1244,M08,M08U01,保健師の活動内容として適切なのはどれか？,家庭訪問や健康相談,税金の徴収,道路整備,防災訓練の企画,1,保健師は地域の人々の健康状態を把握し、相談や支援を行う専門職である。,"保健師,健康相談,地域保健",1,,,,,
1245,M08,M08U01,母子保健サービスに含まれるものはどれか？,乳幼児健診や母親学級,高齢者介護支援,成人病検診,勤労者のメンタルヘルス対策,1,母子保健サービスは妊産婦や乳幼児の健康を守るための健診や学級を指す。,"母子保健,乳幼児,妊産婦",1,,,,,
1246,M08,M08U01,高齢者を対象とした保健サービスの例として適切なのはどれか？,介護予防教室,母親学級,学校での健康教育,職場の産業保健,1,高齢者には転倒予防や運動指導などの介護予防サービスが行われている。,"高齢者,介護予防,地域活動",2,,,,,
1247,M08,M08U01,地域保健法の目的として最も適切なのはどれか？,地域住民の健康の保持増進,病院の収益改善,教育機関の整備,輸出の促進,1,地域保健法は住民の健康を守るため、地域での保健サービスの充実を目的としている。,"法律,地域保健法,健康増進",1,,,,,
1248,M08,M08U01,保健所が行う「食品衛生」に関する業務の例はどれか？,飲食店の衛生監視,メニュー開発の支援,観光案内,商品販売,1,保健所は飲食店の衛生検査や食中毒防止などの食品衛生管理を行っている。,"食品衛生,保健所,衛生監視",1,,,,,
