id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_sexual_attitudes_and_behavior
811,M05,M05U03,性意識とはどのようなものか？,性や恋愛に対する考え方や感じ方,生理的な反応そのもの,他人の性格の評価,社会的地位への意識,1,性意識は性や恋愛に関して個人が持つ考え方や感じ方であり，文化や経験によって形成される。,"定義,性意識,心理",1,,,,,
812,M05,M05U03,性的指向（セクシュアル・オリエンテーション）とはどれか？,恋愛や性的関心が向かう対象のこと,自分の性自認のこと,体の発達の程度のこと,社会的役割のこと,1,性的指向は恋愛や性的関心がどの性に向くかを示すもので，性自認とは区別される。,"性的指向,LGBTQ,定義",1,,,,,
813,M05,M05U03,性自認（ジェンダー・アイデンティティ）とはどれか？,自分がどの性として生きたいかという意識,生物学的な性別のこと,恋愛感情の強さのこと,性的関心の対象のこと,1,性自認は自分がどの性として生きたいかという内面的な認識を指す。,"性自認,ジェンダー,定義",1,,,,,
814,M05,M05U03,SOGIとは何を意味するか？,性的指向と性自認の総称,性行動の種類,性感染症の名称,性的暴力の略称,1,SOGIはSexual OrientationとGender Identityの頭文字で，性的指向と性自認の総称である。,"SOGI,LGBTQ,用語",1,,,,,
815,M05,M05U03,性に関する情報を得る際に重要な点はどれか？,情報の正確性を確かめること,できるだけ多くの情報を集めること,友人からの話を信じること,SNSの情報を参考にすること,1,性に関する情報は誤情報が多く，出典や信頼性を確認することが大切である。,"情報リテラシー,性教育,判断",1,,,,,
816,M05,M05U03,デートDVとはどのような行為か？,交際相手への暴力や支配行為,見知らぬ人への暴力行為,親子間の口論,性的少数者への偏見,1,デートDVは交際中の相手に対する暴力や支配行為であり，身体的・精神的・性的暴力が含まれる。,"デートDV,暴力,人間関係",2,,,,,
817,M05,M05U03,ストーカー行為にあたるものはどれか？,相手の承諾なく繰り返しつきまとうこと,交際中の連絡をとること,SNSでの会話,友人同士の遊び,1,ストーカー行為は相手の意思に反して繰り返し接触や監視を行う行為を指す。,"ストーカー,人権,法律",2,,,,,
818,M05,M05U03,性暴力被害にあった場合の適切な対応はどれか？,信頼できる大人や相談窓口に助けを求める,自分を責めて誰にも話さない,その場で相手を問い詰める,SNSで告発する,1,性暴力被害に遭ったときは，自分を責めずに警察や相談機関などに相談することが大切である。,"性暴力,相談,支援",2,,,,,
819,M05,M05U03,LGBTQ＋の「T」は何を表すか？,トランスジェンダー,トラディショナル,ティーチャー,トラブルメーカー,1,LGBTQ＋の「T」はトランスジェンダーを指し，自分の性自認と生物学的性が一致しない人を意味する。,"LGBTQ,性自認,用語",1,,,,,
820,M05,M05U03,性に関する誤った情報の影響として最も適切なものはどれか？,偏見や誤解を助長する,科学的理解を深める,正しい判断力を養う,社会的信頼を高める,1,誤った性情報は偏見や誤解を広げ，差別やいじめにつながる恐れがある。,"誤情報,性教育,偏見",2,,,,,
821,M05,M05U03,性意識の形成に影響を与える要因として正しいものはどれか？,文化や家庭環境,天候,血液型,出生月,1,性意識は文化・家庭環境・メディアなど多様な社会的要因によって形成される。,"性意識,社会,発達",2,,,,,
822,M05,M05U03,青年期に性意識が高まる主な理由はどれか？,ホルモンの変化と心理的発達,社会的地位の変化,学校制度の影響,遺伝的要素のみ,1,青年期は身体的発達と心理的成熟が進み，性ホルモンの分泌増加により性意識が高まる。,"青年期,発達,ホルモン",1,,,,,
823,M05,M05U03,性的同意に関して正しい考え方はどれか？,相手の自由な意思のもとで同意することが必要,交際していれば暗黙の同意がある,一度同意したら取り消せない,相手の気持ちは考えなくてよい,1,性的同意はお互いの自由意思に基づいて行われるものであり，途中で撤回することも可能である。,"性的同意,権利,人間関係",1,,,,,
824,M05,M05U03,性情報の取得先として最も信頼できるものはどれか？,公的機関や専門家による情報,匿名SNSの投稿,友人のうわさ,動画サイトのコメント,1,性に関する情報は専門家や公的機関から得るのが望ましい。,"情報リテラシー,信頼性,性教育",1,,,,,
825,M05,M05U03,デートDVを防ぐために大切な態度はどれか？,相手の意思を尊重する,自分の考えを押し通す,連絡を強制する,相手の行動を監視する,1,相手の意見や気持ちを尊重し対等な関係を築くことがデートDVの防止につながる。,"デートDV,尊重,予防",2,,,,,
826,M05,M05U03,性暴力加害を防ぐための社会的取組として適切なものはどれか？,啓発活動や教育の充実,被害者への非難,沈黙を促す風潮,報道の制限,1,性暴力防止には教育や啓発を通じて理解を深めることが重要である。,"性暴力,啓発,社会",2,,,,,
827,M05,M05U03,#MeToo運動が訴えた主な内容はどれか？,性暴力の被害を社会に伝え支援を求めること,恋愛の自由を求めること,男女平等の賃金を訴えること,性教育の義務化を求めること,1,#MeToo運動は性暴力被害を社会に可視化し被害者支援を訴えた国際的運動である。,"MeToo,社会運動,性暴力",3,,,,,
828,M05,M05U03,LGBTQ＋のQが意味するものはどれか？,クエスチョニング,クオリティ,クライシス,クイーン,1,QはQuestioningを意味し，自分の性的指向や性自認を探している人を指す。,"LGBTQ,用語,性自認",2,,,,,
829,M05,M05U03,性的マイノリティへの偏見をなくすために重要なことはどれか？,多様な性の理解と尊重,沈黙を守ること,性別にこだわること,同調圧力を強めること,1,多様な性のあり方を理解し尊重することで偏見を減らすことができる。,"多様性,偏見,LGBTQ",2,,,,,
830,M05,M05U03,性的な話題に関して信頼できる相談先はどれか？,学校や公的相談窓口,SNSのフォロワー,匿名掲示板,動画配信者,1,学校や公的機関など信頼できる場所で相談することが望ましい。,"相談,支援,公的機関",1,,,,,
831,M05,M05U03,性行動の判断で重視すべき視点はどれか？,相手と自分の心身の健康と権利,他人からの評価,流行や友人の意見,メディアの印象,1,性行動は相手と自分双方の健康と権利を尊重して判断することが大切である。,"性行動,判断,権利",1,,,,,
