id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_traffic_safety
631,M04,M04U03,交通事故を防止するためにまず重要なことはどれか？,安全な行動を自ら心がけること,交通ルールを完全に覚えること,新しい車に乗り換えること,夜間の外出を避けること,1,交通事故の多くは人の行動によるものであり、一人一人が安全意識を高めて行動することが大切である。,"交通事故,予防,安全意識",1,,,,,
632,M04,M04U03,交通事故防止のための基本的な取り組みとして正しいものはどれか？,交通ルールの順守,スピード違反の黙認,歩行者優先の軽視,安全装置の過信,1,交通ルールを守ることは事故防止の最も基本的な行動である。,"交通ルール,安全運転,行動",1,,,,,
633,M04,M04U03,自動車の安全を高める装備として正しいものはどれか？,エアバッグ,ハンドルカバー,マフラー,ワイパー,1,エアバッグは衝突時の衝撃を和らげ、乗員の安全を守る装備である。,"自動車,安全装備,エアバッグ",1,,,,,
634,M04,M04U03,ドライブレコーダーの主な目的はどれか？,事故や危険運転の記録,車の速度を上げる,燃費を改善する,音楽を再生する,1,ドライブレコーダーは事故やトラブル発生時の映像を記録し、安全意識の向上にもつながる。,"ドライブレコーダー,記録,安全",2,,,,,
635,M04,M04U03,交通事故の原因の多くを占めるものはどれか？,人的要因,車両要因,環境要因,偶発的要因,1,多くの交通事故は人の不注意や判断ミスなどの人的要因によって発生している。,"原因,人的要因,注意",1,,,,,
636,M04,M04U03,シートベルトの着用が義務づけられている理由として正しいものはどれか？,衝突時のけがを防ぐため,姿勢を正すため,眠気を防ぐため,エアバッグを作動させるため,1,シートベルトは衝突時の衝撃を軽減し、命を守るための重要な安全装置である。,"シートベルト,安全,義務",1,,,,,
637,M04,M04U03,子どもが自動車に乗るときに必要な安全対策はどれか？,チャイルドシートの使用,大人の膝に座らせる,後部座席で立たせる,助手席に座らせる,1,6歳未満の子どもはチャイルドシートの使用が義務づけられている。,"子ども,チャイルドシート,安全対策",1,,,,,
638,M04,M04U03,運転免許を取得した人が特に意識すべきことはどれか？,安全運転の責任,スピードの速さ,車の新しさ,燃費の良さ,1,運転者は自らの運転行動に責任を持ち、常に安全を優先して行動する必要がある。,"運転者,責任,安全運転",1,,,,,
639,M04,M04U03,高齢運転者に関する対策として導入されているものはどれか？,高齢運転者マークの表示,運転免許の廃止,運転免許の無期限化,年齢による車購入制限,1,高齢運転者はマークを表示することで周囲の注意を促し、事故防止につなげる目的がある。,"高齢者,交通安全,マーク",2,,,,,
640,M04,M04U03,交通事故を起こした際に運転者が負う責任として誤っているものはどれか？,刑事責任,行政上の責任,心理的責任,民事上の責任,3,運転者は刑事・民事・行政上の責任を負うが、「心理的責任」は法的責任には含まれない。,"責任,法的責任,交通事故",1,,,,,
641,M04,M04U03,交通事故を起こした場合にまず行うべき対応はどれか？,負傷者の救護,車の修理,SNSで報告,逃走,1,事故を起こした場合は直ちに負傷者を救護し、警察に連絡する義務がある。,"事故対応,救護,義務",1,,,,,
642,M04,M04U03,交通事故を起こした際に適用される保険制度として正しいものはどれか？,自賠責保険,国民健康保険,介護保険,生命保険,1,自動車損害賠償責任保険（自賠責保険）は、交通事故の被害者救済を目的とした強制保険である。,"自賠責保険,交通事故,補償",2,,,,,
643,M04,M04U03,歩行者が横断歩道を渡るときに最も注意すべきことはどれか？,左右の安全確認,信号無視,走り抜ける,スマホを見ながら渡る,1,歩行者は横断前に必ず左右の安全を確認し、車が止まったことを確認してから渡る。,"歩行者,安全確認,交通ルール",1,,,,,
644,M04,M04U03,運転中のスマートフォン使用が危険な理由はどれか？,注意が散漫になるため,通信料が高くなるため,電池が減るため,ナビが使えなくなるため,1,スマートフォン操作は前方不注意を招き、重大事故につながるおそれがある。,"スマホ,不注意,事故原因",1,,,,,
645,M04,M04U03,夜間に歩行者が着用すると安全性が高まるものはどれか？,反射材,黒い服,長いコート,帽子,1,反射材は車のライトを反射して運転者に存在を知らせることができる。,"夜間,歩行者,反射材",2,,,,,
646,M04,M04U03,飲酒運転をした場合に課せられる罰則として正しいものはどれか？,厳しい刑罰,軽い注意,警告のみ,免許停止のみ,1,飲酒運転は重大な犯罪であり、懲役や罰金などの厳しい刑罰が科せられる。,"飲酒運転,罰則,犯罪",1,,,,,
647,M04,M04U03,スピードを出しすぎると危険なのはなぜか？,停止距離が長くなるから,燃費が悪くなるから,道路が摩耗するから,他車に追いつかれるから,1,速度が上がるほど停止に必要な距離が長くなり、事故の危険が増す。,"速度,停止距離,危険",1,,,,,
648,M04,M04U03,交通安全教育の目的として正しいものはどれか？,安全な行動を自ら選択できる力を育む,罰則を学ぶため,免許試験に合格するため,交通ルールを丸暗記するため,1,交通安全教育は自ら安全行動を判断・実践できる力を養うことを目的としている。,"交通安全教育,判断力,行動",2,,,,,
649,M04,M04U03,ゾーン30とは何を目的とした制度か？,住宅街などで速度を30km/h以下に制限すること,高速道路の通行制限,駐車場の設置義務,夜間通行禁止区域の設定,1,ゾーン30は生活道路での歩行者の安全を確保するため、速度制限を設けた区域である。,"ゾーン30,速度制限,安全対策",2,,,,,
650,M04,M04U03,ラウンドアバウトの特徴として正しいものはどれか？,信号を使わずに交差点を通行できる,全車が一時停止する,車線が直線的に伸びている,信号機が多く設置されている,1,ラウンドアバウトは信号を使わずに右回りで通行する交差点で、渋滞や事故防止に役立つ。,"ラウンドアバウト,交差点,安全対策",2,,,,,
651,M04,M04U03,ABS（アンチロック・ブレーキ・システム）の目的はどれか？,急ブレーキ時にタイヤがロックするのを防ぐ,ブレーキの効きを弱める,速度を一定に保つ,ハンドル操作を軽くする,1,ABSは急ブレーキ時にタイヤのロックを防ぎ、操縦安定性を保つ装置である。,"ABS,安全装置,ブレーキ",2,,,,,
652,M04,M04U03,自動ハイビームの機能として正しいものはどれか？,対向車を検知してライトを自動で切り替える,常にライトを強く照らす,夜間のみ消灯する,信号を感知して点滅する,1,自動ハイビームは対向車を検知してハイ・ロービームを自動で切り替える機能である。,"自動ハイビーム,運転支援,安全装置",2,,,,,
653,M04,M04U03,運転中の眠気を防ぐために有効なのはどれか？,こまめに休憩を取る,速度を上げる,音楽を大音量で流す,窓を開け続ける,1,長時間運転時はこまめに休憩を取り、集中力を維持することが大切である。,"眠気防止,休憩,安全運転",3,,,,,
654,M04,M04U03,交通事故による死者数が減少した主な理由はどれか？,安全技術の進歩と意識向上,車の大型化,交通量の増加,運転者の減少,1,シートベルトやエアバッグなど安全装備の普及と、交通安全教育の充実が事故減少に寄与した。,"交通事故,統計,安全装備",2,,,,,
655,M04,M04U03,自転車に乗るときに義務づけられていることはどれか？,交通ルールを守ること,ヘルメットを外すこと,歩道の真ん中を走ること,夜間はライトを消すこと,1,自転車も車両として交通ルールを守る義務がある。,"自転車,交通ルール,義務",1,,,,,
656,M04,M04U03,自転車事故を防ぐために有効な行動はどれか？,ヘルメットの着用,スマホ操作,傘をさす,片手運転,1,ヘルメットの着用は頭部のけがを防ぎ、命を守る重要な行動である。,"自転車,安全,ヘルメット",1,,,,,
657,M04,M04U03,交通事故の発生要因として誤っているものはどれか？,道路の整備が進んだこと,運転者の不注意,車の故障,環境条件,1,道路整備は安全向上につながる要因であり、事故原因ではない。,"原因,環境,誤答分析",3,,,,,
658,M04,M04U03,若年層の交通事故が多い要因として正しいものはどれか？,経験不足と過信,慎重すぎる運転,走行距離の短さ,夜間運転の少なさ,1,若年層は運転経験が少なく、判断力の未熟さや過信が事故につながる。,"若年層,原因,運転経験",2,,,,,
659,M04,M04U03,高齢者の交通事故を防ぐために有効な地域の取り組みはどれか？,免許返納支援や代替交通手段の整備,夜間照明の削減,高齢者のみの運転許可,車両の価格補助,1,免許返納後の生活支援や公共交通の整備が、高齢者事故防止に重要である。,"高齢者,地域支援,安全対策",3,,,,,
660,M04,M04U03,交通安全社会を実現するために最も大切な考え方はどれか？,人と人が互いに思いやる意識,監視の強化,罰則の厳罰化,車の性能向上,1,交通安全は技術だけでなく、互いに思いやる心やマナーの向上によって実現される。,"交通安全,意識,共生",1,,,,,
