id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_work_and_health
961,M06,M06U03,働くことの意義として最も適切なのはどれか？,生活の糧を得るだけの行為,社会に参加し自分を成長させる行為,遊びや娯楽の延長,他人の期待に応えるための行為,2,働くことは生活の基盤を支えるだけでなく，社会とのつながりや自己実現にもつながる。,"定義,意義,社会参加",1,,,,,
962,M06,M06U03,働くことと健康のかかわりとして正しいのはどれか？,働くことは常に健康を損なう,働くことは健康と無関係,働くことは心身の健康に影響する,働くことは経済的側面に限られる,3,働くことは生活習慣やストレスと関係し，心身の健康に影響を及ぼす。,"関係,健康,ストレス",1,,,,,
963,M06,M06U03,ライフステージの変化に応じて考慮すべきことはどれか？,仕事量を一定に保つこと,年齢や家庭状況に合わせた働き方を考えること,働き方を変えないこと,収入を最優先すること,2,ライフステージに応じて，心身や家庭環境に合った働き方を選ぶことが大切である。,"ライフステージ,働き方,適応",1,,,,,
964,M06,M06U03,働き方の変化として正しいのはどれか？,肉体労働が中心になった,情報化やサービス業の増加,一次産業が増加した,勤務時間が短縮された,2,ICTの進展により，デスクワークやサービス業が増加している。,"変化,情報化,産業構造",1,,,,,
965,M06,M06U03,健康問題の変化として適切なのはどれか？,感染症が主な問題である,生活習慣病やメンタルヘルスの問題が増加した,けがが主な問題である,病気の発生が減少した,2,デスクワークやストレス増大により，生活習慣病やメンタルヘルスの問題が増えている。,"健康問題,生活習慣病,メンタルヘルス",1,,,,,
966,M06,M06U03,過労死とはどのような状態を指すか？,病気による自然死,働きすぎによる心身の疾患や死亡,精神的疲労による休職,事故による死亡,2,長時間労働や強いストレスにより，脳や心臓の疾患で亡くなることを指す。,"過労死,労働時間,ストレス",2,,,,,
967,M06,M06U03,「ワーク・ライフ・バランス」とは何を意味するか？,仕事を最優先にすること,仕事と私生活を両立させること,余暇を増やすこと,家族より仕事を重視すること,2,仕事と家庭生活などの調和を図り，心身の健康を保つ考え方である。,"ワークライフバランス,両立,健康",1,,,,,
968,M06,M06U03,職場のストレス要因として適切なのはどれか？,人間関係や業務量,趣味の不足,睡眠時間の長さ,休日の多さ,1,人間関係の悪化や過重な業務などが職場の主なストレス要因となる。,"ストレス,職場,人間関係",1,,,,,
969,M06,M06U03,ストレスが健康に及ぼす影響として正しいのはどれか？,ストレスは常に悪影響を与える,ストレスは身体面にしか影響しない,過度なストレスは心身に悪影響を及ぼす,ストレスは健康に良い,3,適度なストレスは必要だが，過度になると心身に悪影響を及ぼす。,"ストレス,心身,影響",2,,,,,
970,M06,M06U03,健康的に働くために個人ができる工夫として適切なのはどれか？,睡眠を削って働く,悩みを抱え込む,休養や相談を取り入れる,長時間労働を続ける,3,十分な休養や周囲への相談が，ストレス軽減と健康維持に役立つ。,"セルフケア,健康管理,休養",1,,,,,
