candidate_id,review_round,decision,reason_code,reason_detail,collided_question_id,collided_candidate_id,reviewed_at,reviewer_role,resume_condition
B1-R-C001,1,ACCEPT,,,,,,HUMAN,
B1-R-C002,1,ACCEPT,,,,,,HUMAN,
B1-R-C003,1,ACCEPT,,,,,,HUMAN,
B1-R-C004,1,ACCEPT,,,,,,HUMAN,
B1-R-C005,1,ACCEPT,,,,,,HUMAN,
B1-R-C006,1,ACCEPT,,,,,,HUMAN,
B1-R-C007,1,ACCEPT,,,,,,HUMAN,
B1-R-C008,1,ACCEPT,,,,,,HUMAN,
B1-R-C009,1,ACCEPT,,,,,,HUMAN,
B1-R-C010,1,ACCEPT,,,,,,HUMAN,
B1-R-C011,1,ACCEPT,,,,,,HUMAN,
B1-R-C012,1,ACCEPT,,,,,,HUMAN,
B1-R-C013,1,ACCEPT,,,,,,HUMAN,
B1-R-C014,1,ACCEPT,,,,,,HUMAN,
B1-R-C015,1,ACCEPT,,,,,,HUMAN,
B1-R-C016,1,ACCEPT,,,,,,HUMAN,
B1-R-C023,1,ACCEPT,,,,,,HUMAN,
B1-R-C024,1,ACCEPT,,,,,,HUMAN,
