candidate_id,state,unit_id,domain,knowledge_target_id,family,question,choice1,choice2,choice3,choice4,proposed_correct,explanation,source_id,source_version,source_locator,answer_defining_proposition,tested_misconception,reasoning_path,collision_note,permanent_question_id
O4-B4-FIR-C001,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,gasoline flash point,ガソリンの引火点として、厚生労働省モデルSDSに示される値に最も近いものはどれか。,約-45℃,約13℃,約37℃,約80℃,A,ガソリンのモデルSDSでは引火点は-45℃とされている。,O4-MHLW-SDS-GASOLINE,2006-05-13,SDS 第9項 物理的及び化学的性質（引火点）,ガソリンの引火点は約-45℃である。,ガソリンは常温付近まで加熱しなければ引火しない。,identify substance -> read flash point -> compare options,W1 Tier A; first canonical gasoline flash-point proposition.,
O4-B4-FIR-C002,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,gasoline water solubility,ガソリンを水に加えたときの性質として、モデルSDSに合うものはどれか。,水と任意割合で混和する,水には不溶である,水と反応して固体になる,水中で完全に電離する,B,ガソリンのモデルSDSでは水に不溶とされている。,O4-MHLW-SDS-GASOLINE,2006-05-13,SDS 第9項 物理的及び化学的性質（溶解度）,ガソリンは水に不溶である。,第四類の液体はすべて水と混和する。,gasoline -> water solubility -> insoluble,W1 Tier A; water-solubility proposition.,
O4-B4-FIR-C003,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,gasoline relative density,ガソリンの液体としての比重について、モデルSDSに合う説明はどれか。,水の約2倍である,水とほぼ同じ1.0である,約0.72〜0.76で水より小さい,約1.5〜1.8で水より大きい,C,モデルSDSではガソリンの比重は0.72〜0.76（15.6℃）とされ、水より小さい。,O4-MHLW-SDS-GASOLINE,2006-05-13,SDS 第9項 物理的及び化学的性質（比重）,ガソリンの比重は約0.72〜0.76で1より小さい。,ガソリンは水より必ず重い。,gasoline -> relative density -> compare with 1,W1 Tier B numeric density boundary.,
O4-B4-FIR-C004,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,gasoline vapor density,ガソリン蒸気の空気に対する相対密度について、モデルSDSに合うものはどれか。,約0.2,約0.5,約1.0,約3〜4,D,ガソリンのモデルSDSでは蒸気密度は空気=1に対し3〜4とされている。,O4-MHLW-SDS-GASOLINE,2006-05-13,SDS 第9項 物理的及び化学的性質（蒸気密度）,ガソリン蒸気の相対密度は空気=1に対し約3〜4である。,ガソリン蒸気は空気よりはるかに軽い。,gasoline vapor -> relative density -> compare to air,W1 Tier B vapor-density proposition.,
O4-B4-FIR-C005,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,kerosene flash point range,灯油の引火点として、厚生労働省モデルSDSに示される代表的な範囲はどれか。,おおむね37〜65℃,おおむね-50〜-30℃,おおむね0〜5℃,おおむね100〜150℃,A,灯油のモデルSDSでは引火点として37〜65℃などが示されている。,O4-MHLW-SDS-KEROSENE,2019-03-15,SDS 第9項 物理的及び化学的性質（引火点）,灯油の引火点は代表値としておおむね37〜65℃の範囲で示される。,灯油の引火点はガソリンと同様に-40℃前後である。,kerosene -> flash point range -> select range,W1 Tier B; distinct from gasoline flash point.,
O4-B4-FIR-C006,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,kerosene water solubility,灯油の水に対する性質として適切なものはどれか。,水と完全混和する,水には不溶である,水と反応してアルコールになる,水中で塩になる,B,灯油のモデルSDSでは水に不溶とされている。,O4-MHLW-SDS-KEROSENE,2019-03-15,SDS 第9項 物理的及び化学的性質（溶解度）,灯油は水に不溶である。,灯油は名称に油が付くが水と完全に混和する。,kerosene -> water solubility -> insoluble,W1 Tier A; substance-specific property.,
O4-B4-FIR-C007,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,acetone flash point,アセトンの引火点として、モデルSDSに示される値はどれか。,約25℃,約13℃,約-20℃,約65℃,C,アセトンのモデルSDSでは引火点は-20℃（密閉式）とされている。,O4-MHLW-SDS-ACETONE,2015-03-31,SDS 第9項 物理的及び化学的性質（引火点）,アセトンの引火点は約-20℃である。,アセトンは常温以上でなければ引火しない。,acetone -> flash point -> compare options,W1 Tier B numeric flash-point proposition.,
O4-B4-FIR-C008,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,acetone water solubility,アセトンの水に対する性質として、モデルSDSに合うものはどれか。,水に全く溶けない,水に沈む固体になる,水と反応して発火する,水に易溶である,D,アセトンのモデルSDSでは水に易溶とされている。,O4-MHLW-SDS-ACETONE,2015-03-31,SDS 第9項 物理的及び化学的性質（溶解度）,アセトンは水に易溶である。,有機溶剤であるアセトンは水に溶けない。,acetone -> water solubility -> highly soluble,W1 Tier A; contrasts with gasoline/kerosene.,
O4-B4-FIR-C009,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,ethanol flash point,エタノールの引火点として、モデルSDSに示される値に最も近いものはどれか。,約13℃,約-45℃,約65℃,約100℃,A,エタノールのモデルSDSでは引火点は13℃（密閉式）とされている。,O4-MHLW-SDS-ETHANOL,2014-03-31,SDS 第9項 物理的及び化学的性質（引火点）,エタノールの引火点は約13℃である。,エタノールは水と混和するため引火しない。,ethanol -> flash point -> select 13C,W1 Tier B; flash point distinct from solubility.,
O4-B4-FIR-C010,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,ethanol water miscibility,エタノールの水に対する性質として正しいものはどれか。,水に不溶である,水と混和する,水と接触すると固化する,水より常に下層に分離する,B,エタノールのモデルSDSでは水と混和するとされている。,O4-MHLW-SDS-ETHANOL,2014-03-31,SDS 第9項 物理的及び化学的性質（溶解度）,エタノールは水と混和する。,アルコールは油の一種なので水に溶けない。,ethanol -> water solubility -> miscible,W1 Tier A; core alcohol property.,
O4-B4-FIR-C011,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,methanol flash point,メタノールの引火点として、モデルSDSに示される値に最も近いものはどれか。,約65℃,約37℃,約12℃,約-45℃,C,メタノールのモデルSDSでは引火点は12℃とされている。,O4-MHLW-SDS-METHANOL,2010-03-31,SDS 第9項 物理的及び化学的性質（引火点）,メタノールの引火点は約12℃である。,メタノールは常温では引火性を示さない。,methanol -> flash point -> select 12C,W1 Tier B; numeric property.,
O4-B4-FIR-C012,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,methanol vapor density,メタノール蒸気の空気に対する相対密度として、モデルSDSに示される値に最も近いものはどれか。,0.11,0.50,3.10,1.11,D,メタノールのモデルSDSでは蒸気密度は空気=1に対し1.11とされている。,O4-MHLW-SDS-METHANOL,2010-03-31,SDS 第9項 物理的及び化学的性質（蒸気密度）,メタノール蒸気の相対密度は空気=1に対し約1.11である。,メタノール蒸気は空気の数分の一の密度しかない。,methanol vapor -> compare relative density to air,W1 Tier B vapor-density boundary.,
O4-B4-FIR-C013,AI_PRE_ACCEPT,otsu4_fire,性質・消火,O4-FIR-KT-PROPERTIES,toluene flash point,トルエンの引火点として、モデルSDSに示される値に最も近いものはどれか。,約4.4℃,約25℃,約65℃,約110℃,A,トルエンのモデルSDSでは引火点は4.4℃（CC）とされている。,O4-MHLW-SDS-TOLUENE,2013-02-22,SDS 第9項 物理的及び化学的性質（引火点）,トルエンの引火点は約4.4℃である。,トルエンの引火点は沸点とほぼ同じ110℃である。,toluene -> flash point -> select 4.4C,W1 Tier B numeric property.,
